date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.849,0.849,0.849
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.045,0.0,0.0,0.0,0.849,4.246,1.737
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.919,0.0,1.0,0.054,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.991,0.0,0.0,0.0,0.849,5.944,3.389
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,7.378,0.0,1.0,0.198,0.0,1.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,7.631,0.0,0.0,0.0,3.396,10.188,6.478
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,13.252,0.0,2.0,0.486,0.0,1.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,13.82,0.0,0.0,0.0,6.79,17.825,11.73
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,36.0,24.396,0.0,4.0,0.91,0.0,2.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,25.532,0.0,0.0,0.0,15.272,30.545,21.663
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,58.0,44.685,0.0,7.0,1.802,0.0,2.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,35.0,59.0,46.901,0.0,0.001,0.001,29.678,50.028,39.769
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,98.0,82.703,1.0,8.0,3.532,0.0,4.0,0.712,0.0,1.0,0.009,0.0,0.0,0.0,74.0,103.0,86.955,0.001,0.001,0.001,62.68,87.244,73.653
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,174.0,151.387,2.0,13.0,6.55,0.0,5.0,1.541,0.0,1.0,0.054,0.0,0.0,0.0,133.0,183.0,159.532,0.002,0.002,0.002,112.455,154.731,134.888
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,327.0,280.108,5.0,22.0,12.063,0.0,7.0,3.18,0.0,1.0,0.099,0.0,0.0,0.0,260.0,340.0,295.45,0.003,0.004,0.004,219.187,286.629,249.072
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,601.0,514.622,12.0,33.0,22.405,1.0,11.0,5.829,0.0,3.0,0.261,0.0,0.0,0.0,481.0,627.0,543.117,0.006,0.008,0.007,403.505,525.982,455.614
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.0,1078.0,947.126,30.0,59.0,41.342,4.0,19.0,10.613,0.0,4.0,0.613,0.0,0.0,0.0,878.0,1131.0,999.694,0.011,0.015,0.013,730.557,941.07,831.814
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.0,1960.0,1734.901,54.0,104.0,76.153,10.0,34.0,19.279,0.0,4.0,1.261,0.0,0.0,0.0,1606.0,2042.0,1831.595,0.021,0.027,0.024,1318.421,1676.349,1503.62
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.0,3568.0,3153.243,109.0,173.0,139.865,19.0,55.0,35.91,0.0,7.0,2.333,0.0,0.0,0.0,2977.0,3751.0,3331.351,0.039,0.049,0.043,2390.57,3012.102,2675.119
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5105.0,6355.0,5676.108,218.0,318.0,258.414,50.0,88.0,66.468,0.0,11.0,4.586,0.0,0.0,0.0,5409.0,6707.0,6005.577,0.07,0.087,0.078,4191.028,5196.75,4653.27
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9058.0,11268.0,10055.604,406.0,559.0,474.477,92.0,147.0,122.099,2.0,17.0,8.324,0.0,0.0,0.0,9636.0,11931.0,10660.505,0.126,0.155,0.139,7054.144,8734.225,7804.144
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15683.0,19329.0,17352.586,707.0,995.0,867.252,185.0,280.0,223.342,8.0,24.0,15.063,0.0,1.0,0.009,16686.0,20538.0,18458.252,0.217,0.268,0.24,11189.871,13773.077,12378.363
2020-03-07,1.0,1.0,0.0,1.0,0.027,0.0,1.0,0.027,25983.0,32200.0,28844.793,1334.0,1783.0,1569.054,343.0,476.0,402.964,15.0,40.0,27.883,0.0,1.0,0.018,27812.0,34376.0,30844.712,0.362,0.448,0.402,16377.735,20243.097,18163.606
2020-03-08,1.0,0.0,0.0,1.0,0.036,0.0,1.0,0.063,40765.0,50474.0,45381.784,2466.0,3151.0,2813.676,615.0,816.0,717.685,35.0,71.0,50.477,0.0,1.0,0.117,44034.0,54444.0,48963.739,0.574,0.709,0.638,21603.634,26710.911,24022.168
2020-03-09,2.0,1.0,0.0,1.0,0.054,0.0,2.0,0.117,59957.0,74126.0,66695.649,4433.0,5543.0,4946.252,1119.0,1430.0,1267.225,74.0,115.0,94.739,0.0,1.0,0.225,65676.0,81182.0,73004.09,0.856,1.058,0.951,25345.375,31329.378,28173.31
2020-03-10,2.0,0.0,0.0,1.0,0.072,0.0,2.0,0.189,81234.0,100644.0,90338.441,7647.0,9461.0,8480.135,1928.0,2432.0,2171.838,142.0,214.0,173.937,0.0,3.0,0.586,91065.0,112696.0,101164.937,1.186,1.468,1.318,26205.321,32429.966,29111.561
2020-03-11,3.0,1.0,0.0,4.0,0.243,0.0,4.0,0.432,101244.0,125243.0,112353.378,12644.0,15651.0,14017.027,3206.0,4060.0,3593.703,268.0,374.0,318.712,0.0,4.0,1.162,117398.0,145187.0,130283.982,1.53,1.892,1.697,24207.036,29936.613,26863.838
2020-03-12,6.0,3.0,0.0,2.0,0.351,0.0,5.0,0.784,115762.0,143631.0,128707.838,20049.0,24723.0,22146.811,5110.0,6446.0,5688.649,495.0,674.0,583.991,0.0,7.0,2.252,141520.0,175206.0,157129.541,1.844,2.283,2.047,20509.992,25391.44,22772.062
2020-03-13,9.0,3.0,0.0,3.0,0.595,0.0,5.0,1.378,123521.0,153348.0,137070.396,29934.0,37018.0,33217.964,7701.0,9649.0,8569.577,904.0,1228.0,1058.18,0.0,9.0,3.964,162113.0,200791.0,179920.081,2.112,2.616,2.344,16585.792,20542.936,18407.685
2020-03-14,13.0,4.0,0.0,3.0,0.973,0.0,6.0,2.351,123329.0,153508.0,137194.505,42499.0,52322.0,47022.973,10974.0,13759.0,12198.045,1661.0,2165.0,1891.838,2.0,13.0,7.414,178518.0,221177.0,198314.775,2.326,2.882,2.584,13251.379,16418.022,14721.002
2020-03-15,15.0,2.0,0.0,6.0,1.838,0.0,10.0,4.189,117426.0,146229.0,130519.423,56433.0,69751.0,62725.072,14811.0,18405.0,16435.243,2964.0,3764.0,3320.991,6.0,23.0,13.514,191750.0,237544.0,213014.243,2.498,3.095,2.775,10810.756,13392.922,12010.113
2020-03-16,20.0,5.0,0.0,8.0,3.135,0.0,15.0,7.324,107522.0,133255.0,119357.505,71061.0,87857.0,78965.288,18895.0,23661.0,21010.387,5086.0,6371.0,5676.523,14.0,38.0,25.459,202694.0,250813.0,225035.162,2.641,3.268,2.932,9180.396,11360.04,10192.676
2020-03-17,23.0,3.0,0.0,16.0,5.432,3.0,27.0,12.757,95490.0,118292.0,106083.937,84588.0,104725.0,94097.703,23098.0,28662.0,25595.766,8455.0,10514.0,9398.063,32.0,68.0,47.144,211834.0,262113.0,235222.613,2.76,3.415,3.065,8155.79,10091.982,9056.722
2020-03-18,33.0,10.0,2.0,18.0,8.288,10.0,39.0,21.045,83569.0,103405.0,92727.018,95831.0,118717.0,106578.667,27042.0,33471.0,29885.739,13537.0,16716.0,14999.973,65.0,110.0,86.721,220054.0,272212.0,244278.117,2.867,3.547,3.183,7565.171,9358.15,8397.846
2020-03-19,53.0,20.0,4.0,23.0,12.532,15.0,53.0,33.577,72631.0,89830.0,80658.081,103504.0,128630.0,115270.261,30450.0,37766.0,33634.685,20756.0,25567.0,22933.234,126.0,193.0,158.631,227496.0,281592.0,252654.892,2.964,3.669,3.292,7253.414,8978.164,8055.436
2020-03-20,93.0,40.0,9.0,31.0,18.91,37.0,74.0,52.486,63747.0,78717.0,70667.063,107138.0,133348.0,119580.099,33188.0,41129.0,36675.099,30223.0,37224.0,33490.144,233.0,340.0,289.667,234726.0,290594.0,260702.072,3.058,3.786,3.397,7129.298,8825.618,7918.239
