date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.708,0.708,0.708
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.784,0.0,0.0,0.0,0.707,2.828,1.261
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.057,0.0,1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.08,0.0,0.0,0.0,0.706,4.235,2.174
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.125,0.0,1.0,0.068,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.205,0.0,0.0,0.0,1.409,6.338,3.665
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,8.523,0.0,2.0,0.295,0.0,2.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,8.92,0.0,0.001,0.0,3.511,13.341,6.264
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,14.625,0.0,3.0,0.705,0.0,2.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,15.534,0.0,0.001,0.001,6.294,18.183,10.864
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,24.739,0.0,3.0,1.261,0.0,2.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,26.318,0.001,0.002,0.001,13.216,27.128,18.307
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,59.0,41.341,0.0,7.0,2.364,0.0,3.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,33.0,64.0,44.25,0.001,0.003,0.002,22.791,44.202,30.561
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,96.0,69.773,1.0,8.0,4.193,0.0,3.0,1.011,0.0,0.0,0.0,0.0,0.0,0.0,58.0,105.0,74.977,0.003,0.005,0.003,39.679,71.833,51.294
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,136.0,115.648,2.0,13.0,7.307,0.0,5.0,1.795,0.0,1.0,0.057,0.0,0.0,0.0,99.0,153.0,124.807,0.004,0.007,0.006,66.882,103.363,84.316
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,231.0,191.58,4.0,23.0,13.341,0.0,8.0,3.045,0.0,2.0,0.193,0.0,0.0,0.0,169.0,248.0,208.159,0.008,0.011,0.009,112.291,164.783,138.31
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,380.0,319.886,8.0,36.0,21.489,0.0,11.0,5.341,0.0,2.0,0.386,0.0,0.0,0.0,285.0,406.0,347.102,0.013,0.018,0.016,185.28,263.943,225.653
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,630.0,529.784,23.0,52.0,35.489,4.0,18.0,9.068,0.0,4.0,0.739,0.0,0.0,0.0,482.0,676.0,575.08,0.022,0.031,0.026,304.552,427.132,363.365
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,1014.0,859.568,41.0,80.0,59.148,8.0,25.0,15.511,0.0,4.0,1.42,0.0,0.0,0.0,794.0,1092.0,935.648,0.036,0.049,0.042,483.527,665.001,569.787
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,1600.0,1374.648,74.0,125.0,99.25,14.0,39.0,25.716,0.0,7.0,2.727,0.0,0.0,0.0,1305.0,1743.0,1502.341,0.059,0.079,0.068,758.027,1012.445,872.655
2020-03-03,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.011,1851.0,2512.0,2159.784,134.0,206.0,164.852,27.0,60.0,41.534,0.0,10.0,4.909,0.0,0.0,0.0,2043.0,2766.0,2371.08,0.093,0.125,0.107,1117.8,1513.38,1297.304
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,2846.0,3910.0,3316.898,219.0,323.0,269.761,51.0,95.0,69.295,3.0,16.0,8.875,0.0,1.0,0.011,3173.0,4327.0,3664.841,0.144,0.196,0.166,1611.308,2197.33,1861.068
2020-03-05,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.011,4236.0,5835.0,4958.318,361.0,506.0,437.216,86.0,141.0,112.739,6.0,24.0,14.92,0.0,1.0,0.034,4776.0,6494.0,5523.227,0.216,0.294,0.25,2213.621,3009.894,2559.936
2020-03-06,1.0,0.0,0.0,1.0,0.011,0.0,1.0,0.023,6141.0,8425.0,7183.989,577.0,814.0,700.955,146.0,222.0,180.295,14.0,40.0,24.909,0.0,2.0,0.08,6942.0,9483.0,8090.227,0.314,0.43,0.366,2883.374,3938.784,3360.26
2020-03-07,1.0,0.0,0.0,1.0,0.023,0.0,1.0,0.045,8610.0,11713.0,10026.739,938.0,1280.0,1106.273,235.0,341.0,284.648,25.0,58.0,40.716,0.0,2.0,0.148,9851.0,13361.0,11458.523,0.446,0.605,0.519,3597.287,4879.033,4184.252
2020-03-08,5.0,4.0,0.0,1.0,0.034,0.0,1.0,0.08,11561.0,15537.0,13420.784,1462.0,1957.0,1708.693,361.0,527.0,439.284,48.0,91.0,68.193,0.0,2.0,0.318,13470.0,18096.0,15637.273,0.61,0.82,0.708,4243.121,5700.759,4926.089
2020-03-09,6.0,1.0,0.0,1.0,0.091,0.0,2.0,0.17,14846.0,19890.0,17196.523,2241.0,2954.0,2578.58,566.0,815.0,670.318,86.0,145.0,114.0,0.0,3.0,0.568,17767.0,23786.0,20559.989,0.805,1.077,0.931,4743.424,6351.089,5489.561
2020-03-10,6.0,0.0,0.0,1.0,0.102,0.0,2.0,0.273,18182.0,24491.0,21088.977,3224.0,4369.0,3788.011,840.0,1180.0,988.614,140.0,223.0,186.045,0.0,4.0,1.159,22424.0,30256.0,26052.807,1.016,1.37,1.18,4996.624,6742.691,5805.731
2020-03-11,6.0,0.0,0.0,2.0,0.182,0.0,2.0,0.455,21225.0,28699.0,24745.909,4574.0,6264.0,5403.034,1206.0,1674.0,1415.682,243.0,356.0,303.58,0.0,7.0,2.352,27305.0,36993.0,31870.557,1.237,1.676,1.444,5016.431,6797.291,5855.634
2020-03-12,11.0,5.0,0.0,2.0,0.364,0.0,3.0,0.818,23655.0,32236.0,27821.216,6370.0,8634.0,7444.511,1694.0,2326.0,1967.386,407.0,584.0,488.841,0.0,10.0,4.341,32211.0,43765.0,37726.295,1.459,1.982,1.709,4838.545,6574.539,5667.248
2020-03-13,14.0,3.0,0.0,2.0,0.375,0.0,3.0,1.193,25382.0,34887.0,30022.659,8488.0,11425.0,9922.477,2281.0,3088.0,2646.511,667.0,911.0,776.295,2.0,17.0,7.5,36932.0,50318.0,43375.443,1.673,2.279,1.965,4516.785,6154.871,5305.481
2020-03-14,14.0,0.0,0.0,3.0,0.693,0.0,5.0,1.886,26338.0,36262.0,31266.784,10940.0,14778.0,12754.92,2989.0,4011.0,3443.341,1064.0,1417.0,1211.261,5.0,23.0,12.432,41394.0,56479.0,48688.739,1.875,2.558,2.205,4123.171,5627.108,4850.656
2020-03-15,23.0,9.0,0.0,6.0,1.125,0.0,9.0,3.011,26530.0,36450.0,31490.489,13546.0,18392.0,15828.102,3776.0,5039.0,4342.523,1587.0,2144.0,1846.034,11.0,35.0,21.068,45474.0,62023.0,53528.216,2.06,2.809,2.425,3706.965,5056.888,4364.117
2020-03-16,23.0,0.0,0.0,5.0,1.5,0.0,12.0,4.511,25967.0,35599.0,30838.682,16195.0,22044.0,18971.773,4558.0,6222.0,5302.977,2343.0,3142.0,2746.239,21.0,58.0,34.886,49157.0,67043.0,57894.557,2.227,3.037,2.622,3308.691,4513.456,3897.311
2020-03-17,36.0,13.0,0.0,5.0,2.205,1.0,13.0,6.716,24869.0,33801.0,29473.5,18645.0,25472.0,21968.795,5390.0,7400.0,6290.602,3386.0,4607.0,3991.42,40.0,95.0,58.273,52402.0,71338.0,61782.591,2.374,3.231,2.798,2949.072,4016.007,3477.627
2020-03-18,40.0,4.0,0.0,9.0,3.136,3.0,19.0,9.852,23321.0,31558.0,27642.216,20946.0,28519.0,24628.489,6190.0,8470.0,7248.716,4787.0,6565.0,5637.932,70.0,131.0,95.92,55329.0,75209.0,65253.273,2.506,3.407,2.956,2644.911,3596.129,3119.532
2020-03-19,53.0,13.0,0.0,8.0,4.432,4.0,27.0,14.284,21560.0,29344.0,25565.477,22666.0,30950.0,26759.693,6941.0,9485.0,8135.466,6614.0,8977.0,7756.864,117.0,201.0,156.25,57917.0,78933.0,68373.75,2.623,3.575,3.097,2393.331,3262.131,2825.618
