date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.215,1.215,1.215
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.429,0.0,0.0,0.0,1.214,4.855,2.948
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.552,0.0,1.0,0.067,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.629,0.0,0.0,0.0,3.633,10.899,6.816
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,12.362,0.0,1.0,0.133,0.0,1.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,12.552,0.0,0.0,0.0,8.445,20.51,15.144
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.0,27.133,0.0,3.0,0.448,0.0,2.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,17.0,39.0,27.705,0.0,0.0,0.0,20.385,46.765,33.221
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,75.0,59.019,0.0,4.0,1.133,0.0,2.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,41.0,78.0,60.448,0.0,0.001,0.001,48.678,92.608,71.768
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,157.0,128.838,0.0,8.0,2.752,0.0,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,101.0,161.0,132.19,0.001,0.002,0.002,118.007,188.11,154.449
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,335.0,279.61,1.0,13.0,6.429,0.0,4.0,1.333,0.0,1.0,0.01,0.0,0.0,0.0,241.0,339.0,287.381,0.003,0.004,0.003,274.429,386.023,327.244
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,711.0,598.543,6.0,25.0,13.876,0.0,7.0,3.39,0.0,1.0,0.029,0.0,0.0,0.0,531.0,728.0,615.838,0.006,0.009,0.007,580.52,795.892,673.27
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.0,1450.0,1249.552,19.0,42.0,30.581,2.0,15.0,7.419,0.0,1.0,0.086,0.0,0.0,0.0,1110.0,1490.0,1287.638,0.013,0.018,0.015,1139.143,1529.12,1321.445
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225.0,2977.0,2525.743,47.0,86.0,66.752,5.0,27.0,16.648,0.0,2.0,0.248,0.0,0.0,0.0,2285.0,3061.0,2609.39,0.027,0.036,0.031,2131.569,2855.463,2434.178
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4361.0,5695.0,4866.571,111.0,171.0,143.486,21.0,51.0,35.686,0.0,3.0,0.648,0.0,0.0,0.0,4521.0,5880.0,5046.39,0.054,0.07,0.06,3672.484,4776.422,4099.267
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7763.0,10229.0,8773.895,250.0,367.0,299.59,58.0,105.0,76.152,0.0,5.0,1.829,0.0,0.0,0.0,8105.0,10640.0,9151.467,0.096,0.126,0.109,5441.29,7143.162,6143.835
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12925.0,16854.0,14522.419,527.0,757.0,614.543,125.0,204.0,154.629,1.0,8.0,4.324,0.0,0.0,0.0,13611.0,17770.0,15295.914,0.162,0.211,0.182,7136.06,9316.566,8019.437
2020-03-11,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,19404.0,25346.0,21779.495,1055.0,1471.0,1213.305,248.0,381.0,306.79,4.0,18.0,9.733,0.0,0.0,0.0,20793.0,27147.0,23309.324,0.247,0.323,0.277,8068.946,10534.683,9045.432
2020-03-12,0.0,0.0,0.0,1.0,0.019,0.0,1.0,0.029,26439.0,34231.0,29446.61,2043.0,2706.0,2284.333,502.0,679.0,578.314,10.0,31.0,20.305,0.0,0.0,0.0,29032.0,37579.0,32329.562,0.345,0.447,0.384,7986.302,10337.464,8893.416
2020-03-13,0.0,0.0,0.0,1.0,0.029,0.0,1.0,0.057,32323.0,41675.0,36084.067,3539.0,4855.0,4058.886,910.0,1193.0,1027.01,27.0,63.0,44.229,0.0,1.0,0.019,36901.0,47722.0,41214.21,0.439,0.567,0.49,6999.292,9051.793,7817.408
2020-03-14,2.0,2.0,0.0,2.0,0.105,0.0,2.0,0.162,36191.0,46826.0,40483.981,5953.0,7922.0,6724.543,1489.0,1975.0,1708.638,71.0,116.0,93.695,0.0,1.0,0.038,43901.0,56767.0,49010.895,0.522,0.675,0.582,5686.036,7352.434,6347.862
2020-03-15,6.0,4.0,0.0,1.0,0.133,0.0,2.0,0.295,37651.0,48740.0,42122.848,9272.0,12044.0,10388.229,2314.0,3032.0,2645.667,157.0,239.0,195.924,0.0,2.0,0.143,49599.0,64020.0,55352.81,0.589,0.761,0.658,4425.602,5712.354,4938.989
2020-03-16,7.0,1.0,0.0,3.0,0.2,0.0,3.0,0.495,36750.0,47631.0,41165.343,13262.0,17174.0,14903.61,3352.0,4429.0,3823.857,329.0,478.0,401.514,0.0,3.0,0.39,53934.0,69623.0,60294.714,0.641,0.827,0.717,3405.594,4396.193,3807.209
2020-03-17,11.0,4.0,0.0,3.0,0.41,0.0,4.0,0.905,34183.0,44097.0,38189.486,17764.0,23112.0,19948.514,4548.0,5961.0,5172.314,660.0,921.0,787.686,0.0,4.0,0.905,57398.0,74023.0,64098.905,0.682,0.88,0.762,2676.325,3451.46,2988.729
2020-03-18,19.0,8.0,0.0,3.0,0.857,0.0,5.0,1.762,30335.0,39338.0,34004.467,22318.0,28970.0,25013.533,5800.0,7558.0,6594.514,1261.0,1721.0,1474.476,0.0,6.0,2.038,60096.0,77564.0,67089.029,0.714,0.922,0.797,2182.391,2816.681,2436.31
2020-03-19,23.0,4.0,0.0,4.0,1.2,0.0,7.0,2.962,26170.0,34080.0,29350.771,26414.0,34183.0,29567.724,7029.0,9119.0,7987.019,2234.0,3067.0,2608.419,0.0,10.0,4.571,62268.0,80427.0,69518.505,0.74,0.956,0.826,1863.845,2407.358,2080.835
2020-03-20,30.0,7.0,0.0,6.0,2.295,1.0,12.0,5.257,22149.0,28939.0,24851.21,29548.0,38264.0,33126.533,8198.0,10540.0,9248.724,3797.0,5105.0,4362.952,3.0,18.0,10.305,64147.0,82856.0,71599.724,0.762,0.985,0.851,1668.039,2154.564,1861.77
2020-03-21,40.0,10.0,0.0,10.0,3.705,3.0,18.0,8.962,18566.0,24344.0,20881.81,31594.0,40751.0,35341.371,9132.0,11845.0,10319.038,6095.0,8026.0,6889.505,10.0,38.0,21.81,65820.0,84985.0,73453.533,0.782,1.01,0.873,1552.716,2004.924,1732.753
2020-03-22,47.0,7.0,1.0,12.0,5.533,5.0,25.0,14.495,15693.0,20524.0,17624.343,32237.0,41639.0,36086.171,9873.0,12831.0,11155.438,9136.0,11924.0,10275.305,27.0,71.0,46.371,67401.0,86966.0,75187.629,0.801,1.034,0.894,1490.259,1922.785,1662.262
2020-03-23,58.0,11.0,2.0,15.0,7.771,12.0,36.0,22.267,13450.0,17591.0,15108.314,31566.0,40946.0,35401.514,10389.0,13448.0,11722.762,12947.0,16849.0,14511.029,69.0,133.0,97.257,68851.0,88942.0,76840.876,0.818,1.057,0.913,1459.219,1885.063,1628.504
2020-03-24,87.0,29.0,3.0,25.0,11.086,22.0,49.0,33.352,11784.0,15387.0,13242.848,29789.0,38713.0,33520.162,10679.0,13794.0,12008.343,17425.0,22671.0,19488.667,148.0,237.0,194.333,70223.0,90778.0,78454.352,0.835,1.079,0.932,1447.668,1871.696,1617.569
2020-03-25,113.0,26.0,6.0,25.0,14.933,30.0,67.0,48.286,10640.0,13844.0,11940.429,27285.0,35595.0,30764.324,10673.0,13805.0,11997.429,22336.0,28983.0,24973.19,311.0,461.0,379.19,71656.0,92616.0,80054.562,0.852,1.101,0.951,1449.726,1874.722,1620.021
2020-03-26,134.0,21.0,9.0,30.0,19.01,47.0,91.0,67.295,9899.0,12839.0,11078.705,24383.0,31918.0,27501.981,10382.0,13524.0,11714.314,27337.0,35539.0,30661.543,593.0,818.0,703.562,73137.0,94495.0,81660.105,0.869,1.123,0.97,1458.211,1885.818,1629.446
2020-03-27,144.0,10.0,12.0,38.0,23.771,65.0,122.0,91.067,9386.0,12239.0,10534.838,21405.0,28106.0,24114.029,9955.0,12916.0,11173.81,32351.0,41817.0,36197.524,1097.0,1431.0,1246.562,74577.0,96377.0,83266.762,0.886,1.145,0.99,1467.853,1899.118,1640.575
2020-03-28,175.0,31.0,16.0,43.0,28.114,93.0,149.0,119.181,9065.0,11779.0,10217.152,18466.0,24489.0,20892.076,9294.0,12069.0,10434.819,36897.0,47585.0,41230.362,1859.0,2434.0,2104.905,75992.0,98206.0,84879.314,0.903,1.167,1.009,1475.331,1908.314,1649.33
2020-03-29,207.0,32.0,20.0,47.0,33.114,115.0,183.0,152.295,8793.0,11609.0,10039.886,15983.0,21128.0,18074.19,8513.0,11064.0,9571.629,40627.0,52513.0,45428.581,2994.0,3930.0,3383.0,77457.0,100153.0,86497.286,0.921,1.19,1.028,1478.714,1912.81,1652.222
2020-03-30,236.0,29.0,19.0,55.0,37.2,155.0,226.0,189.495,8853.0,11597.0,9960.933,13970.0,18382.0,15736.552,7700.0,9981.0,8656.257,43391.0,56169.0,48576.467,4634.0,5957.0,5187.171,78942.0,102042.0,88117.381,0.938,1.213,1.047,1472.426,1907.33,1646.201
2020-03-31,248.0,12.0,25.0,62.0,40.381,191.0,282.0,229.876,8800.0,11510.0,9920.219,12322.0,16208.0,13901.21,6885.0,9004.0,7752.286,45156.0,58466.0,50557.067,6783.0,8789.0,7591.581,80441.0,103864.0,89722.362,0.956,1.234,1.066,1458.722,1885.628,1628.905
2020-04-01,308.0,60.0,26.0,58.0,43.314,221.0,326.0,273.19,8772.0,11418.0,9881.267,11102.0,14601.0,12537.724,6162.0,8056.0,6917.038,45810.0,59322.0,51306.286,9522.0,12362.0,10663.343,81792.0,105684.0,91305.657,0.972,1.256,1.085,1429.972,1849.871,1598.529
2020-04-02,343.0,35.0,28.0,63.0,45.552,265.0,389.0,318.743,8696.0,11357.0,9824.905,10292.0,13461.0,11559.848,5477.0,7181.0,6194.619,45421.0,58886.0,50878.476,12866.0,16691.0,14401.743,83128.0,107514.0,92859.59,0.988,1.278,1.104,1390.468,1799.747,1554.72
