date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.932,0.932,0.932
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.99,0.0,0.0,0.0,0.907,3.63,1.805
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.49,0.0,1.0,0.031,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.531,0.0,0.0,0.0,0.88,5.282,3.108
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,6.25,0.0,1.0,0.198,0.0,1.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.521,0.0,0.001,0.0,2.552,9.359,5.548
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,11.625,0.0,2.0,0.49,0.0,1.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,12.26,0.0,0.001,0.001,4.914,15.563,10.042
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,21.156,0.0,3.0,1.042,0.0,2.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,22.438,0.001,0.002,0.002,10.994,23.558,17.619
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,48.0,38.031,0.0,4.0,1.75,0.0,3.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0,28.0,51.0,40.24,0.002,0.004,0.003,20.986,38.225,30.16
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,90.0,66.948,0.0,8.0,3.24,0.0,3.0,0.854,0.0,0.0,0.0,0.0,0.0,0.0,53.0,95.0,71.042,0.004,0.007,0.005,37.739,67.645,50.586
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,142.0,114.031,0.0,12.0,5.823,0.0,4.0,1.521,0.0,1.0,0.042,0.0,0.0,0.0,93.0,153.0,121.417,0.007,0.012,0.009,62.606,102.997,81.736
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,226.0,188.323,1.0,18.0,10.76,0.0,8.0,2.615,0.0,2.0,0.135,0.0,0.0,0.0,158.0,244.0,201.833,0.012,0.018,0.015,100.053,154.513,127.811
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,376.0,304.458,7.0,30.0,19.344,0.0,14.0,4.802,0.0,2.0,0.354,0.0,0.0,0.0,258.0,407.0,328.958,0.02,0.031,0.025,152.902,241.205,194.954
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,578.0,482.396,19.0,50.0,32.802,0.0,19.0,8.188,0.0,3.0,0.583,0.0,0.0,0.0,415.0,628.0,523.969,0.031,0.048,0.04,228.988,346.517,289.114
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,841.0,739.896,38.0,77.0,55.75,6.0,24.0,14.042,0.0,4.0,1.135,0.0,0.0,0.0,669.0,930.0,810.823,0.051,0.07,0.061,341.917,475.311,414.401
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,1253.0,1102.344,65.0,123.0,93.385,14.0,37.0,24.427,0.0,6.0,2.135,0.0,0.0,0.0,1019.0,1391.0,1222.292,0.077,0.105,0.093,479.938,655.146,575.686
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.0,1800.0,1600.792,114.0,188.0,151.417,24.0,51.0,39.802,0.0,9.0,3.885,0.0,0.0,0.0,1502.0,2011.0,1795.896,0.114,0.152,0.136,648.686,868.514,775.615
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.0,2550.0,2259.219,195.0,307.0,242.406,40.0,81.0,62.865,1.0,12.0,6.865,0.0,1.0,0.021,2149.0,2898.0,2571.375,0.163,0.22,0.195,846.967,1142.164,1013.426
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.0,3558.0,3102.167,310.0,455.0,377.146,66.0,122.0,98.156,4.0,24.0,12.521,0.0,1.0,0.031,3075.0,4105.0,3590.021,0.233,0.311,0.272,1100.895,1469.65,1285.269
2020-03-06,1.0,1.0,0.0,1.0,0.01,0.0,1.0,0.01,3559.0,4762.0,4126.312,480.0,667.0,572.417,108.0,188.0,147.792,11.0,34.0,21.708,0.0,1.0,0.115,4181.0,5569.0,4868.344,0.317,0.422,0.369,1353.84,1803.285,1576.37
2020-03-07,1.0,0.0,0.0,1.0,0.031,0.0,1.0,0.042,4630.0,6010.0,5334.156,703.0,980.0,844.646,179.0,271.0,220.688,21.0,57.0,37.771,0.0,2.0,0.167,5554.0,7264.0,6437.427,0.421,0.551,0.488,1620.019,2118.801,1877.653
2020-03-08,2.0,1.0,0.0,1.0,0.031,0.0,2.0,0.073,5799.0,7571.0,6708.135,1036.0,1403.0,1218.927,264.0,384.0,318.927,38.0,84.0,63.229,0.0,2.0,0.292,7169.0,9373.0,8309.51,0.543,0.71,0.63,1876.615,2453.551,2175.088
2020-03-09,3.0,1.0,0.0,1.0,0.031,0.0,2.0,0.104,7167.0,9257.0,8220.448,1467.0,1951.0,1712.323,369.0,519.0,449.51,73.0,145.0,104.031,0.0,3.0,0.635,9114.0,11825.0,10486.948,0.691,0.896,0.795,2133.759,2768.455,2455.043
2020-03-10,4.0,1.0,0.0,1.0,0.062,0.0,2.0,0.167,8577.0,11042.0,9807.344,1984.0,2650.0,2341.385,510.0,730.0,620.427,135.0,219.0,168.719,0.0,4.0,1.156,11237.0,14599.0,12939.031,0.852,1.107,0.981,2345.48,3047.496,2700.741
2020-03-11,4.0,0.0,0.0,2.0,0.24,0.0,2.0,0.406,9935.0,12790.0,11419.427,2683.0,3520.0,3124.156,672.0,978.0,833.438,218.0,334.0,265.844,0.0,5.0,1.854,13564.0,17595.0,15644.719,1.028,1.334,1.186,2517.33,3265.735,2903.573
2020-03-12,6.0,2.0,0.0,2.0,0.26,0.0,3.0,0.667,11211.0,14544.0,12979.552,3529.0,4547.0,4058.719,890.0,1293.0,1094.677,336.0,494.0,407.99,0.0,8.0,3.552,16020.0,20813.0,18544.49,1.214,1.578,1.406,2636.945,3426.628,3052.852
2020-03-13,7.0,1.0,0.0,2.0,0.323,0.0,4.0,0.99,12438.0,16145.0,14425.521,4496.0,5792.0,5152.198,1174.0,1634.0,1408.438,511.0,723.0,611.177,2.0,15.0,6.406,18696.0,24193.0,21603.74,1.417,1.834,1.638,2724.121,3525.659,3148.042
2020-03-14,7.0,0.0,0.0,3.0,0.417,0.0,4.0,1.406,13506.0,17493.0,15704.208,5567.0,7153.0,6380.469,1503.0,2057.0,1767.458,775.0,1082.0,896.052,4.0,19.0,11.167,21391.0,27663.0,24759.354,1.621,2.097,1.877,2754.284,3561.943,3187.894
2020-03-15,7.0,0.0,0.0,4.0,0.802,0.0,6.0,2.208,14256.0,18639.0,16734.604,6693.0,8692.0,7728.552,1834.0,2499.0,2172.208,1096.0,1481.0,1284.021,7.0,31.0,19.146,24061.0,31223.0,27938.531,1.824,2.367,2.118,2733.502,3547.096,3173.821
2020-03-16,11.0,4.0,0.0,5.0,1.01,0.0,7.0,3.219,14895.0,19549.0,17509.271,7875.0,10189.0,9142.75,2217.0,2992.0,2618.156,1561.0,2069.0,1800.417,18.0,47.0,32.0,26752.0,34731.0,31102.594,2.028,2.633,2.358,2678.12,3477.828,3113.71
2020-03-17,12.0,1.0,0.0,6.0,1.604,1.0,11.0,4.823,15297.0,20212.0,18008.802,9100.0,11829.0,10582.927,2661.0,3543.0,3095.094,2112.0,2796.0,2469.604,37.0,75.0,52.521,29326.0,38186.0,34208.948,2.223,2.894,2.593,2584.698,3366.225,3015.269
2020-03-18,13.0,1.0,0.0,5.0,1.938,1.0,13.0,6.76,15540.0,20546.0,18244.469,10358.0,13322.0,11996.781,3067.0,4112.0,3584.208,2844.0,3775.0,3315.073,60.0,118.0,85.906,31936.0,41604.0,37226.438,2.421,3.154,2.822,2476.545,3227.103,2886.922
2020-03-19,15.0,2.0,0.0,7.0,2.802,2.0,18.0,9.562,15412.0,20547.0,18214.417,11439.0,14817.0,13343.0,3512.0,4631.0,4075.698,3746.0,4995.0,4348.469,106.0,176.0,135.479,34305.0,44773.0,40117.062,2.6,3.394,3.041,2339.707,3053.527,2736.04
2020-03-20,17.0,2.0,1.0,10.0,3.302,4.0,22.0,12.865,15264.0,20235.0,17936.469,12330.0,16236.0,14549.323,3953.0,5127.0,4561.135,4805.0,6391.0,5589.312,171.0,271.0,213.229,36650.0,47886.0,42849.469,2.778,3.63,3.248,2198.148,2869.903,2569.17
2020-03-21,22.0,5.0,1.0,11.0,4.135,9.0,26.0,17.0,14831.0,19720.0,17453.354,13149.0,17391.0,15608.219,4364.0,5605.0,5015.615,6052.0,7952.0,7022.198,273.0,406.0,323.167,38833.0,50927.0,45422.552,2.943,3.86,3.443,2046.658,2683.418,2394.123
2020-03-22,24.0,2.0,1.0,13.0,5.76,11.0,34.0,22.76,14257.0,18928.0,16785.25,13905.0,18403.0,16451.562,4761.0,6039.0,5436.031,7501.0,9719.0,8648.458,403.0,578.0,481.271,40897.0,53588.0,47802.573,3.1,4.062,3.623,1894.112,2481.784,2214.827
2020-03-23,32.0,8.0,1.0,19.0,6.969,16.0,44.0,29.729,13646.0,18008.0,15998.969,14432.0,19256.0,17061.615,5075.0,6439.0,5795.354,8972.0,11737.0,10446.115,603.0,812.0,703.76,42798.0,56060.0,50005.812,3.244,4.249,3.79,1741.085,2282.599,2036.755
2020-03-24,37.0,5.0,1.0,16.0,8.542,21.0,52.0,38.271,12945.0,17032.0,15117.698,14675.0,19480.0,17427.323,5335.0,6807.0,6093.135,10626.0,13843.0,12389.302,867.0,1187.0,1006.396,44536.0,58333.0,52033.854,3.376,4.422,3.944,1593.209,2086.765,1863.338
2020-03-25,40.0,3.0,2.0,19.0,9.74,31.0,68.0,48.01,12136.0,15995.0,14176.396,14807.0,19745.0,17561.177,5522.0,7038.0,6324.052,12393.0,16072.0,14427.198,1186.0,1603.0,1410.375,46153.0,60449.0,53899.198,3.498,4.582,4.085,1451.726,1902.891,1697.205
2020-03-26,48.0,8.0,4.0,22.0,12.115,40.0,81.0,60.125,11373.0,14873.0,13185.948,14700.0,19707.0,17474.167,5649.0,7221.0,6474.146,14193.0,18363.0,16515.781,1672.0,2173.0,1934.552,47612.0,62318.0,55584.594,3.609,4.724,4.213,1317.387,1725.672,1539.319
2020-03-27,58.0,10.0,5.0,22.0,13.052,51.0,93.0,73.177,10427.0,13708.0,12200.948,14555.0,19379.0,17171.26,5710.0,7286.0,6547.302,15858.0,20730.0,18581.656,2242.0,2983.0,2609.938,48857.0,64010.0,57111.104,3.703,4.852,4.329,1188.595,1557.51,1390.96
2020-03-28,93.0,35.0,6.0,26.0,15.719,64.0,113.0,88.896,9514.0,12584.0,11215.885,14117.0,18890.0,16695.802,5662.0,7327.0,6545.073,17611.0,22879.0,20576.698,2975.0,3912.0,3451.708,49984.0,65497.0,58485.167,3.789,4.965,4.433,1070.158,1401.98,1252.834
