date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.701,0.701,0.701
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.736,0.0,0.0,0.0,0.69,2.069,1.198
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.143,0.0,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.165,0.0,0.001,0.0,0.677,4.064,2.144
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.165,0.0,2.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.286,0.0,0.001,0.001,1.327,5.971,3.507
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.187,0.0,2.0,0.407,0.0,1.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.659,0.0,0.001,0.001,1.944,8.423,5.61
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,13.692,0.0,3.0,0.714,0.0,1.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,14.615,0.001,0.002,0.001,4.414,13.872,9.216
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,33.0,22.264,0.0,4.0,1.253,0.0,2.0,0.385,0.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,23.901,0.001,0.003,0.002,8.559,21.398,14.612
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,51.0,36.516,0.0,6.0,2.374,0.0,3.0,0.703,0.0,0.0,0.0,0.0,0.0,0.0,26.0,54.0,39.593,0.003,0.005,0.004,15.349,31.879,23.374
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,57.846,0.0,9.0,3.923,0.0,4.0,1.099,0.0,1.0,0.022,0.0,0.0,0.0,44.0,85.0,62.89,0.004,0.008,0.006,24.97,48.238,35.69
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,113.0,89.473,2.0,13.0,6.637,0.0,6.0,1.802,0.0,1.0,0.088,0.0,0.0,0.0,72.0,124.0,98.0,0.007,0.012,0.01,39.09,67.321,53.205
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,174.0,137.044,5.0,17.0,11.099,0.0,8.0,2.967,0.0,2.0,0.198,0.0,0.0,0.0,116.0,193.0,151.308,0.011,0.019,0.015,59.939,99.726,78.183
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,250.0,204.912,11.0,28.0,18.341,1.0,11.0,4.791,0.0,2.0,0.407,0.0,0.0,0.0,179.0,281.0,228.451,0.018,0.027,0.022,87.551,137.44,111.737
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,376.0,302.857,19.0,38.0,29.198,1.0,15.0,7.857,0.0,3.0,0.846,0.0,0.0,0.0,267.0,411.0,340.758,0.026,0.04,0.033,122.913,189.203,156.868
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,526.0,439.703,31.0,58.0,45.385,4.0,22.0,12.077,0.0,5.0,1.505,0.0,0.0,0.0,403.0,589.0,498.67,0.039,0.058,0.049,173.589,253.707,214.799
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,763.0,623.407,49.0,92.0,69.923,10.0,28.0,18.253,0.0,7.0,2.714,0.0,0.0,0.0,590.0,862.0,714.297,0.058,0.084,0.07,236.378,345.352,286.176
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,1019.0,858.505,80.0,128.0,107.571,16.0,39.0,27.538,1.0,8.0,4.582,0.0,0.0,0.0,802.0,1172.0,998.198,0.078,0.115,0.098,297.071,434.124,369.745
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,1359.0,1159.78,122.0,190.0,159.813,26.0,55.0,41.593,3.0,14.0,7.879,0.0,1.0,0.011,1092.0,1596.0,1369.077,0.107,0.156,0.134,371.761,543.344,466.086
2020-03-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,1786.0,1524.231,184.0,287.0,236.495,44.0,79.0,60.484,5.0,19.0,12.473,0.0,2.0,0.044,1487.0,2152.0,1833.725,0.145,0.21,0.179,462.59,669.465,570.439
2020-03-13,1.0,0.0,0.0,1.0,0.011,0.0,1.0,0.011,1572.0,2275.0,1953.352,272.0,411.0,337.791,60.0,111.0,87.484,9.0,29.0,20.033,0.0,2.0,0.077,1952.0,2809.0,2398.736,0.191,0.275,0.235,551.822,794.092,678.091
2020-03-14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,1992.0,2817.0,2444.352,399.0,587.0,476.0,87.0,163.0,124.549,19.0,41.0,31.505,0.0,2.0,0.187,2516.0,3563.0,3076.593,0.246,0.348,0.301,642.965,910.27,786.177
2020-03-15,1.0,0.0,0.0,1.0,0.022,0.0,1.0,0.033,2479.0,3425.0,2983.0,555.0,784.0,655.176,118.0,223.0,173.549,31.0,67.0,49.725,0.0,2.0,0.407,3189.0,4448.0,3861.857,0.312,0.435,0.378,732.891,1022.324,887.711
2020-03-16,1.0,0.0,0.0,1.0,0.055,0.0,1.0,0.088,2967.0,4094.0,3553.473,715.0,1062.0,882.33,164.0,296.0,235.923,56.0,96.0,76.824,0.0,3.0,0.714,3912.0,5499.0,4749.264,0.382,0.538,0.464,805.247,1131.999,977.693
2020-03-17,1.0,0.0,0.0,1.0,0.033,0.0,1.0,0.121,3433.0,4760.0,4135.659,937.0,1365.0,1160.604,224.0,379.0,313.495,87.0,145.0,116.275,0.0,5.0,1.396,4693.0,6612.0,5727.429,0.459,0.646,0.56,861.794,1214.079,1051.718
2020-03-18,1.0,0.0,0.0,1.0,0.143,0.0,2.0,0.264,3882.0,5368.0,4693.451,1198.0,1771.0,1495.22,307.0,493.0,409.637,129.0,210.0,173.692,0.0,9.0,2.462,5554.0,7772.0,6774.462,0.543,0.76,0.662,906.253,1268.591,1105.792
2020-03-19,1.0,0.0,0.0,2.0,0.187,0.0,2.0,0.451,4326.0,5962.0,5211.835,1539.0,2222.0,1890.154,403.0,619.0,521.835,199.0,302.0,253.022,0.0,10.0,3.945,6501.0,9028.0,7880.791,0.636,0.883,0.771,940.421,1306.196,1140.149
2020-03-20,2.0,1.0,0.0,2.0,0.242,0.0,3.0,0.692,4688.0,6512.0,5679.308,1892.0,2712.0,2329.582,514.0,789.0,649.846,287.0,434.0,360.286,1.0,14.0,6.363,7408.0,10361.0,9025.385,0.724,1.013,0.882,947.408,1325.297,1154.533
2020-03-21,5.0,3.0,0.0,2.0,0.286,0.0,3.0,0.978,4931.0,6905.0,6053.758,2324.0,3235.0,2810.187,621.0,962.0,795.945,420.0,621.0,505.747,4.0,18.0,10.242,8306.0,11618.0,10175.879,0.812,1.136,0.995,937.756,1311.932,1148.817
