date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.01,1.01,1.01
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.404,0.0,0.001,0.0,0.978,4.888,2.351
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.292,0.0,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.315,0.0,0.002,0.001,1.881,9.406,4.999
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,10.236,0.0,1.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,10.337,0.001,0.003,0.002,3.598,14.392,9.298
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,19.067,0.0,2.0,0.36,0.0,2.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,19.483,0.002,0.005,0.003,9.399,23.926,16.648
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,46.0,35.393,0.0,3.0,1.011,0.0,2.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,20.0,49.0,36.573,0.003,0.008,0.006,16.116,39.485,29.471
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,84.0,63.0,0.0,7.0,2.416,0.0,3.0,0.584,0.0,0.0,0.0,0.0,0.0,0.0,44.0,87.0,66.0,0.008,0.015,0.011,33.174,65.595,49.761
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,132.0,110.708,2.0,12.0,5.056,0.0,4.0,1.315,0.0,0.0,0.0,0.0,0.0,0.0,76.0,142.0,117.079,0.013,0.024,0.02,53.171,99.347,81.911
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,220.0,186.596,5.0,18.0,9.91,0.0,6.0,2.371,0.0,1.0,0.022,0.0,0.0,0.0,136.0,234.0,198.899,0.023,0.04,0.034,87.535,150.611,128.019
