date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.708,1.708,1.708
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.755,0.0,0.0,0.0,1.704,8.521,4.694
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,7.464,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,7.482,0.0,0.001,0.0,5.091,20.365,12.697
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,19.409,0.0,1.0,0.136,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,19.564,0.001,0.001,0.001,23.582,48.848,32.953
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,69.0,52.973,0.0,2.0,0.564,0.0,1.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,37.0,70.0,53.645,0.002,0.003,0.002,61.508,116.367,89.179
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,172.0,140.991,0.0,6.0,1.618,0.0,3.0,0.345,0.0,0.0,0.0,0.0,0.0,0.0,110.0,175.0,142.955,0.005,0.007,0.006,178.713,284.316,232.253
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,440.0,367.182,0.0,9.0,4.264,0.0,4.0,0.991,0.0,0.0,0.0,0.0,0.0,0.0,307.0,444.0,372.436,0.013,0.019,0.016,479.453,693.411,581.648
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,1066.0,938.627,4.0,21.0,11.727,0.0,8.0,3.009,0.0,0.0,0.0,0.0,0.0,0.0,807.0,1082.0,953.364,0.034,0.045,0.04,1179.266,1581.122,1393.146
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2611.0,2303.164,16.0,43.0,29.691,1.0,14.0,7.564,0.0,1.0,0.018,0.0,0.0,0.0,2045.0,2658.0,2340.436,0.085,0.111,0.098,2682.506,3486.602,3070.041
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4684.0,5975.0,5319.682,55.0,109.0,78.845,8.0,33.0,19.664,0.0,2.0,0.127,0.0,0.0,0.0,4760.0,6098.0,5418.318,0.198,0.254,0.226,5286.502,6772.498,6017.637
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9733.0,12595.0,11182.418,162.0,242.0,201.909,32.0,67.0,50.391,0.0,3.0,0.436,0.0,0.0,0.0,9942.0,12897.0,11435.155,0.414,0.537,0.477,8691.381,11274.667,9996.709
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18356.0,23621.0,20805.964,408.0,573.0,492.064,99.0,155.0,124.073,0.0,5.0,1.127,0.0,0.0,0.0,18892.0,24338.0,21423.227,0.787,1.014,0.893,12026.879,15493.87,13638.29
2020-03-09,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,29878.0,38121.0,33632.773,959.0,1310.0,1156.3,245.0,351.0,290.782,0.0,10.0,3.209,0.0,0.0,0.0,31090.0,39725.0,35083.064,1.296,1.656,1.462,13448.512,17183.73,15175.781
2020-03-10,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.018,41782.0,53279.0,47094.518,2148.0,2872.0,2524.036,523.0,722.0,629.927,2.0,17.0,7.927,0.0,0.0,0.0,44474.0,56749.0,50256.409,1.853,2.365,2.094,12439.165,15872.423,14056.477
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.018,51534.0,65665.0,57981.673,4344.0,5649.0,5037.864,1069.0,1430.0,1262.718,14.0,32.0,21.245,0.0,0.0,0.0,57022.0,72692.0,64303.5,2.376,3.029,2.68,10062.893,12828.239,11347.888
2020-03-12,0.0,0.0,0.0,1.0,0.018,0.0,1.0,0.036,57109.0,72718.0,64174.527,7942.0,10280.0,9127.527,1969.0,2590.0,2291.991,34.0,78.0,54.473,0.0,0.0,0.0,67059.0,85596.0,75648.518,2.795,3.567,3.153,7482.379,9550.72,8440.789
2020-03-13,0.0,0.0,0.0,1.0,0.045,0.0,2.0,0.082,57889.0,73905.0,65180.064,13239.0,16889.0,14997.255,3265.0,4236.0,3772.455,103.0,181.0,136.291,0.0,1.0,0.009,74571.0,95176.0,84086.073,3.108,3.966,3.504,5413.368,6909.157,6104.1
2020-03-14,1.0,1.0,0.0,1.0,0.136,0.0,2.0,0.218,54827.0,70070.0,61814.218,19857.0,25304.0,22385.891,4942.0,6433.0,5665.591,269.0,383.0,330.445,0.0,1.0,0.055,80024.0,102169.0,90196.2,3.335,4.258,3.759,3985.965,5088.999,4492.636
2020-03-15,3.0,2.0,0.0,3.0,0.473,0.0,4.0,0.691,49246.0,63033.0,55481.027,27262.0,34602.0,30630.227,6833.0,8803.0,7825.055,613.0,850.0,753.727,0.0,2.0,0.218,83954.0,107268.0,94690.255,3.499,4.47,3.946,3081.809,3937.626,3475.911
2020-03-16,6.0,3.0,0.0,4.0,0.864,0.0,5.0,1.555,42484.0,54228.0,47722.273,34493.0,43869.0,38785.009,8724.0,11393.0,10062.855,1347.0,1825.0,1597.855,0.0,3.0,0.609,87048.0,111267.0,98168.6,3.628,4.637,4.091,2545.701,3253.951,2870.902
2020-03-17,12.0,6.0,0.0,5.0,1.609,0.0,8.0,3.164,35376.0,45337.0,39857.209,40845.0,51959.0,45852.227,10591.0,13793.0,12191.0,2666.0,3541.0,3130.173,0.0,5.0,1.536,89478.0,114600.0,101032.145,3.729,4.776,4.21,2238.349,2866.766,2527.345
2020-03-18,22.0,10.0,0.0,9.0,2.918,2.0,13.0,6.082,28934.0,37221.0,32754.773,45565.0,57942.0,51063.755,12250.0,15920.0,14071.891,4944.0,6381.0,5664.591,0.0,10.0,4.273,91694.0,117467.0,103559.282,3.821,4.895,4.316,2074.687,2657.793,2343.082
2020-03-19,29.0,7.0,1.0,13.0,5.0,5.0,22.0,11.082,23668.0,30726.0,26900.682,48040.0,61055.0,53920.991,13639.0,17679.0,15611.536,8285.0,10641.0,9455.591,5.0,20.0,11.1,93743.0,120118.0,105899.9,3.907,5.006,4.413,1994.653,2555.632,2253.21
2020-03-20,43.0,14.0,3.0,16.0,8.145,9.0,30.0,19.227,19840.0,25607.0,22409.782,48294.0,61618.0,54286.273,14624.0,18992.0,16756.818,13036.0,16389.0,14673.773,18.0,41.0,28.764,95819.0,122640.0,108155.409,3.993,5.111,4.507,1965.679,2515.858,2218.743
2020-03-21,55.0,12.0,2.0,19.0,11.509,15.0,45.0,30.736,17032.0,21869.0,19157.2,46674.0,59557.0,52360.673,15265.0,19897.0,17485.155,18839.0,23845.0,21296.291,47.0,96.0,69.6,97864.0,125234.0,110368.918,4.078,5.219,4.6,1965.234,2514.92,2216.173
2020-03-22,74.0,19.0,7.0,26.0,16.282,25.0,61.0,47.018,14988.0,19378.0,16928.6,43256.0,55290.0,48601.191,15493.0,20155.0,17776.827,25894.0,32731.0,29102.327,125.0,199.0,162.636,99756.0,127729.0,112571.582,4.157,5.323,4.691,1977.845,2532.164,2231.509
2020-03-23,102.0,28.0,10.0,36.0,22.218,43.0,87.0,69.236,13764.0,17545.0,15489.891,38708.0,49695.0,43625.664,15331.0,20014.0,17622.745,33576.0,42529.0,37685.464,296.0,429.0,361.045,101687.0,130158.0,114784.809,4.238,5.424,4.784,1998.813,2558.834,2256.007
2020-03-24,124.0,22.0,16.0,41.0,28.545,73.0,124.0,97.782,12941.0,16599.0,14616.964,33888.0,43493.0,38103.782,14888.0,19345.0,17038.527,41237.0,52445.0,46496.909,626.0,881.0,753.682,103631.0,132688.0,117009.864,4.319,5.53,4.876,2022.018,2590.165,2283.273
2020-03-25,165.0,41.0,23.0,47.0,35.091,103.0,161.0,132.873,12517.0,15969.0,14135.345,29047.0,37216.0,32668.273,14153.0,18222.0,16075.964,48652.0,62168.0,54917.809,1263.0,1674.0,1464.136,105695.0,135194.0,119261.527,4.405,5.634,4.97,2045.978,2617.685,2308.489
2020-03-26,206.0,41.0,25.0,57.0,42.018,145.0,210.0,174.891,12202.0,15630.0,13902.8,24795.0,31674.0,27772.455,13099.0,16766.0,14821.391,55238.0,70619.0,62389.409,2288.0,3053.0,2646.409,107663.0,137742.0,121532.464,4.487,5.74,5.065,2061.7,2636.264,2326.954
2020-03-27,252.0,46.0,35.0,67.0,49.191,186.0,273.0,224.082,12134.0,15659.0,13826.509,21083.0,27027.0,23665.627,11859.0,15153.0,13397.391,60656.0,77566.0,68445.482,3909.0,5014.0,4475.918,109708.0,140417.0,123810.927,4.572,5.852,5.16,2068.053,2648.439,2334.12
2020-03-28,321.0,69.0,41.0,75.0,55.227,231.0,329.0,279.309,12275.0,15662.0,13828.645,18178.0,23333.0,20438.809,10551.0,13491.0,11928.336,64417.0,82605.0,72768.109,6290.0,7948.0,7124.7,111799.0,143039.0,126088.6,4.659,5.961,5.255,2062.67,2641.265,2325.952
2020-03-29,380.0,59.0,41.0,92.0,60.673,282.0,405.0,339.982,12373.0,15749.0,13855.845,16031.0,20659.0,18058.218,9349.0,11899.0,10530.5,66539.0,85299.0,75175.527,9514.0,12054.0,10732.3,113868.0,145660.0,128352.391,4.745,6.07,5.349,2038.642,2611.655,2299.172
2020-03-30,442.0,62.0,49.0,86.0,64.909,335.0,478.0,404.891,12404.0,15707.0,13861.364,14565.0,18815.0,16386.891,8247.0,10456.0,9299.155,66874.0,85924.0,75636.573,13557.0,17210.0,15400.164,115909.0,148112.0,130584.145,4.83,6.172,5.442,1995.351,2558.482,2251.273
2020-03-31,516.0,74.0,45.0,92.0,67.9,407.0,553.0,472.791,12316.0,15617.0,13811.736,13626.0,17516.0,15292.764,7292.0,9242.0,8269.182,65733.0,84502.0,74284.091,18806.0,23657.0,21105.773,117812.0,150534.0,132763.545,4.91,6.273,5.533,1934.177,2479.641,2182.201
2020-04-01,585.0,69.0,46.0,92.0,69.609,478.0,627.0,542.4,12174.0,15358.0,13687.245,12994.0,16646.0,14614.182,6613.0,8340.0,7455.218,63091.0,81234.0,71352.291,24735.0,31240.0,27765.009,119639.0,152818.0,134873.945,4.986,6.369,5.621,1854.699,2375.986,2093.218
2020-04-02,641.0,56.0,47.0,96.0,71.164,535.0,708.0,613.564,12045.0,15088.0,13474.5,12666.0,16141.0,14219.591,6070.0,7650.0,6845.382,59359.0,76403.0,67174.973,31327.0,39801.0,35186.891,121467.0,155083.0,136901.336,5.062,6.463,5.705,1761.557,2252.894,1987.751
2020-04-03,723.0,82.0,48.0,94.0,69.991,594.0,783.0,683.555,11755.0,14823.0,13158.627,12397.0,15827.0,13997.618,5699.0,7154.0,6416.191,54934.0,70555.0,62135.9,38276.0,48932.0,43109.745,123161.0,157291.0,138818.082,5.133,6.555,5.785,1658.841,2117.575,1870.353
2020-04-04,786.0,63.0,49.0,95.0,68.8,663.0,859.0,752.355,11417.0,14374.0,12746.809,12324.0,15642.0,13879.818,5437.0,6805.0,6111.927,50021.0,64465.0,56624.355,45534.0,58056.0,51260.382,124733.0,159339.0,140623.291,5.198,6.64,5.86,1547.713,1979.281,1746.337
2020-04-05,847.0,61.0,43.0,89.0,64.736,706.0,932.0,817.091,10984.0,13806.0,12245.164,12232.0,15594.0,13791.118,5223.0,6570.0,5899.2,45266.0,58040.0,51033.373,52555.0,67235.0,59336.164,126260.0,161122.0,142305.018,5.262,6.715,5.93,1440.343,1834.74,1621.378
2020-04-06,919.0,72.0,43.0,84.0,62.973,770.0,1010.0,880.064,10436.0,13195.0,11667.809,12197.0,15472.0,13690.655,5117.0,6428.0,5748.473,40466.0,51967.0,45706.291,59379.0,75980.0,67050.636,127656.0,162934.0,143863.864,5.32,6.79,5.995,1334.266,1699.252,1501.081
2020-04-07,982.0,63.0,41.0,79.0,60.555,824.0,1079.0,940.618,9862.0,12423.0,11044.655,12028.0,15344.0,13542.936,5035.0,6273.0,5630.309,36133.0,46485.0,40868.864,65828.0,84084.0,74218.964,128972.0,164557.0,145305.727,5.375,6.858,6.056,1233.956,1572.598,1389.173
2020-04-08,1028.0,46.0,42.0,80.0,57.927,878.0,1143.0,998.545,9269.0,11722.0,10379.055,11888.0,15117.0,13349.573,4903.0,6172.0,5524.836,32456.0,41731.0,36679.991,71615.0,91375.0,80705.291,130143.0,166028.0,146638.745,5.424,6.919,6.111,1143.75,1458.863,1288.466
2020-04-09,1082.0,54.0,32.0,78.0,55.627,927.0,1197.0,1054.173,8705.0,11012.0,9706.691,11614.0,14728.0,13082.482,4839.0,6066.0,5413.145,29383.0,37671.0,33212.8,76729.0,98063.0,86459.491,131296.0,167458.0,147874.609,5.472,6.979,6.163,1066.344,1356.111,1200.169
2020-04-10,1129.0,47.0,33.0,71.0,50.173,978.0,1246.0,1104.345,7987.0,10213.0,9049.827,11327.0,14331.0,12719.718,4784.0,5954.0,5299.891,27000.0,34489.0,30464.909,81137.0,103845.0,91484.7,132355.0,168779.0,149019.045,5.516,7.034,6.21,1000.898,1268.934,1124.331
2020-04-11,1180.0,51.0,31.0,65.0,47.627,1022.0,1296.0,1151.973,7450.0,9521.0,8436.018,10937.0,13878.0,12287.8,4663.0,5786.0,5163.936,25153.0,32053.0,28354.755,84975.0,108789.0,95850.127,133285.0,169958.0,150092.636,5.555,7.083,6.255,944.07,1195.359,1060.002
2020-04-12,1221.0,41.0,32.0,66.0,45.073,1055.0,1349.0,1197.045,6974.0,8798.0,7871.6,10507.0,13314.0,11791.482,4520.0,5608.0,5014.036,23733.0,30311.0,26775.127,88411.0,113097.0,99656.1,134167.0,171055.0,151108.345,5.591,7.129,6.297,894.159,1132.61,1005.475
