date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.806,1.806,1.806
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.982,0.0,0.0,0.0,3.573,8.933,5.328
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.407,0.0,1.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.442,0.0,0.001,0.0,7.032,26.371,14.843
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,22.761,0.0,1.0,0.124,0.0,1.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,22.92,0.001,0.002,0.001,25.746,60.073,39.34
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,83.0,62.761,0.0,3.0,0.54,0.0,1.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,49.0,83.0,63.407,0.002,0.004,0.003,81.182,137.512,105.051
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,204.0,164.982,0.0,5.0,1.584,0.0,2.0,0.372,0.0,0.0,0.0,0.0,0.0,0.0,132.0,206.0,166.938,0.006,0.01,0.008,207.752,324.219,262.74
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,507.0,424.248,0.0,10.0,4.938,0.0,4.0,1.115,0.0,0.0,0.0,0.0,0.0,0.0,360.0,512.0,430.301,0.018,0.025,0.021,526.663,749.032,629.51
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,1211.0,1044.434,3.0,24.0,13.558,0.0,10.0,3.115,0.0,0.0,0.0,0.0,0.0,0.0,925.0,1226.0,1061.106,0.046,0.06,0.052,1222.772,1620.668,1402.692
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,2809.0,2420.681,23.0,52.0,34.947,4.0,18.0,8.965,0.0,1.0,0.027,0.0,0.0,0.0,2169.0,2848.0,2464.619,0.107,0.14,0.121,2502.595,3286.026,2843.681
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4622.0,5969.0,5196.097,68.0,123.0,89.071,11.0,36.0,22.805,0.0,1.0,0.106,0.0,0.0,0.0,4722.0,6074.0,5308.08,0.232,0.299,0.261,4571.696,5880.661,5139.12
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9046.0,11672.0,10169.814,177.0,278.0,221.381,38.0,78.0,56.354,0.0,2.0,0.363,0.0,0.0,0.0,9294.0,11971.0,10447.912,0.457,0.589,0.514,7246.834,9334.177,8146.576
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15929.0,20532.0,17926.08,435.0,611.0,527.832,103.0,165.0,133.451,0.0,5.0,1.248,0.0,0.0,0.0,16491.0,21274.0,18588.611,0.811,1.047,0.914,9962.159,12851.553,11229.318
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25367.0,32337.0,28342.956,1006.0,1378.0,1170.991,238.0,372.0,295.062,0.0,8.0,3.354,0.0,0.0,0.0,26655.0,34037.0,29812.363,1.311,1.674,1.467,12073.237,15416.874,13503.348
2020-03-08,0.0,0.0,0.0,1.0,0.018,0.0,1.0,0.018,36005.0,45879.0,40302.239,2113.0,2849.0,2415.46,509.0,702.0,604.681,3.0,19.0,9.673,0.0,0.0,0.0,38724.0,49427.0,43332.053,1.905,2.431,2.132,12838.536,16387.003,14366.287
2020-03-09,0.0,0.0,0.0,1.0,0.018,0.0,1.0,0.035,46455.0,59233.0,51924.0,4016.0,5311.0,4607.31,981.0,1331.0,1157.292,14.0,41.0,25.062,0.0,0.0,0.0,51640.0,65902.0,57713.664,2.54,3.242,2.839,12358.524,15771.716,13812.078
2020-03-10,0.0,0.0,0.0,1.0,0.027,0.0,1.0,0.062,54899.0,70119.0,61336.938,7025.0,9330.0,8092.46,1765.0,2330.0,2038.035,43.0,86.0,61.389,0.0,0.0,0.0,64022.0,81848.0,71528.823,3.149,4.026,3.519,11024.492,14094.102,12317.155
2020-03-11,0.0,0.0,0.0,2.0,0.053,0.0,2.0,0.115,60300.0,76977.0,67272.027,11594.0,15052.0,13100.407,2902.0,3735.0,3313.504,119.0,192.0,150.469,0.0,1.0,0.009,75167.0,95923.0,83836.416,3.698,4.719,4.124,9384.279,11975.578,10466.618
2020-03-12,1.0,1.0,0.0,2.0,0.204,0.0,2.0,0.319,62016.0,79371.0,69336.85,17512.0,22479.0,19625.912,4440.0,5642.0,4994.85,278.0,415.0,346.566,0.0,1.0,0.071,84453.0,107860.0,94304.248,4.154,5.306,4.639,7784.145,9941.6,8692.141
2020-03-13,5.0,4.0,0.0,2.0,0.363,0.0,3.0,0.681,60832.0,77638.0,67886.168,24480.0,31311.0,27339.575,6268.0,7972.0,7015.761,631.0,890.0,752.982,0.0,2.0,0.292,92368.0,117796.0,102994.779,4.544,5.795,5.066,6462.763,8241.917,7206.35
2020-03-14,6.0,1.0,0.0,6.0,0.708,0.0,7.0,1.389,57224.0,73055.0,63782.062,31901.0,40762.0,35619.584,8278.0,10501.0,9269.973,1323.0,1760.0,1528.841,0.0,4.0,0.779,98879.0,126058.0,110201.239,4.864,6.201,5.421,5442.006,6937.817,6065.166
2020-03-15,10.0,4.0,0.0,6.0,1.655,0.0,10.0,3.044,52097.0,66504.0,58027.894,39223.0,49970.0,43732.708,10362.0,13188.0,11612.92,2513.0,3342.0,2890.336,0.0,6.0,1.867,104334.0,133006.0,116265.726,5.132,6.543,5.719,4702.036,5994.169,5239.731
2020-03-16,17.0,7.0,0.0,7.0,2.69,1.0,15.0,5.735,46291.0,59209.0,51655.0,45606.0,58087.0,50850.796,12412.0,15837.0,13890.071,4504.0,5912.0,5103.434,1.0,14.0,5.097,109011.0,139049.0,121504.398,5.362,6.84,5.977,4190.3,5345.078,4670.598
2020-03-17,17.0,0.0,0.0,9.0,4.354,3.0,16.0,10.088,40613.0,52008.0,45439.186,50440.0,64521.0,56330.31,14234.0,18232.0,15967.434,7409.0,9668.0,8425.053,4.0,24.0,13.035,113176.0,144442.0,126175.018,5.567,7.105,6.207,3853.507,4917.982,4295.968
2020-03-18,28.0,11.0,2.0,15.0,7.018,8.0,25.0,17.106,35666.0,45662.0,39856.354,53596.0,68407.0,59751.327,15814.0,20237.0,17752.469,11533.0,15078.0,13067.407,19.0,45.0,31.451,117024.0,149416.0,130459.009,5.757,7.35,6.418,3644.415,4653.099,4062.633
2020-03-19,42.0,14.0,3.0,20.0,10.726,13.0,40.0,27.832,31441.0,40260.0,35174.31,54613.0,69892.0,60969.177,17096.0,21928.0,19171.903,16982.0,21889.0,19115.469,56.0,107.0,75.23,120639.0,154048.0,134506.088,5.934,7.578,6.617,3524.775,4500.834,3929.693
2020-03-20,42.0,0.0,6.0,24.0,14.92,29.0,58.0,42.752,28004.0,36030.0,31469.982,53838.0,68734.0,60083.035,17967.0,23082.0,20175.619,23714.0,30445.0,26528.265,131.0,215.0,170.319,124142.0,158475.0,138427.221,6.107,7.796,6.809,3468.319,4427.056,3866.746
2020-03-21,84.0,42.0,10.0,32.0,20.08,40.0,82.0,62.832,25578.0,32991.0,28673.584,51327.0,65492.0,57424.929,18524.0,23810.0,20728.23,31460.0,40317.0,35079.549,287.0,426.0,361.434,127608.0,163002.0,142267.726,6.277,8.018,6.998,3454.773,4412.317,3850.535
2020-03-22,112.0,28.0,14.0,39.0,27.779,60.0,117.0,90.611,23679.0,30611.0,26682.186,47843.0,61184.0,53548.531,18580.0,23899.0,20817.566,39660.0,50831.0,44322.761,606.0,832.0,722.761,131075.0,167342.0,146093.805,6.448,8.232,7.187,3466.402,4427.08,3864.7
2020-03-23,145.0,33.0,17.0,55.0,33.0,90.0,160.0,123.611,22536.0,28983.0,25331.522,43731.0,56008.0,48962.221,18309.0,23496.0,20464.327,48070.0,61665.0,53804.195,1181.0,1545.0,1359.487,134479.0,171697.0,149921.752,6.615,8.446,7.375,3492.484,4461.929,3895.777
2020-03-24,216.0,71.0,28.0,59.0,41.354,121.0,208.0,164.965,21850.0,28089.0,24494.876,39474.0,50540.0,44186.717,17680.0,22626.0,19731.965,56357.0,72219.0,62958.398,2118.0,2769.0,2412.832,137842.0,176208.0,153784.788,6.781,8.668,7.565,3526.581,4507.689,3933.372
2020-03-25,263.0,47.0,34.0,66.0,49.265,155.0,267.0,214.23,21306.0,27507.0,24028.522,35380.0,45385.0,39637.991,16699.0,21424.0,18689.814,63830.0,81722.0,71268.133,3518.0,4620.0,4045.407,141281.0,180658.0,157669.867,6.95,8.887,7.756,3555.532,4546.674,3967.782
2020-03-26,316.0,53.0,38.0,79.0,56.522,204.0,331.0,270.752,21050.0,27405.0,23803.717,31844.0,40959.0,35605.283,15599.0,19995.0,17459.124,70091.0,89394.0,78281.425,5676.0,7482.0,6426.575,144717.0,185235.0,161576.124,7.119,9.112,7.948,3574.893,4572.588,3991.128
2020-03-27,367.0,51.0,41.0,84.0,62.389,267.0,405.0,333.142,20967.0,27372.0,23745.274,28653.0,37032.0,32226.982,14383.0,18464.0,16152.876,74862.0,95579.0,83665.593,8563.0,11291.0,9720.823,148252.0,189738.0,165511.549,7.293,9.334,8.142,3580.412,4578.288,3997.012
2020-03-28,448.0,81.0,50.0,92.0,69.062,328.0,479.0,402.204,21135.0,27367.0,23763.442,26105.0,34009.0,29538.912,13319.0,16985.0,14871.743,77973.0,99540.0,87208.398,12474.0,16313.0,14056.566,151841.0,194214.0,169439.062,7.469,9.554,8.335,3563.781,4556.301,3979.57
