date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.084,1.084,1.084
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.287,0.0,0.0,0.0,1.084,4.335,2.478
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.704,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.713,0.0,0.0,0.0,2.167,8.669,5.107
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,10.102,0.0,1.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,10.204,0.0,0.001,0.0,5.418,17.338,11.057
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,31.0,20.898,0.0,2.0,0.352,0.0,1.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,13.0,31.0,21.324,0.001,0.001,0.001,14.087,33.593,23.108
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,61.0,43.37,0.0,4.0,1.019,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,26.0,62.0,44.639,0.001,0.003,0.002,28.175,67.186,48.373
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,118.0,89.759,0.0,6.0,2.204,0.0,3.0,0.528,0.0,0.0,0.0,0.0,0.0,0.0,68.0,123.0,92.491,0.003,0.006,0.004,73.688,133.288,100.227
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,246.0,185.639,1.0,10.0,4.787,0.0,4.0,1.324,0.0,0.0,0.0,0.0,0.0,0.0,134.0,255.0,191.75,0.006,0.012,0.009,145.208,276.329,207.789
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,500.0,385.861,3.0,22.0,10.204,0.0,9.0,2.852,0.0,0.0,0.0,0.0,0.0,0.0,300.0,528.0,398.917,0.014,0.025,0.019,325.093,572.164,432.283
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,1053.0,804.926,12.0,32.0,21.704,1.0,14.0,5.815,0.0,1.0,0.056,0.0,0.0,0.0,642.0,1091.0,832.5,0.03,0.051,0.039,695.699,1182.255,902.133
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.0,2195.0,1678.417,30.0,60.0,45.102,3.0,20.0,11.519,0.0,2.0,0.269,0.0,0.0,0.0,1390.0,2274.0,1735.306,0.065,0.106,0.081,1505.978,2463.737,1880.095
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2742.0,4549.0,3489.333,69.0,129.0,94.602,9.0,36.0,23.713,0.0,3.0,0.769,0.0,0.0,0.0,2852.0,4714.0,3608.417,0.132,0.219,0.168,2611.594,4316.638,3304.249
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5213.0,8709.0,6654.63,148.0,265.0,198.25,29.0,74.0,49.472,0.0,5.0,1.426,0.0,0.0,0.0,5425.0,9035.0,6903.778,0.252,0.42,0.321,139.204,231.836,177.149
2020-03-10,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,5139.0,8578.0,6562.602,320.0,543.0,411.176,65.0,135.0,103.491,0.0,7.0,3.13,0.0,0.0,0.0,5559.0,9256.0,7080.398,0.258,0.43,0.329,110.269,183.602,140.447
