date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.934,0.934,0.934
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.127,0.0,0.0,0.0,0.934,3.734,1.986
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.176,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.186,0.0,0.001,0.0,1.867,6.534,3.908
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,8.039,0.0,1.0,0.127,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,8.196,0.0,0.001,0.001,3.733,12.132,7.649
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,15.549,0.0,2.0,0.49,0.0,1.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,16.127,0.001,0.002,0.002,9.328,23.32,15.044
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,29.784,0.0,4.0,0.99,0.0,2.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,23.0,43.0,31.0,0.002,0.004,0.003,21.434,40.073,28.89
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,79.0,57.696,0.0,5.0,1.892,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,46.0,80.0,60.088,0.004,0.007,0.006,42.787,74.413,55.891
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,139.0,110.618,1.0,9.0,4.02,0.0,3.0,1.039,0.0,0.0,0.0,0.0,0.0,0.0,90.0,143.0,115.676,0.008,0.013,0.011,83.393,132.502,107.184
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,264.0,212.627,2.0,14.0,7.745,0.0,4.0,1.951,0.0,1.0,0.01,0.0,0.0,0.0,183.0,275.0,222.333,0.017,0.026,0.021,168.26,252.85,204.425
