date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.032,1.032,1.032
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.276,0.0,0.0,0.0,1.032,4.129,2.35
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.99,0.0,1.0,0.01,0.0,1.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.019,0.0,0.0,0.0,2.065,7.226,5.181
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,10.21,0.0,1.0,0.152,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,10.39,0.0,0.001,0.0,3.097,17.548,10.726
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,30.0,21.095,0.0,2.0,0.4,0.0,2.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,12.0,32.0,21.6,0.0,0.001,0.001,12.387,33.031,22.296
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,59.0,43.562,0.0,4.0,1.038,0.0,2.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,31.0,61.0,44.829,0.001,0.002,0.002,31.996,62.959,46.268
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,112.0,88.352,0.0,7.0,2.267,0.0,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,65.0,115.0,91.219,0.002,0.004,0.003,67.067,118.657,94.12
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,223.0,180.324,0.0,13.0,4.981,0.0,4.0,1.314,0.0,0.0,0.0,0.0,0.0,0.0,149.0,227.0,186.619,0.006,0.008,0.007,153.602,234.012,192.383
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,445.0,365.79,3.0,17.0,10.495,0.0,7.0,2.714,0.0,1.0,0.038,0.0,0.0,0.0,303.0,457.0,379.038,0.011,0.017,0.014,311.573,469.93,389.762
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,884.0,739.867,11.0,33.0,21.933,1.0,12.0,5.571,0.0,2.0,0.114,0.0,0.0,0.0,620.0,919.0,767.486,0.023,0.034,0.028,632.973,938.229,783.544
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.0,1767.0,1492.933,29.0,64.0,44.543,5.0,19.0,11.362,0.0,2.0,0.21,0.0,0.0,0.0,1265.0,1830.0,1549.048,0.047,0.068,0.057,1265.488,1830.706,1549.645
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2514.0,3565.0,2984.0,63.0,117.0,90.743,12.0,34.0,23.162,0.0,4.0,0.629,0.0,0.0,0.0,2615.0,3709.0,3098.533,0.097,0.137,0.115,2473.592,3508.433,2930.978
2020-03-10,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,4890.0,6912.0,5789.086,145.0,247.0,185.419,29.0,67.0,47.257,0.0,7.0,1.467,0.0,0.0,0.0,5070.0,7198.0,6023.229,0.188,0.267,0.223,4150.968,5893.229,4931.406
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8884.0,12500.0,10484.39,303.0,469.0,374.267,68.0,121.0,94.143,1.0,8.0,3.21,0.0,0.0,0.0,9275.0,13040.0,10956.01,0.344,0.483,0.406,5500.596,7733.453,6497.529
2020-03-12,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.019,13999.0,19456.0,16513.876,619.0,896.0,749.171,148.0,228.0,188.371,2.0,11.0,6.743,0.0,0.0,0.0,14805.0,20565.0,17458.162,0.548,0.762,0.647,4983.032,6921.719,5876.027
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019,18362.0,25363.0,21503.533,1198.0,1724.0,1460.343,288.0,426.0,364.867,7.0,24.0,13.943,0.0,1.0,0.01,19858.0,27533.0,23342.695,0.736,1.02,0.865,3149.504,4366.769,3702.18
2020-03-14,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.029,20273.0,27768.0,23617.219,2235.0,3256.0,2717.876,537.0,790.0,682.667,16.0,45.0,29.495,0.0,1.0,0.029,23070.0,31847.0,27047.286,0.855,1.18,1.002,1683.856,2324.481,1974.152
2020-03-15,2.0,2.0,0.0,1.0,0.029,0.0,1.0,0.057,19806.0,27093.0,23078.629,3898.0,5618.0,4692.914,970.0,1375.0,1185.552,44.0,85.0,61.0,0.0,1.0,0.057,24763.0,34155.0,29018.152,0.917,1.265,1.075,966.629,1333.247,1132.727
2020-03-16,2.0,0.0,0.0,1.0,0.067,0.0,1.0,0.124,17880.0,24441.0,20809.181,6151.0,8756.0,7353.438,1549.0,2172.0,1863.2,95.0,163.0,125.076,0.0,1.0,0.124,25687.0,35492.0,30151.019,0.952,1.315,1.117,683.726,944.712,802.544
2020-03-17,3.0,1.0,0.0,2.0,0.171,0.0,3.0,0.295,15026.0,20739.0,17604.324,8866.0,12348.0,10431.286,2244.0,3078.0,2659.914,201.0,314.0,252.514,0.0,2.0,0.286,26356.0,36437.0,30948.324,0.976,1.35,1.146,585.426,809.348,687.426
2020-03-18,3.0,0.0,0.0,2.0,0.267,0.0,3.0,0.562,12176.0,16761.0,14214.152,11466.0,15923.0,13451.248,2929.0,4037.0,3473.095,392.0,610.0,496.419,0.0,3.0,0.676,26990.0,37240.0,31635.59,1.0,1.38,1.172,557.763,769.614,653.777
2020-03-19,4.0,1.0,0.0,3.0,0.533,0.0,4.0,1.095,9542.0,13115.0,11145.419,13592.0,18890.0,15978.629,3587.0,4888.0,4210.514,796.0,1163.0,950.867,0.0,5.0,1.476,27559.0,37984.0,32286.905,1.021,1.407,1.196,554.609,764.442,649.773
2020-03-20,5.0,1.0,0.0,5.0,0.886,0.0,6.0,1.981,7389.0,10204.0,8689.6,15038.0,20907.0,17685.648,4119.0,5606.0,4817.486,1450.0,2117.0,1741.219,0.0,7.0,3.305,28142.0,38738.0,32937.257,1.042,1.435,1.22,561.014,772.269,656.612
