date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.248,1.248,1.248
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.536,0.0,0.0,0.0,1.176,5.879,2.981
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.482,0.0,1.0,0.018,0.0,1.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.527,0.0,0.001,0.0,3.299,10.997,6.078
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,11.589,0.0,2.0,0.08,0.0,1.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,11.732,0.001,0.002,0.001,6.123,18.368,11.972
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,22.973,0.0,2.0,0.402,0.0,1.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,15.0,34.0,23.491,0.001,0.003,0.002,14.089,31.934,22.064
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,62.0,43.83,0.0,4.0,1.098,0.0,2.0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,32.0,63.0,45.25,0.003,0.005,0.004,27.438,54.019,38.799
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,110.0,81.107,0.0,5.0,2.509,0.0,3.0,0.661,0.0,0.0,0.0,0.0,0.0,0.0,65.0,114.0,84.277,0.006,0.01,0.007,50.467,88.512,65.434
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,184.0,143.759,2.0,11.0,5.732,0.0,5.0,1.348,0.0,0.0,0.0,0.0,0.0,0.0,121.0,196.0,150.839,0.011,0.017,0.013,84.397,136.709,105.21
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,301.0,242.705,6.0,21.0,11.205,0.0,8.0,2.714,0.0,1.0,0.018,0.0,0.0,0.0,209.0,317.0,256.643,0.018,0.028,0.022,129.969,197.13,159.596
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,479.0,389.196,13.0,35.0,20.804,1.0,11.0,5.188,0.0,1.0,0.098,0.0,0.0,0.0,339.0,518.0,415.286,0.029,0.045,0.036,186.622,285.163,228.618
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,743.0,595.509,28.0,62.0,39.054,2.0,16.0,9.482,0.0,2.0,0.277,0.0,0.0,0.0,517.0,813.0,644.321,0.045,0.071,0.056,250.318,393.633,311.964
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,1091.0,864.741,52.0,102.0,69.393,5.0,27.0,17.179,0.0,3.0,0.705,0.0,0.0,0.0,763.0,1213.0,952.018,0.066,0.106,0.083,323.017,513.525,403.038
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,1496.0,1207.054,88.0,166.0,117.438,16.0,44.0,29.482,0.0,5.0,1.527,0.0,0.0,0.0,1075.0,1700.0,1355.5,0.094,0.148,0.118,395.899,626.073,499.201
2020-03-08,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,1269.0,1997.0,1613.375,147.0,246.0,191.196,31.0,67.0,47.929,0.0,10.0,3.527,0.0,0.0,0.0,1463.0,2315.0,1856.027,0.127,0.201,0.161,466.665,738.435,592.033
2020-03-09,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.018,1671.0,2567.0,2070.161,225.0,384.0,297.089,51.0,106.0,74.893,2.0,14.0,6.661,0.0,0.0,0.0,1973.0,3062.0,2448.804,0.172,0.266,0.213,543.157,842.953,674.143
2020-03-10,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.027,2042.0,3120.0,2551.214,318.0,570.0,445.58,78.0,154.0,113.527,6.0,23.0,13.491,0.0,0.0,0.0,2476.0,3867.0,3123.812,0.215,0.336,0.272,586.657,916.236,740.147
2020-03-11,0.0,0.0,0.0,1.0,0.018,0.0,1.0,0.045,2411.0,3753.0,3033.018,479.0,807.0,640.482,119.0,226.0,165.777,10.0,45.0,25.366,0.0,1.0,0.009,3062.0,4799.0,3864.652,0.266,0.418,0.336,622.985,976.708,786.545
2020-03-12,1.0,1.0,0.0,1.0,0.009,0.0,1.0,0.054,2788.0,4301.0,3483.839,699.0,1102.0,888.946,190.0,305.0,233.179,29.0,70.0,45.357,0.0,1.0,0.045,3717.0,5766.0,4651.366,0.323,0.502,0.405,648.877,1006.842,812.2
2020-03-13,1.0,0.0,0.0,2.0,0.071,0.0,2.0,0.125,3113.0,4791.0,3876.991,937.0,1445.0,1189.179,255.0,426.0,315.554,57.0,108.0,77.464,0.0,2.0,0.161,4369.0,6756.0,5459.348,0.38,0.588,0.475,654.153,1011.781,817.57
2020-03-14,1.0,0.0,0.0,1.0,0.062,0.0,2.0,0.188,3397.0,5202.0,4196.554,1228.0,1859.0,1538.83,327.0,549.0,415.143,94.0,174.0,126.902,0.0,2.0,0.384,5054.0,7784.0,6277.812,0.44,0.677,0.546,649.29,1000.213,806.624
2020-03-15,1.0,0.0,0.0,2.0,0.152,0.0,2.0,0.339,3593.0,5459.0,4425.652,1536.0,2332.0,1925.741,418.0,688.0,526.804,156.0,275.0,203.375,0.0,3.0,0.875,5712.0,8756.0,7082.446,0.497,0.762,0.616,630.409,966.311,781.7
2020-03-16,1.0,0.0,0.0,2.0,0.161,0.0,3.0,0.5,3780.0,5573.0,4564.339,1873.0,2817.0,2336.786,508.0,858.0,650.955,238.0,394.0,310.446,0.0,4.0,1.75,6400.0,9646.0,7864.277,0.557,0.839,0.684,608.02,916.163,747.081
2020-03-17,1.0,0.0,0.0,2.0,0.268,0.0,3.0,0.768,3820.0,5669.0,4611.438,2205.0,3307.0,2753.902,604.0,1054.0,783.232,352.0,570.0,459.527,0.0,8.0,3.42,7065.0,10597.0,8611.518,0.615,0.922,0.749,579.147,868.762,706.041
2020-03-18,1.0,0.0,0.0,2.0,0.25,0.0,4.0,1.018,3821.0,5663.0,4571.089,2570.0,3783.0,3157.634,715.0,1217.0,920.821,482.0,820.0,658.67,2.0,13.0,6.643,7631.0,11493.0,9314.857,0.664,1.0,0.81,541.598,815.95,661.415
2020-03-19,2.0,1.0,0.0,3.0,0.562,0.0,5.0,1.58,3758.0,5566.0,4462.839,2845.0,4217.0,3524.491,854.0,1373.0,1057.821,690.0,1155.0,915.107,4.0,20.0,12.259,8162.0,12327.0,9972.518,0.71,1.072,0.868,503.734,761.197,615.849
2020-03-20,2.0,0.0,0.0,4.0,0.732,0.0,7.0,2.312,3632.0,5379.0,4307.098,3117.0,4604.0,3839.205,952.0,1528.0,1186.804,961.0,1513.0,1231.875,10.0,36.0,21.955,8682.0,13057.0,10586.938,0.755,1.136,0.921,468.446,704.346,571.36
