date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.684,1.684,1.684
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.934,0.0,0.0,0.0,1.684,10.104,4.942
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,7.715,0.0,1.0,0.015,0.0,1.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,7.737,0.0,0.001,0.001,6.736,21.893,13.03
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,20.175,0.0,1.0,0.153,0.0,1.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,20.365,0.001,0.002,0.001,18.522,48.831,34.291
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,75.0,54.65,0.0,2.0,0.496,0.0,2.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,37.0,76.0,55.299,0.002,0.005,0.004,62.264,127.894,93.059
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,199.0,146.708,0.0,4.0,1.314,0.0,3.0,0.431,0.0,0.0,0.0,0.0,0.0,0.0,109.0,203.0,148.453,0.007,0.014,0.01,182.857,340.549,249.042
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,505.0,393.153,0.0,9.0,3.905,0.0,4.0,1.051,0.0,0.0,0.0,0.0,0.0,0.0,299.0,510.0,398.109,0.02,0.034,0.027,493.717,842.126,657.369
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,1338.0,1046.0,4.0,21.0,11.401,0.0,8.0,2.606,0.0,0.0,0.0,0.0,0.0,0.0,813.0,1354.0,1060.007,0.054,0.091,0.071,1242.345,2069.047,1619.797
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,3344.0,2641.445,18.0,49.0,31.102,3.0,14.0,7.467,0.0,1.0,0.029,0.0,0.0,0.0,2050.0,3389.0,2680.044,0.137,0.227,0.179,2267.445,3748.474,2964.318
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4280.0,7008.0,5546.613,54.0,130.0,83.526,11.0,36.0,20.803,0.0,1.0,0.124,0.0,0.0,0.0,4356.0,7126.0,5651.066,0.292,0.477,0.378,2010.073,3288.288,2607.681
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6044.0,10024.0,7983.606,160.0,308.0,220.861,34.0,83.0,54.993,0.0,2.0,0.336,0.0,0.0,0.0,6264.0,10348.0,8259.796,0.419,0.693,0.553,763.851,1261.866,1007.224
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6469.0,10774.0,8586.19,428.0,724.0,541.088,87.0,185.0,135.715,0.0,5.0,1.073,0.0,0.0,0.0,7033.0,11617.0,9264.066,0.471,0.778,0.62,229.079,378.39,301.75
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6109.0,10207.0,8105.387,894.0,1522.0,1167.606,220.0,373.0,290.876,0.0,8.0,3.0,0.0,0.0,0.0,7267.0,11994.0,9566.869,0.486,0.803,0.64,101.386,167.336,133.473
2020-03-17,0.0,0.0,0.0,1.0,0.007,0.0,1.0,0.007,5318.0,8848.0,7036.518,1649.0,2731.0,2124.365,405.0,675.0,530.029,2.0,16.0,8.015,0.0,0.0,0.0,7381.0,12164.0,9698.927,0.494,0.814,0.649,75.831,124.971,99.646
2020-03-18,0.0,0.0,0.0,1.0,0.015,0.0,1.0,0.022,4297.0,7125.0,5672.314,2529.0,4186.0,3283.788,620.0,1024.0,821.292,11.0,36.0,21.971,0.0,0.0,0.0,7461.0,12296.0,9799.365,0.499,0.823,0.656,71.292,117.492,93.636
