date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.685,1.685,1.685
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.685,0.0,0.0,0.0,3.331,8.327,4.471
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,7.146,0.0,1.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,7.177,0.0,0.0,0.0,6.556,19.669,11.764
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,18.577,0.0,2.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,18.715,0.0,0.0,0.0,22.458,41.708,30.022
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,61.0,48.162,0.0,2.0,0.485,0.0,1.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,39.0,62.0,48.715,0.001,0.001,0.001,60.781,96.626,75.922
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,153.0,122.985,0.0,4.0,1.508,0.0,2.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,104.0,154.0,124.769,0.002,0.002,0.002,155.979,230.969,187.129
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,368.0,308.785,0.0,10.0,4.069,0.0,5.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,266.0,371.0,313.792,0.004,0.006,0.005,379.323,529.056,447.476
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,841.0,744.123,3.0,20.0,10.469,0.0,9.0,2.723,0.0,0.0,0.0,0.0,0.0,0.0,659.0,856.0,757.315,0.01,0.013,0.011,880.285,1143.435,1011.613
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,1940.0,1732.423,15.0,37.0,26.592,2.0,14.0,6.692,0.0,1.0,0.031,0.0,0.0,0.0,1557.0,1973.0,1765.738,0.023,0.03,0.026,1913.604,2424.882,2170.151
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.0,4279.0,3848.238,44.0,82.0,66.385,6.0,33.0,17.0,0.0,2.0,0.123,0.0,0.0,0.0,3487.0,4368.0,3931.746,0.052,0.066,0.059,3862.252,4838.06,4354.859
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7149.0,8895.0,8066.338,124.0,194.0,162.808,20.0,57.0,40.846,0.0,2.0,0.354,0.0,0.0,0.0,7339.0,9136.0,8270.346,0.11,0.137,0.124,7159.579,8912.647,8068.156
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14058.0,17508.0,15841.538,325.0,445.0,383.077,67.0,121.0,96.177,0.0,5.0,0.962,0.0,0.0,0.0,14493.0,18034.0,16321.754,0.218,0.271,0.245,12155.471,15125.354,13689.271
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25731.0,32019.0,28931.023,745.0,985.0,867.631,159.0,265.0,218.246,0.0,7.0,2.808,0.0,0.0,0.0,26714.0,33202.0,30019.708,0.401,0.498,0.451,18803.102,23369.791,21129.88
