date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.125,1.125,1.125
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.265,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.275,0.0,0.002,0.001,1.073,5.365,2.441
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.667,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.696,0.001,0.003,0.001,2.035,9.16,4.779
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,9.196,0.0,1.0,0.137,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,9.353,0.002,0.005,0.003,4.799,15.357,8.977
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,17.931,0.0,2.0,0.392,0.0,1.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,18.431,0.003,0.009,0.006,9.898,26.095,16.585
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,33.676,0.0,3.0,1.137,0.0,2.0,0.255,0.0,0.0,0.0,0.0,0.0,0.0,25.0,46.0,35.069,0.008,0.015,0.011,20.961,38.568,29.403
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,79.0,61.598,0.0,7.0,2.324,0.0,3.0,0.559,0.0,0.0,0.0,0.0,0.0,0.0,47.0,83.0,64.48,0.015,0.026,0.02,36.49,64.441,50.062
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,134.0,108.353,1.0,11.0,4.745,0.0,5.0,1.078,0.0,0.0,0.0,0.0,0.0,0.0,89.0,141.0,114.176,0.028,0.045,0.036,63.588,100.741,81.576
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,231.0,184.225,1.0,17.0,8.618,0.0,8.0,2.127,0.0,1.0,0.039,0.0,0.0,0.0,155.0,248.0,195.01,0.049,0.078,0.062,101.287,162.059,127.432
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,381.0,302.206,5.0,28.0,16.245,0.0,9.0,4.127,0.0,1.0,0.137,0.0,0.0,0.0,262.0,408.0,322.716,0.083,0.129,0.102,155.651,242.387,191.721
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,594.0,477.931,17.0,43.0,29.735,0.0,14.0,7.549,0.0,2.0,0.284,0.0,0.0,0.0,440.0,644.0,515.5,0.139,0.203,0.163,236.277,345.824,276.821
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,866.0,725.157,32.0,74.0,52.402,3.0,21.0,13.294,0.0,2.0,0.667,0.0,0.0,0.0,659.0,958.0,791.52,0.208,0.302,0.25,318.123,462.461,382.095
2020-03-05,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,851.0,1260.0,1058.412,63.0,126.0,90.294,13.0,34.0,22.873,0.0,5.0,1.461,0.0,0.0,0.0,961.0,1398.0,1173.039,0.303,0.441,0.37,414.9,603.569,506.445
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,1210.0,1800.0,1486.373,116.0,191.0,149.49,22.0,52.0,38.02,0.0,9.0,3.02,0.0,0.0,0.0,1384.0,2020.0,1676.902,0.437,0.638,0.529,531.87,776.285,644.433
2020-03-07,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.02,1654.0,2438.0,2017.196,190.0,301.0,237.873,42.0,80.0,60.99,1.0,13.0,5.686,0.0,0.0,0.0,1924.0,2780.0,2321.745,0.607,0.878,0.733,655.312,946.865,790.784
