date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.999,0.999,0.999
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.247,0.0,0.0,0.0,0.969,3.878,2.179
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.398,0.0,0.0,0.0,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.409,0.0,0.0,0.0,1.875,6.563,4.134
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,8.269,0.0,1.0,0.065,0.0,1.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,8.409,0.0,0.0,0.0,3.614,12.649,7.597
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,15.871,0.0,1.0,0.237,0.0,1.0,0.194,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,16.301,0.0,0.001,0.0,10.405,22.544,14.135
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,29.613,0.0,3.0,0.656,0.0,2.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,30.613,0.0,0.001,0.001,16.572,33.145,25.366
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,66.0,53.828,0.0,5.0,1.559,0.0,3.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,43.0,70.0,56.097,0.001,0.001,0.001,33.897,55.181,44.221
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,112.0,95.495,0.0,11.0,3.634,0.0,5.0,1.258,0.0,0.0,0.0,0.0,0.0,0.0,83.0,119.0,100.387,0.002,0.002,0.002,61.954,88.825,74.932
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,201.0,165.398,2.0,16.0,7.624,0.0,9.0,2.054,0.0,1.0,0.011,0.0,0.0,0.0,143.0,212.0,175.086,0.003,0.004,0.003,100.583,149.117,123.152
