date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.08,1.08,1.08
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.123,0.0,0.0,0.0,1.08,4.318,2.292
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.142,0.0,1.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.189,0.0,0.0,0.0,2.158,7.552,4.519
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,8.528,0.0,2.0,0.16,0.0,1.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.708,0.0,0.0,0.0,4.308,16.156,9.378
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,18.066,0.0,2.0,0.425,0.0,1.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,18.547,0.0,0.0,0.0,10.725,28.957,19.892
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,37.245,0.0,4.0,0.934,0.0,2.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,26.0,55.0,38.358,0.0,0.0,0.0,27.597,58.378,40.714
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,101.0,77.557,0.0,6.0,2.038,0.0,2.0,0.396,0.0,0.0,0.0,0.0,0.0,0.0,52.0,102.0,79.991,0.0,0.001,0.0,53.817,105.564,82.785
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,189.0,157.736,0.0,10.0,4.453,0.0,5.0,0.858,0.0,1.0,0.019,0.0,0.0,0.0,120.0,199.0,163.066,0.001,0.001,0.001,117.004,194.031,158.995
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,368.0,311.623,3.0,16.0,8.953,0.0,6.0,1.962,0.0,1.0,0.028,0.0,0.0,0.0,265.0,383.0,322.566,0.001,0.002,0.002,226.447,327.281,275.639
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,662.0,573.66,9.0,32.0,18.736,0.0,10.0,4.557,0.0,1.0,0.104,0.0,0.0,0.0,510.0,682.0,597.057,0.003,0.004,0.003,337.0,450.655,394.525
2020-03-15,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,810.0,1115.0,944.642,24.0,59.0,38.5,2.0,20.0,9.519,0.0,2.0,0.292,0.0,0.0,0.0,848.0,1158.0,992.953,0.005,0.006,0.005,372.248,508.329,435.878
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,1135.0,1597.0,1334.991,56.0,105.0,76.104,7.0,32.0,19.462,0.0,3.0,0.604,0.0,0.0,0.0,1213.0,1690.0,1431.16,0.006,0.009,0.008,321.857,448.424,379.744
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,1385.0,1919.0,1625.953,118.0,184.0,146.057,21.0,53.0,37.679,0.0,4.0,1.481,0.0,0.0,0.0,1550.0,2127.0,1811.17,0.008,0.011,0.01,256.617,352.145,299.856
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,1523.0,2071.0,1781.934,209.0,323.0,260.142,45.0,90.0,65.651,0.0,7.0,2.991,0.0,0.0,0.0,1811.0,2456.0,2110.717,0.01,0.013,0.011,213.873,290.045,249.268
2020-03-19,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.019,1591.0,2139.0,1823.698,339.0,513.0,424.321,86.0,148.0,107.406,1.0,14.0,6.387,0.0,1.0,0.009,2048.0,2755.0,2361.821,0.011,0.015,0.013,199.789,268.759,230.402
2020-03-20,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.028,1552.0,2087.0,1792.292,516.0,744.0,629.811,124.0,199.0,159.708,2.0,25.0,12.915,0.0,1.0,0.009,2247.0,3025.0,2594.736,0.012,0.016,0.014,200.043,269.306,231.0
2020-03-21,0.0,0.0,0.0,1.0,0.019,0.0,1.0,0.047,1473.0,2012.0,1720.453,724.0,1006.0,858.849,172.0,273.0,220.868,10.0,39.0,25.453,0.0,1.0,0.009,2439.0,3276.0,2825.632,0.013,0.017,0.015,208.656,280.262,241.732
2020-03-22,1.0,1.0,0.0,1.0,0.019,0.0,1.0,0.066,1415.0,1910.0,1645.217,921.0,1267.0,1086.811,224.0,338.0,284.085,36.0,70.0,50.34,0.0,1.0,0.057,2627.0,3545.0,3066.509,0.014,0.019,0.016,221.042,298.284,258.018
