date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.072,1.072,1.072
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.358,0.0,0.0,0.0,1.072,5.362,2.529
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.917,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.936,0.0,0.0,0.0,2.145,9.652,5.293
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,9.835,0.0,1.0,0.092,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,9.945,0.0,0.0,0.0,4.29,18.231,10.665
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,19.716,0.0,2.0,0.45,0.0,1.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,20.257,0.0,0.0,0.0,13.941,30.028,21.724
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,53.0,40.917,0.0,4.0,0.945,0.0,2.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,30.0,54.0,42.119,0.0,0.0,0.0,32.171,57.908,45.167
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,98.0,84.138,0.0,5.0,2.239,0.0,3.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,69.0,102.0,86.881,0.0,0.001,0.001,73.981,109.364,93.153
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,210.0,173.716,0.0,10.0,4.862,0.0,4.0,1.055,0.0,0.0,0.0,0.0,0.0,0.0,149.0,216.0,179.633,0.001,0.001,0.001,159.677,231.478,192.505
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,418.0,358.294,4.0,18.0,10.064,0.0,6.0,2.339,0.0,1.0,0.018,0.0,0.0,0.0,323.0,435.0,370.716,0.002,0.003,0.002,345.593,465.427,396.646
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,856.0,742.257,13.0,34.0,21.092,1.0,10.0,5.046,0.0,1.0,0.092,0.0,0.0,0.0,657.0,880.0,768.486,0.004,0.005,0.004,699.413,936.809,818.096
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.0,1744.0,1529.092,28.0,55.0,42.468,4.0,18.0,10.661,0.0,2.0,0.174,0.0,0.0,0.0,1358.0,1807.0,1582.394,0.008,0.011,0.009,1422.922,1893.388,1658.045
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.0,3672.0,3129.44,67.0,110.0,89.156,12.0,34.0,22.211,0.0,3.0,0.587,0.0,0.0,0.0,2789.0,3796.0,3241.394,0.016,0.022,0.019,2783.726,3788.822,3235.265
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5441.0,7202.0,6245.853,142.0,221.0,182.67,32.0,69.0,46.468,0.0,4.0,1.394,0.0,0.0,0.0,5633.0,7475.0,6476.385,0.033,0.044,0.038,4893.335,6493.464,5625.976
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10074.0,13420.0,11633.073,301.0,448.0,378.541,72.0,124.0,94.725,0.0,8.0,2.982,0.0,0.0,0.0,10467.0,13973.0,12109.321,0.061,0.082,0.071,6505.025,8683.932,7525.694
2020-03-11,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,15959.0,21597.0,18663.817,649.0,903.0,771.248,139.0,241.0,193.752,2.0,14.0,6.615,0.0,0.0,0.0,16819.0,22700.0,19635.431,0.098,0.133,0.115,5763.937,7779.378,6729.139
2020-03-12,0.0,0.0,0.0,1.0,0.018,0.0,1.0,0.028,21007.0,28252.0,24427.853,1331.0,1767.0,1539.174,302.0,460.0,389.33,6.0,22.0,13.752,0.0,0.0,0.0,22706.0,30471.0,26370.11,0.133,0.178,0.154,3776.888,5068.508,4386.371
