date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.489,0.489,0.489
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.58,0.0,0.0,0.0,0.489,1.466,0.772
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.543,0.0,0.0,0.0,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.556,0.0,0.0,0.0,0.489,2.443,1.249
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.864,0.0,1.0,0.037,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.914,0.0,0.0,0.0,0.489,3.909,1.912
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,5.877,0.0,2.0,0.259,0.0,1.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,6.185,0.0,0.0,0.0,0.977,6.84,3.022
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,8.605,0.0,3.0,0.593,0.0,1.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,9.296,0.0,0.0,0.0,1.954,7.328,4.541
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,12.617,0.0,4.0,1.099,0.0,2.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,13.938,0.0,0.0,0.0,2.931,12.211,6.808
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,18.321,0.0,5.0,1.84,0.0,3.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,20.543,0.0,0.0,0.0,3.906,15.136,10.031
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,27.383,0.0,10.0,3.049,0.0,3.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,31.0,0.0,0.001,0.0,8.295,24.398,15.127
