date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.795,0.795,0.795
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.15,0.0,0.0,0.0,0.795,3.179,1.709
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.325,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.35,0.0,0.0,0.0,0.793,7.139,3.45
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,8.475,0.0,1.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.55,0.0,0.001,0.0,2.37,12.64,6.755
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,15.175,0.0,1.0,0.275,0.0,1.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,15.525,0.0,0.001,0.001,4.7,22.717,12.161
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,26.95,0.0,3.0,0.75,0.0,1.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,27.925,0.0,0.002,0.001,6.926,42.324,21.489
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,86.0,46.2,0.0,4.0,1.575,0.0,2.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,16.0,90.0,48.325,0.001,0.003,0.002,11.867,66.754,35.843
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,148.0,78.3,0.0,9.0,3.325,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,158.0,82.625,0.001,0.005,0.003,17.909,108.829,56.911
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,218.0,129.675,1.0,23.0,6.725,0.0,7.0,1.975,0.0,0.0,0.0,0.0,0.0,0.0,45.0,245.0,138.375,0.002,0.008,0.005,26.915,146.539,82.765
