date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.499,0.499,0.499
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.705,0.0,0.0,0.0,0.492,1.966,0.838
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.526,0.0,1.0,0.011,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.547,0.0,0.0,0.0,0.484,2.902,1.232
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.768,0.0,1.0,0.105,0.0,1.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.895,0.0,0.0,0.0,0.475,3.804,1.852
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.0,0.0,2.0,0.358,0.0,1.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.411,0.0,0.0,0.0,0.934,5.139,2.528
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.358,0.0,3.0,0.747,0.0,1.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.221,0.0,0.0,0.0,1.376,5.963,3.771
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.589,0.0,4.0,1.242,0.0,1.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,12.011,0.0,0.0,0.0,2.701,7.651,5.406
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,15.242,0.0,5.0,1.874,0.0,2.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,17.495,0.0,0.0,0.0,4.854,11.915,7.72
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,21.463,0.0,6.0,2.558,0.0,3.0,0.695,0.0,1.0,0.032,0.0,0.0,0.0,15.0,37.0,24.747,0.0,0.0,0.0,6.485,15.997,10.699
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,30.674,0.0,7.0,3.789,0.0,4.0,1.095,0.0,1.0,0.074,0.0,0.0,0.0,24.0,51.0,35.632,0.0,0.0,0.0,10.158,21.586,15.081
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,62.0,43.653,1.0,9.0,5.516,0.0,5.0,1.684,0.0,2.0,0.242,0.0,0.0,0.0,38.0,68.0,51.095,0.0,0.0,0.0,15.734,28.155,21.156
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,80.0,61.589,2.0,14.0,8.168,0.0,6.0,2.453,0.0,2.0,0.379,0.0,0.0,0.0,59.0,92.0,72.589,0.0,0.0,0.0,23.879,37.236,29.38
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,109.0,85.958,6.0,19.0,12.053,0.0,7.0,3.284,0.0,3.0,0.716,0.0,0.0,0.0,83.0,123.0,102.011,0.0,0.0,0.0,32.812,48.625,40.328
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,149.0,121.147,9.0,29.0,16.568,1.0,9.0,4.547,0.0,3.0,1.189,0.0,0.0,0.0,114.0,172.0,143.453,0.0,0.0,0.0,43.986,66.364,55.35
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,196.0,165.674,14.0,36.0,24.032,2.0,14.0,6.484,0.0,5.0,1.853,0.0,0.0,0.0,164.0,231.0,198.042,0.0,0.0,0.0,61.711,86.923,74.521
