date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.645,0.645,0.645
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.56,0.0,0.0,0.0,0.643,1.93,1.004
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.429,0.0,0.0,0.0,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.44,0.0,0.0,0.0,0.641,3.206,1.564
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.791,0.0,1.0,0.11,0.0,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.923,0.0,0.0,0.0,1.276,5.106,2.504
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.121,0.0,2.0,0.286,0.0,1.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.495,0.0,0.0,0.0,1.903,6.977,4.119
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,9.571,0.0,2.0,0.637,0.0,2.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,10.44,0.0,0.0,0.0,3.145,10.694,6.567
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,15.956,0.0,4.0,1.055,0.0,3.0,0.407,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,17.418,0.0,0.001,0.0,6.844,18.044,10.838
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,25.736,0.0,5.0,1.747,0.0,3.0,0.637,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.0,28.121,0.0,0.001,0.001,12.266,26.371,17.246
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,59.0,41.527,0.0,8.0,2.945,0.0,3.0,0.978,0.0,1.0,0.011,0.0,0.0,0.0,34.0,62.0,45.462,0.001,0.001,0.001,20.459,37.307,27.355
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,90.0,67.286,0.0,10.0,4.78,0.0,5.0,1.44,0.0,1.0,0.077,0.0,0.0,0.0,55.0,95.0,73.582,0.001,0.002,0.002,32.28,55.757,43.186
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,144.0,105.758,1.0,15.0,8.264,0.0,6.0,2.253,0.0,1.0,0.165,0.0,0.0,0.0,93.0,155.0,116.44,0.002,0.004,0.003,52.844,88.074,66.163
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,207.0,164.154,5.0,20.0,13.264,0.0,9.0,3.538,0.0,2.0,0.396,0.0,0.0,0.0,135.0,230.0,181.352,0.003,0.006,0.004,73.581,125.359,98.844
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,304.0,252.945,9.0,32.0,21.11,0.0,12.0,5.868,0.0,3.0,0.681,0.0,0.0,0.0,226.0,341.0,280.604,0.005,0.008,0.007,116.83,176.278,145.057
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,459.0,380.308,22.0,52.0,34.418,2.0,16.0,9.297,0.0,4.0,1.33,0.0,0.0,0.0,340.0,524.0,425.352,0.008,0.013,0.01,164.489,253.507,205.781
2020-03-08,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.011,449.0,669.0,560.176,37.0,77.0,54.802,6.0,25.0,15.0,0.0,5.0,2.088,0.0,0.0,0.0,507.0,755.0,632.066,0.012,0.018,0.015,226.068,336.649,281.833
2020-03-09,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.022,659.0,970.0,800.143,61.0,108.0,85.857,10.0,36.0,22.714,0.0,8.0,3.385,0.0,0.0,0.0,754.0,1097.0,912.099,0.018,0.026,0.022,304.701,443.312,368.591
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022,910.0,1378.0,1105.956,102.0,162.0,132.593,19.0,59.0,34.879,1.0,12.0,5.451,0.0,0.0,0.0,1067.0,1565.0,1278.879,0.026,0.037,0.031,383.968,563.177,460.214
2020-03-11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.022,1234.0,1799.0,1476.758,157.0,244.0,201.033,34.0,73.0,51.824,1.0,17.0,9.011,0.0,1.0,0.022,1453.0,2111.0,1738.648,0.035,0.051,0.042,457.572,664.786,547.52
2020-03-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022,1621.0,2333.0,1895.813,225.0,353.0,296.275,56.0,106.0,76.802,5.0,23.0,14.571,0.0,1.0,0.033,1924.0,2803.0,2283.495,0.046,0.067,0.055,521.772,760.15,619.255
2020-03-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022,1992.0,2901.0,2335.626,336.0,510.0,429.912,87.0,147.0,112.264,10.0,38.0,24.154,0.0,2.0,0.143,2485.0,3586.0,2902.099,0.059,0.086,0.069,572.29,826.18,668.583
