date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.164,2.164,2.164
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.336,0.0,1.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.343,0.0,0.0,0.0,2.164,12.985,7.235
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,10.066,0.0,1.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,10.109,0.0,0.0,0.0,15.146,30.291,21.874
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41.0,31.993,0.0,2.0,0.153,0.0,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41.0,32.168,0.0,0.0,0.0,49.716,88.624,69.533
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,121.0,101.19,0.0,3.0,0.547,0.0,1.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,82.0,122.0,101.891,0.0,0.0,0.0,176.539,262.655,219.361
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,370.0,316.613,0.0,6.0,1.942,0.0,4.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,265.0,373.0,319.0,0.001,0.001,0.001,561.215,789.937,675.576
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,1120.0,988.569,2.0,16.0,6.569,0.0,7.0,1.504,0.0,0.0,0.0,0.0,0.0,0.0,866.0,1128.0,996.642,0.003,0.004,0.003,1718.16,2237.973,1977.357
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612.0,3296.0,2942.737,11.0,32.0,20.321,0.0,12.0,5.146,0.0,1.0,0.022,0.0,0.0,0.0,2631.0,3327.0,2968.226,0.008,0.01,0.009,4146.176,5242.998,4677.609
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6758.0,8458.0,7561.978,45.0,93.0,64.745,4.0,31.0,16.102,0.0,1.0,0.029,0.0,0.0,0.0,6844.0,8549.0,7642.854,0.021,0.027,0.024,5939.504,7419.173,6632.782
