date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.882,0.882,0.882
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.255,0.0,0.0,0.0,0.859,4.295,1.937
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.17,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.181,0.0,0.0,0.0,0.832,6.66,3.48
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.298,0.0,1.0,0.149,0.0,1.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.468,0.0,0.0,0.0,2.407,10.432,5.993
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,13.021,0.0,3.0,0.383,0.0,1.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,13.489,0.0,0.001,0.0,5.383,16.148,10.372
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,36.0,22.926,0.0,3.0,0.798,0.0,2.0,0.213,0.0,0.0,0.0,0.0,0.0,0.0,14.0,36.0,23.936,0.0,0.001,0.001,10.247,26.35,17.52
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,55.0,39.617,0.0,6.0,1.66,0.0,3.0,0.468,0.0,0.0,0.0,0.0,0.0,0.0,26.0,57.0,41.745,0.001,0.002,0.001,17.985,39.429,28.876
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,87.0,66.277,0.0,9.0,3.33,0.0,3.0,0.851,0.0,0.0,0.0,0.0,0.0,0.0,49.0,94.0,70.457,0.002,0.003,0.002,31.783,60.972,45.701
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,142.0,109.404,2.0,12.0,6.287,0.0,4.0,1.596,0.0,1.0,0.021,0.0,0.0,0.0,88.0,155.0,117.309,0.003,0.005,0.004,53.082,93.497,70.761
