date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.698,0.698,0.698
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.009,0.0,0.0,0.0,0.692,2.769,1.391
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.658,0.0,1.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.693,0.0,0.0,0.0,0.684,4.789,2.527
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.167,0.0,1.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.298,0.0,0.0,0.0,1.345,8.068,4.234
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,10.333,0.0,2.0,0.325,0.0,1.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,10.702,0.0,0.0,0.0,2.621,13.106,7.013
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0,16.491,0.0,3.0,0.833,0.0,2.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,9.0,36.0,17.526,0.0,0.001,0.0,5.683,22.731,11.066
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,51.0,26.675,0.0,7.0,1.667,0.0,3.0,0.395,0.0,0.0,0.0,0.0,0.0,0.0,16.0,53.0,28.737,0.0,0.001,0.0,9.58,31.734,17.206
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,80.0,42.57,0.0,8.0,2.86,0.0,4.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,24.0,82.0,46.096,0.0,0.001,0.001,13.339,45.575,25.62
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,110.0,64.772,1.0,12.0,5.009,0.0,4.0,1.202,0.0,1.0,0.044,0.0,0.0,0.0,38.0,123.0,71.026,0.001,0.002,0.001,19.078,61.751,35.658
