date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.29,0.29,0.29
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.417,0.0,0.0,0.0,0.29,1.159,0.411
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.778,0.0,1.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.819,0.0,0.0,0.0,0.29,1.449,0.527
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.125,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.25,0.0,0.0,0.0,0.29,1.739,0.652
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.958,0.0,1.0,0.208,0.0,2.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.208,0.0,0.0,0.0,0.29,2.029,0.93
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.972,0.0,2.0,0.444,0.0,2.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.514,0.0,0.0,0.0,0.29,2.898,1.308
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.944,0.0,4.0,0.75,0.0,2.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,5.875,0.0,0.0,0.0,0.58,3.478,1.703
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,6.264,0.0,4.0,1.097,0.0,2.0,0.306,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.667,0.0,0.0,0.0,0.87,3.768,2.222
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.042,0.0,7.0,1.667,0.0,2.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,10.153,0.0,0.0,0.0,1.159,4.927,2.943
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,10.292,0.0,7.0,2.181,0.0,4.0,0.653,0.0,1.0,0.028,0.0,0.0,0.0,6.0,25.0,13.153,0.0,0.0,0.0,1.739,7.246,3.812
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,13.139,0.0,8.0,2.819,0.0,5.0,0.986,0.0,1.0,0.083,0.0,0.0,0.0,8.0,31.0,17.028,0.0,0.0,0.0,2.319,8.985,4.935
