date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.837,1.837,1.837
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.862,0.0,0.0,0.0,3.674,12.861,7.095
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,11.638,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,11.649,0.0,0.001,0.0,9.186,34.907,21.402
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,60.0,34.021,0.0,1.0,0.128,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,18.0,60.0,34.16,0.001,0.002,0.001,33.07,110.234,62.759
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,158.0,98.287,0.0,4.0,0.713,0.0,1.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,50.0,159.0,99.085,0.001,0.005,0.003,91.853,292.094,182.026
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,465.0,278.319,0.0,7.0,2.489,0.0,4.0,0.628,0.0,0.0,0.0,0.0,0.0,0.0,147.0,470.0,281.436,0.004,0.014,0.008,259.799,830.65,497.394
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,1238.0,770.723,0.0,15.0,7.213,0.0,6.0,1.596,0.0,0.0,0.0,0.0,0.0,0.0,398.0,1247.0,779.532,0.012,0.036,0.023,46.793,146.611,91.651
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,1343.0,847.372,7.0,41.0,20.521,1.0,12.0,5.021,0.0,0.0,0.0,0.0,0.0,0.0,438.0,1386.0,872.915,0.013,0.04,0.025,9.812,31.048,19.554
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,1299.0,821.447,25.0,94.0,56.83,2.0,34.0,14.606,0.0,1.0,0.032,0.0,0.0,0.0,446.0,1414.0,892.915,0.013,0.041,0.026,9.891,31.36,19.803
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,1156.0,746.564,63.0,231.0,132.0,17.0,61.0,34.745,0.0,1.0,0.074,0.0,0.0,0.0,455.0,1448.0,913.383,0.013,0.042,0.026,10.091,32.113,20.257
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,965.0,629.904,116.0,408.0,241.223,36.0,108.0,62.043,0.0,3.0,0.596,0.0,0.0,0.0,463.0,1484.0,933.766,0.013,0.043,0.027,10.268,32.912,20.709
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,756.0,497.819,177.0,598.0,361.926,55.0,157.0,92.755,0.0,5.0,1.766,0.0,0.0,0.0,475.0,1514.0,954.266,0.014,0.044,0.028,10.534,33.577,21.163
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,561.0,377.457,239.0,775.0,471.596,72.0,194.0,121.149,0.0,14.0,5.223,0.0,0.0,0.0,486.0,1542.0,975.426,0.014,0.045,0.028,10.778,34.198,21.633
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,438.0,284.904,277.0,890.0,552.521,82.0,220.0,144.617,5.0,33.0,14.543,0.0,0.0,0.0,497.0,1581.0,996.585,0.014,0.046,0.029,11.022,35.063,22.102
2020-03-25,0.0,0.0,0.0,1.0,0.032,0.0,1.0,0.032,103.0,347.0,222.734,299.0,955.0,597.415,93.0,252.0,161.617,15.0,71.0,37.319,0.0,0.0,0.0,512.0,1612.0,1019.085,0.015,0.047,0.03,11.355,35.75,22.601
2020-03-26,0.0,0.0,0.0,1.0,0.053,0.0,1.0,0.085,90.0,293.0,182.809,296.0,968.0,606.787,97.0,272.0,174.362,41.0,131.0,78.0,0.0,0.0,0.0,526.0,1650.0,1041.957,0.015,0.048,0.03,11.665,36.593,23.108
