date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.548,1.548,1.548
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.022,0.0,0.0,0.0,1.548,7.74,4.678
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,7.111,0.0,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,7.133,0.0,0.0,0.0,4.644,17.027,11.042
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,18.289,0.0,1.0,0.089,0.0,1.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,9.0,37.0,18.422,0.0,0.0,0.0,13.931,57.273,28.516
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,83.0,47.133,0.0,2.0,0.444,0.0,1.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,20.0,85.0,47.689,0.0,0.0,0.0,30.958,131.571,73.817
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,209.0,121.0,0.0,4.0,1.356,0.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,59.0,212.0,122.689,0.0,0.001,0.0,91.186,327.651,189.618
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,512.0,308.8,0.0,10.0,3.667,0.0,5.0,1.022,0.0,0.0,0.0,0.0,0.0,0.0,159.0,522.0,313.489,0.001,0.002,0.001,194.741,639.339,383.957
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,1111.0,688.844,3.0,23.0,10.067,0.0,9.0,2.444,0.0,0.0,0.0,0.0,0.0,0.0,362.0,1137.0,701.356,0.001,0.004,0.002,14.903,46.809,28.874
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,1132.0,696.822,12.0,45.0,26.178,1.0,18.0,6.578,0.0,1.0,0.022,0.0,0.0,0.0,370.0,1187.0,729.6,0.001,0.004,0.003,3.029,9.716,5.972
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,1067.0,655.289,26.0,107.0,64.089,3.0,39.0,16.689,0.0,1.0,0.133,0.0,0.0,0.0,373.0,1196.0,736.2,0.001,0.004,0.003,2.98,9.554,5.881
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,932.0,572.644,66.0,241.0,135.222,15.0,59.0,34.556,0.0,2.0,0.267,0.0,0.0,0.0,377.0,1204.0,742.689,0.001,0.004,0.003,3.011,9.616,5.932
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,734.0,458.289,125.0,393.0,229.467,28.0,95.0,59.867,0.0,3.0,0.822,0.0,0.0,0.0,377.0,1214.0,748.444,0.001,0.004,0.003,3.011,9.696,5.978
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,551.0,340.911,178.0,554.0,326.311,46.0,132.0,84.889,0.0,6.0,2.489,0.0,0.0,0.0,381.0,1227.0,754.6,0.001,0.004,0.003,3.043,9.8,6.027
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,384.0,240.089,213.0,686.0,408.178,59.0,167.0,105.733,1.0,15.0,6.978,0.0,0.0,0.0,382.0,1240.0,760.978,0.001,0.004,0.003,3.051,9.904,6.078
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,278.0,164.089,235.0,770.0,464.267,67.0,195.0,120.978,4.0,31.0,17.578,0.0,0.0,0.0,383.0,1249.0,766.911,0.001,0.004,0.003,3.059,9.976,6.125
2020-03-25,0.0,0.0,0.0,1.0,0.044,0.0,1.0,0.044,44.0,192.0,111.289,252.0,812.0,489.333,72.0,210.0,132.0,12.0,65.0,40.111,0.0,0.0,0.0,385.0,1258.0,772.733,0.001,0.004,0.003,3.075,10.047,6.172
2020-03-26,0.0,0.0,0.0,1.0,0.067,0.0,1.0,0.111,30.0,133.0,77.4,238.0,790.0,481.978,76.0,221.0,139.844,34.0,137.0,79.8,0.0,1.0,0.022,388.0,1268.0,779.044,0.001,0.004,0.003,3.099,10.127,6.222
2020-03-27,1.0,1.0,0.0,1.0,0.044,0.0,1.0,0.156,22.0,100.0,58.711,219.0,736.0,447.556,79.0,230.0,144.311,63.0,232.0,134.622,0.0,1.0,0.044,391.0,1275.0,785.244,0.001,0.004,0.003,3.123,10.183,6.271
2020-03-28,2.0,1.0,0.0,1.0,0.089,0.0,2.0,0.244,21.0,74.0,47.333,191.0,654.0,393.044,77.0,231.0,145.422,101.0,346.0,204.778,0.0,1.0,0.089,395.0,1283.0,790.667,0.001,0.004,0.003,3.155,10.247,6.314
2020-03-29,2.0,0.0,0.0,1.0,0.133,0.0,2.0,0.378,19.0,74.0,41.978,153.0,534.0,325.444,76.0,227.0,141.867,144.0,480.0,287.178,0.0,2.0,0.356,398.0,1288.0,796.822,0.001,0.004,0.003,3.179,10.271,6.361
