date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.534,0.534,0.534
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.57,0.0,0.0,0.0,0.534,2.137,0.839
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.33,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.36,0.0,0.0,0.0,0.534,2.671,1.261
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.59,0.0,1.0,0.12,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.74,0.0,0.0,0.0,0.534,4.274,1.998
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5.61,0.0,1.0,0.3,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,5.98,0.0,0.0,0.0,1.069,6.946,3.195
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.26,0.0,2.0,0.63,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,9.04,0.0,0.0,0.0,2.137,8.549,4.83
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,12.56,0.0,3.0,1.14,0.0,2.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,13.92,0.0,0.0,0.0,3.206,13.357,7.437
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,18.6,0.0,4.0,1.8,0.0,3.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,13.0,31.0,20.79,0.0,0.0,0.0,6.946,16.563,11.108
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,39.0,27.96,0.0,7.0,2.9,0.0,4.0,0.76,0.0,1.0,0.05,0.0,0.0,0.0,20.0,44.0,31.67,0.0,0.0,0.0,10.686,23.509,16.921
