date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.392,0.392,0.392
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.411,0.0,0.0,0.0,0.385,1.155,0.543
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.068,0.0,1.0,0.014,0.0,1.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.096,0.0,0.0,0.0,0.378,1.511,0.792
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.849,0.0,1.0,0.068,0.0,1.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.973,0.0,0.0,0.0,0.37,2.223,1.101
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.904,0.0,2.0,0.219,0.0,1.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.192,0.0,0.0,0.0,0.363,3.267,1.522
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.041,0.0,2.0,0.493,0.0,1.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.699,0.0,0.0,0.0,0.711,3.911,2.026
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,6.822,0.0,2.0,0.808,0.0,2.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,7.89,0.0,0.0,0.0,1.044,4.871,2.745
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.685,0.0,4.0,1.452,0.0,2.0,0.452,0.0,1.0,0.014,0.0,0.0,0.0,5.0,18.0,10.603,0.0,0.0,0.0,1.701,6.125,3.608
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,11.466,0.0,6.0,2.096,0.0,3.0,0.671,0.0,1.0,0.027,0.0,0.0,0.0,7.0,23.0,14.26,0.0,0.0,0.0,2.328,7.649,4.742
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,15.616,0.0,7.0,2.836,0.0,3.0,0.836,0.0,1.0,0.055,0.0,0.0,0.0,11.0,29.0,19.342,0.0,0.0,0.0,3.573,9.419,6.283
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,36.0,20.205,0.0,8.0,3.712,0.0,4.0,1.041,0.0,1.0,0.151,0.0,0.0,0.0,15.0,42.0,25.11,0.0,0.0,0.0,4.755,13.315,7.96
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,36.0,25.795,1.0,11.0,5.329,0.0,5.0,1.397,0.0,1.0,0.233,0.0,0.0,0.0,19.0,47.0,32.753,0.0,0.0,0.0,5.875,14.533,10.128
2020-03-24,0.0,0.0,0.0,1.0,0.014,0.0,1.0,0.014,21.0,52.0,33.658,1.0,14.0,6.986,0.0,6.0,1.959,0.0,2.0,0.548,0.0,0.0,0.0,28.0,66.0,43.151,0.0,0.001,0.0,8.439,19.893,13.006
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014,27.0,71.0,43.507,1.0,17.0,8.973,0.0,9.0,2.699,0.0,3.0,0.932,0.0,0.0,0.0,35.0,83.0,56.11,0.0,0.001,0.0,10.276,24.369,16.474
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014,36.0,84.0,55.055,4.0,21.0,12.027,0.0,9.0,3.493,0.0,4.0,1.397,0.0,0.0,0.0,48.0,100.0,71.973,0.0,0.001,0.001,13.719,28.58,20.57
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014,49.0,90.0,70.507,8.0,27.0,15.822,1.0,13.0,4.479,0.0,5.0,1.959,0.0,1.0,0.014,67.0,120.0,92.781,0.001,0.001,0.001,18.628,33.364,25.792
2020-03-28,0.0,0.0,0.0,1.0,0.014,0.0,1.0,0.027,69.0,115.0,89.712,10.0,33.0,20.342,1.0,13.0,5.671,0.0,7.0,2.945,0.0,1.0,0.027,91.0,146.0,118.699,0.001,0.001,0.001,24.597,39.463,32.076
2020-03-29,1.0,1.0,0.0,1.0,0.014,0.0,1.0,0.041,94.0,147.0,112.466,13.0,42.0,26.041,1.0,14.0,7.548,0.0,9.0,4.219,0.0,1.0,0.041,121.0,186.0,150.315,0.001,0.002,0.001,31.776,48.845,39.463
2020-03-30,4.0,3.0,0.0,1.0,0.014,0.0,1.0,0.055,115.0,175.0,140.986,20.0,50.0,34.027,3.0,17.0,10.014,1.0,12.0,5.589,0.0,1.0,0.096,157.0,231.0,190.712,0.001,0.002,0.002,40.031,58.899,48.602
