date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.076,1.076,1.076
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.178,0.0,0.0,0.0,1.069,5.343,2.328
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.581,0.0,0.0,0.0,0.0,1.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.589,0.0,0.0,0.0,2.12,9.538,4.864
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,9.132,0.0,1.0,0.062,0.0,1.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,9.233,0.0,0.0,0.0,4.193,16.774,9.679
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,18.891,0.0,3.0,0.326,0.0,1.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,19.31,0.0,0.0,0.0,12.405,27.911,19.962
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,54.0,37.814,0.0,3.0,0.829,0.0,2.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,38.884,0.0,0.0,0.0,25.38,55.835,39.474
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,103.0,75.891,0.0,5.0,2.116,0.0,4.0,0.527,0.0,0.0,0.0,0.0,0.0,0.0,61.0,105.0,78.535,0.0,0.0,0.0,60.502,104.143,77.894
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,193.0,151.806,0.0,10.0,4.628,0.0,6.0,1.132,0.0,0.0,0.0,0.0,0.0,0.0,123.0,198.0,157.566,0.0,0.0,0.0,118.429,190.642,151.71
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,345.0,296.946,3.0,17.0,9.388,0.0,8.0,2.318,0.0,0.0,0.0,0.0,0.0,0.0,260.0,361.0,308.651,0.0,0.0,0.0,241.116,334.781,286.234
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,647.0,568.86,9.0,32.0,18.729,1.0,11.0,4.682,0.0,1.0,0.031,0.0,0.0,0.0,496.0,670.0,592.302,0.0,0.0,0.0,438.864,592.82,524.073
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,1205.0,1069.419,27.0,56.0,37.512,3.0,21.0,9.837,0.0,1.0,0.163,0.0,0.0,0.0,959.0,1272.0,1116.93,0.0,0.001,0.001,800.631,1061.942,932.481
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.0,2163.0,1952.411,54.0,98.0,74.938,10.0,32.0,19.38,0.0,3.0,0.465,0.0,0.0,0.0,1770.0,2278.0,2047.194,0.001,0.001,0.001,1376.674,1771.788,1592.271
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,3836.0,3456.225,110.0,181.0,147.124,20.0,54.0,36.667,0.0,4.0,1.202,0.0,0.0,0.0,3183.0,4047.0,3641.217,0.002,0.002,0.002,2274.217,2891.535,2601.608
2020-03-13,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.008,5169.0,6601.0,5892.411,227.0,326.0,280.194,51.0,95.0,69.713,0.0,7.0,2.868,0.0,0.0,0.0,5501.0,6996.0,6245.186,0.003,0.003,0.003,3556.978,4523.653,4038.173
2020-03-14,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.016,8543.0,10713.0,9614.318,434.0,633.0,524.589,105.0,175.0,130.326,1.0,11.0,6.163,0.0,0.0,0.0,9129.0,11460.0,10275.395,0.004,0.005,0.005,5261.556,6605.043,5922.288
