date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.838,0.838,0.838
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.954,0.0,0.0,0.0,0.838,3.353,1.638
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.368,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.379,0.0,0.0,0.0,0.838,5.029,2.832
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.241,0.0,1.0,0.092,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.345,0.0,0.0,0.0,2.514,9.22,5.318
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,11.517,0.0,2.0,0.322,0.0,1.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,11.897,0.0,0.0,0.0,5.867,15.925,9.971
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,20.885,0.0,3.0,0.828,0.0,1.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,21.828,0.0,0.0,0.0,11.734,25.145,18.295
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,52.0,38.494,0.0,5.0,1.632,0.0,2.0,0.253,0.0,0.0,0.0,0.0,0.0,0.0,29.0,56.0,40.379,0.0,0.0,0.0,24.306,46.936,33.844
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,90.0,70.414,0.0,8.0,3.092,0.0,5.0,0.655,0.0,1.0,0.011,0.0,0.0,0.0,59.0,93.0,74.172,0.0,0.0,0.0,49.45,77.947,62.167
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,160.0,129.494,1.0,13.0,5.816,0.0,5.0,1.368,0.0,1.0,0.023,0.0,0.0,0.0,113.0,164.0,136.701,0.0,0.0,0.0,94.704,137.446,114.568
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,295.0,238.149,4.0,19.0,10.782,0.0,8.0,2.736,0.0,2.0,0.103,0.0,0.0,0.0,208.0,308.0,251.77,0.0,0.001,0.001,174.267,258.05,210.939
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,517.0,437.839,11.0,31.0,19.448,0.0,12.0,4.805,0.0,2.0,0.23,0.0,0.0,0.0,386.0,547.0,462.322,0.001,0.001,0.001,322.876,457.547,386.716
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,929.0,803.966,20.0,51.0,35.885,2.0,17.0,8.874,0.0,4.0,0.471,0.0,0.0,0.0,727.0,982.0,849.195,0.001,0.002,0.002,603.091,814.629,704.459
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,1683.0,1467.333,46.0,96.0,65.759,8.0,30.0,16.805,0.0,5.0,0.943,0.0,0.0,0.0,1336.0,1769.0,1550.839,0.003,0.004,0.003,1063.363,1408.001,1234.36
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.0,3006.0,2633.897,92.0,148.0,120.747,17.0,42.0,29.724,0.0,7.0,1.977,0.0,0.0,0.0,2424.0,3180.0,2786.345,0.005,0.006,0.006,1602.201,2101.898,1841.702
2020-03-19,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.011,3724.0,5002.0,4353.736,188.0,260.0,221.69,40.0,77.0,56.667,0.0,9.0,3.782,0.0,0.0,0.0,3975.0,5321.0,4635.874,0.008,0.011,0.009,1468.588,1965.876,1712.752
2020-03-20,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.023,4976.0,6625.0,5826.046,334.0,483.0,402.184,76.0,150.0,104.414,2.0,13.0,6.839,0.0,0.0,0.0,5431.0,7222.0,6339.483,0.011,0.015,0.013,807.731,1074.099,942.846
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023,5459.0,7229.0,6362.184,615.0,867.0,724.126,148.0,237.0,186.448,5.0,20.0,13.207,0.0,1.0,0.011,6294.0,8287.0,7285.977,0.013,0.017,0.015,498.311,656.102,576.847
2020-03-22,2.0,2.0,0.0,1.0,0.034,0.0,1.0,0.057,5415.0,7164.0,6291.425,1088.0,1407.0,1233.333,258.0,380.0,315.805,13.0,41.0,24.506,0.0,1.0,0.023,6788.0,8947.0,7865.092,0.014,0.018,0.016,434.257,572.377,503.162
2020-03-23,3.0,1.0,0.0,1.0,0.046,0.0,1.0,0.103,5021.0,6738.0,5888.011,1678.0,2199.0,1940.264,400.0,581.0,497.839,30.0,62.0,44.115,0.0,1.0,0.069,7236.0,9506.0,8370.299,0.015,0.019,0.017,441.004,579.351,510.13
2020-03-24,3.0,0.0,0.0,1.0,0.069,0.0,1.0,0.172,4578.0,6064.0,5315.287,2385.0,3189.0,2771.586,590.0,830.0,712.701,58.0,104.0,81.31,0.0,1.0,0.184,7718.0,10107.0,8881.069,0.016,0.02,0.018,465.81,609.995,535.995
2020-03-25,4.0,1.0,0.0,1.0,0.115,0.0,1.0,0.287,4101.0,5383.0,4734.253,3067.0,4144.0,3599.138,767.0,1075.0,933.805,125.0,188.0,151.138,0.0,2.0,0.448,8211.0,10729.0,9418.782,0.017,0.022,0.019,494.618,646.298,567.345
2020-03-26,6.0,2.0,0.0,2.0,0.138,0.0,2.0,0.425,3657.0,4871.0,4258.345,3757.0,4980.0,4318.414,942.0,1294.0,1137.092,227.0,342.0,272.931,0.0,5.0,0.954,8702.0,11358.0,9987.736,0.018,0.023,0.02,523.999,683.933,601.364
2020-03-27,6.0,0.0,0.0,3.0,0.207,0.0,3.0,0.632,3416.0,4460.0,3933.299,4177.0,5560.0,4852.92,1093.0,1488.0,1317.115,401.0,564.0,478.437,0.0,7.0,1.759,9232.0,12013.0,10583.529,0.019,0.024,0.021,555.512,723.262,637.145
2020-03-28,6.0,0.0,0.0,3.0,0.517,0.0,4.0,1.149,3296.0,4273.0,3778.046,4445.0,5934.0,5173.575,1217.0,1670.0,1465.057,692.0,938.0,802.425,0.0,9.0,3.253,9803.0,12737.0,11222.356,0.02,0.026,0.023,590.126,766.784,675.511
2020-03-29,10.0,4.0,0.0,3.0,0.782,0.0,5.0,1.931,3282.0,4275.0,3756.736,4521.0,6065.0,5281.954,1329.0,1797.0,1589.126,1102.0,1463.0,1266.644,2.0,14.0,6.667,10368.0,13473.0,11901.126,0.021,0.027,0.024,623.962,810.856,716.172
