date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.703,0.703,0.703
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.763,0.0,0.0,0.0,0.687,2.75,1.212
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.822,0.0,1.0,0.017,0.0,1.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.847,0.0,0.0,0.0,0.67,3.349,1.907
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.5,0.0,1.0,0.093,0.0,1.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.61,0.0,0.0,0.0,1.3,5.201,2.997
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,7.534,0.0,2.0,0.331,0.0,1.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,7.966,0.0,0.0,0.0,3.141,8.794,5.004
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,12.119,0.0,3.0,0.644,0.0,2.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,12.932,0.0,0.0,0.0,4.227,12.077,7.809
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,19.042,0.0,4.0,1.314,0.0,2.0,0.297,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,20.653,0.0,0.0,0.0,6.928,16.744,11.924
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.0,30.076,0.0,6.0,2.356,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,44.0,32.932,0.0,0.0,0.0,10.427,24.147,18.073
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,63.0,46.136,1.0,9.0,3.737,0.0,3.0,1.017,0.0,1.0,0.017,0.0,0.0,0.0,33.0,70.0,50.907,0.0,0.001,0.0,17.106,36.285,26.388
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,94.0,70.314,1.0,13.0,6.169,0.0,5.0,1.636,0.0,1.0,0.085,0.0,0.0,0.0,56.0,105.0,78.203,0.0,0.001,0.001,27.237,51.07,38.037
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,132.0,103.737,3.0,16.0,9.703,0.0,6.0,2.576,0.0,2.0,0.212,0.0,0.0,0.0,83.0,148.0,116.229,0.001,0.001,0.001,37.62,67.081,52.681
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,201.0,149.424,7.0,24.0,15.364,0.0,9.0,3.915,0.0,2.0,0.449,0.0,0.0,0.0,121.0,229.0,169.153,0.001,0.002,0.001,50.752,96.051,70.949
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,273.0,209.661,11.0,37.0,23.763,1.0,12.0,6.288,0.0,3.0,0.814,0.0,0.0,0.0,158.0,314.0,240.525,0.001,0.003,0.002,60.898,121.024,92.705
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,373.0,285.992,24.0,55.0,36.263,3.0,18.0,9.559,0.0,5.0,1.432,0.0,0.0,0.0,224.0,435.0,333.246,0.002,0.004,0.003,78.79,153.007,117.216
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,501.0,381.305,35.0,79.0,53.678,5.0,28.0,14.542,0.0,6.0,2.559,0.0,0.0,0.0,301.0,586.0,452.085,0.003,0.005,0.004,95.979,186.856,144.154
2020-03-16,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.008,312.0,633.0,490.949,55.0,108.0,79.237,8.0,32.0,21.186,0.0,10.0,4.254,0.0,0.0,0.0,393.0,771.0,595.627,0.003,0.007,0.005,112.889,221.468,171.093
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,386.0,785.0,617.203,81.0,152.0,113.754,15.0,49.0,30.102,2.0,12.0,6.881,0.0,0.0,0.0,497.0,982.0,767.941,0.004,0.009,0.007,127.86,252.632,197.563
2020-03-18,1.0,1.0,0.0,1.0,0.017,0.0,1.0,0.025,486.0,951.0,752.72,113.0,210.0,158.958,23.0,63.0,42.085,4.0,19.0,10.864,0.0,1.0,0.034,633.0,1219.0,964.661,0.006,0.011,0.009,145.085,279.398,221.095
2020-03-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,581.0,1121.0,894.288,150.0,290.0,217.424,31.0,85.0,57.39,8.0,28.0,16.856,0.0,1.0,0.042,774.0,1483.0,1186.0,0.007,0.013,0.01,157.329,301.445,241.066
2020-03-20,1.0,0.0,0.0,1.0,0.034,0.0,1.0,0.059,669.0,1328.0,1036.678,205.0,373.0,287.585,40.0,106.0,77.025,13.0,43.0,25.788,0.0,2.0,0.153,928.0,1793.0,1427.229,0.008,0.016,0.013,166.463,321.972,256.262
2020-03-21,1.0,0.0,0.0,1.0,0.008,0.0,1.0,0.068,766.0,1500.0,1174.212,250.0,482.0,372.475,55.0,135.0,101.5,26.0,57.0,39.441,0.0,2.0,0.364,1098.0,2118.0,1687.992,0.01,0.019,0.015,173.489,334.959,266.896
2020-03-22,1.0,0.0,0.0,1.0,0.017,0.0,1.0,0.085,821.0,1632.0,1291.195,308.0,600.0,471.458,77.0,190.0,130.585,38.0,79.0,58.237,0.0,3.0,0.644,1249.0,2442.0,1952.119,0.011,0.022,0.017,173.428,339.351,271.186
2020-03-23,1.0,0.0,0.0,1.0,0.051,0.0,1.0,0.136,892.0,1722.0,1390.195,365.0,737.0,582.178,104.0,229.0,162.771,59.0,117.0,85.203,0.0,5.0,1.136,1428.0,2751.0,2221.483,0.013,0.024,0.02,173.995,335.187,270.729
2020-03-24,1.0,0.0,0.0,1.0,0.076,0.0,2.0,0.212,934.0,1814.0,1469.017,427.0,881.0,702.466,131.0,274.0,198.347,87.0,168.0,120.585,0.0,6.0,2.076,1586.0,3086.0,2492.492,0.014,0.027,0.022,169.469,329.743,266.277
2020-03-25,1.0,0.0,0.0,2.0,0.119,0.0,3.0,0.331,963.0,1863.0,1518.593,502.0,1055.0,830.203,164.0,327.0,238.237,118.0,231.0,167.678,0.0,8.0,3.398,1749.0,3405.0,2758.11,0.015,0.03,0.024,163.837,319.047,258.343
2020-03-26,2.0,1.0,0.0,1.0,0.127,0.0,3.0,0.458,984.0,1911.0,1547.381,596.0,1204.0,957.373,197.0,383.0,279.975,152.0,295.0,228.28,0.0,13.0,5.619,1935.0,3720.0,3018.627,0.017,0.033,0.027,158.851,305.76,248.117
2020-03-27,2.0,0.0,0.0,2.0,0.153,0.0,3.0,0.61,1002.0,1915.0,1547.254,667.0,1341.0,1078.661,228.0,441.0,323.246,213.0,389.0,306.746,3.0,15.0,8.78,2116.0,4034.0,3264.686,0.019,0.036,0.029,152.869,291.248,235.889
