date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.231,1.231,1.231
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.495,0.0,0.0,0.0,1.227,6.135,3.062
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.342,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.36,0.0,0.0,0.0,2.441,10.985,6.543
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,11.766,0.0,1.0,0.126,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,11.901,0.0,0.0,0.0,8.469,24.197,14.398
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,37.0,25.396,0.0,2.0,0.369,0.0,1.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,17.0,37.0,25.865,0.0,0.0,0.0,20.269,44.115,30.839
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,75.0,56.126,0.0,4.0,1.054,0.0,2.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,41.0,76.0,57.459,0.0,0.001,0.001,47.723,88.461,66.881
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,150.0,122.315,0.0,6.0,2.36,0.0,3.0,0.757,0.0,0.0,0.0,0.0,0.0,0.0,101.0,152.0,125.432,0.001,0.001,0.001,113.054,170.141,140.403
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,311.0,258.144,1.0,11.0,5.622,0.0,5.0,1.559,0.0,0.0,0.0,0.0,0.0,0.0,212.0,320.0,265.324,0.002,0.003,0.002,222.984,336.579,279.071
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,616.0,528.036,6.0,22.0,12.955,0.0,8.0,3.351,0.0,1.0,0.036,0.0,0.0,0.0,454.0,636.0,544.378,0.004,0.006,0.005,433.77,607.66,520.121
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,1201.0,1030.117,17.0,46.0,28.261,1.0,14.0,7.36,0.0,2.0,0.108,0.0,0.0,0.0,925.0,1243.0,1065.847,0.009,0.012,0.01,766.761,1030.361,883.513
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.0,2187.0,1873.387,40.0,85.0,60.955,8.0,27.0,15.757,0.0,3.0,0.279,0.0,0.0,0.0,1696.0,2271.0,1950.378,0.016,0.021,0.018,1153.041,1543.96,1325.983
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2676.0,3588.0,3120.378,96.0,159.0,126.973,20.0,54.0,32.405,0.0,3.0,0.685,0.0,0.0,0.0,2839.0,3771.0,3280.441,0.027,0.035,0.031,1490.524,1979.841,1722.289
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3965.0,5361.0,4689.901,209.0,313.0,251.622,46.0,93.0,65.261,0.0,4.0,1.523,0.0,0.0,0.0,4261.0,5706.0,5008.306,0.04,0.054,0.047,1635.743,2190.46,1922.624
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.0,7184.0,6319.459,414.0,564.0,479.441,97.0,158.0,123.477,0.0,7.0,3.423,0.0,0.0,0.0,5940.0,7862.0,6925.802,0.056,0.074,0.065,1602.471,2120.981,1868.417
