date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.281,1.281,1.281
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.477,0.0,0.0,0.0,1.281,6.403,3.172
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.72,0.0,1.0,0.03,0.0,1.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.765,0.0,0.0,0.0,2.561,12.806,7.383
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,12.947,0.0,1.0,0.121,0.0,1.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,13.106,0.0,0.0,0.0,8.961,23.042,16.777
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,43.0,29.508,0.0,2.0,0.394,0.0,2.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.0,30.053,0.0,0.0,0.0,16.441,45.211,30.88
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,89.0,59.773,0.0,4.0,1.182,0.0,2.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,35.0,91.0,61.273,0.0,0.001,0.0,3.372,8.768,5.904
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,96.0,63.621,0.0,7.0,2.765,0.0,3.0,0.697,0.0,0.0,0.0,0.0,0.0,0.0,37.0,100.0,67.083,0.0,0.001,0.0,3.31,8.945,6.001
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,96.0,64.977,1.0,13.0,6.462,0.0,5.0,1.667,0.0,1.0,0.008,0.0,0.0,0.0,41.0,106.0,73.114,0.0,0.001,0.0,3.667,9.481,6.539
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,99.0,63.606,5.0,24.0,12.97,0.0,9.0,3.227,0.0,1.0,0.015,0.0,0.0,0.0,45.0,114.0,79.818,0.0,0.001,0.0,4.025,10.196,7.139
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,90.0,60.5,11.0,35.0,21.182,0.0,11.0,5.22,0.0,1.0,0.106,0.0,0.0,0.0,49.0,125.0,87.008,0.0,0.001,0.001,4.383,11.18,7.782
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,81.0,56.583,16.0,45.0,30.242,1.0,14.0,7.591,0.0,2.0,0.258,0.0,0.0,0.0,57.0,135.0,94.674,0.0,0.001,0.001,5.098,12.074,8.468
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,74.0,53.614,19.0,56.0,38.932,2.0,18.0,9.879,0.0,3.0,0.682,0.0,0.0,0.0,60.0,147.0,103.106,0.0,0.001,0.001,5.366,13.148,9.222
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,73.0,52.614,23.0,68.0,46.038,5.0,25.0,12.068,0.0,5.0,1.765,0.0,0.0,0.0,64.0,163.0,112.485,0.0,0.001,0.001,5.724,14.579,10.061
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,78.0,52.288,25.0,74.0,51.409,5.0,31.0,14.167,0.0,15.0,4.053,0.0,0.0,0.0,74.0,170.0,121.917,0.0,0.001,0.001,6.619,15.205,10.904
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,81.0,54.364,28.0,83.0,54.992,7.0,37.0,16.061,2.0,17.0,7.576,0.0,0.0,0.0,83.0,179.0,132.992,0.0,0.001,0.001,7.423,16.01,11.895
2020-03-14,0.0,0.0,0.0,1.0,0.015,0.0,1.0,0.015,35.0,84.0,57.689,32.0,86.0,56.871,8.0,40.0,17.72,5.0,20.0,12.636,0.0,0.0,0.0,95.0,195.0,144.917,0.001,0.001,0.001,8.497,17.441,12.961
2020-03-15,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.023,35.0,89.0,62.227,31.0,82.0,57.038,9.0,40.0,19.371,11.0,32.0,19.235,0.0,1.0,0.03,107.0,213.0,157.902,0.001,0.001,0.001,9.57,18.961,14.12
2020-03-16,1.0,1.0,0.0,1.0,0.03,0.0,1.0,0.053,40.0,88.0,67.682,28.0,80.0,56.5,11.0,41.0,20.455,14.0,41.0,27.174,0.0,1.0,0.091,116.0,225.0,171.902,0.001,0.001,0.001,10.375,20.034,15.367
2020-03-17,1.0,0.0,0.0,1.0,0.023,0.0,1.0,0.076,48.0,96.0,73.864,30.0,75.0,55.636,11.0,40.0,21.553,17.0,55.0,36.205,0.0,2.0,0.152,126.0,250.0,187.409,0.001,0.001,0.001,11.269,22.27,16.748
2020-03-18,1.0,0.0,0.0,1.0,0.023,0.0,1.0,0.098,55.0,105.0,80.114,29.0,75.0,55.568,10.0,38.0,22.371,22.0,66.0,45.508,0.0,3.0,0.394,138.0,268.0,203.955,0.001,0.002,0.001,12.343,23.88,18.206
2020-03-19,1.0,0.0,0.0,1.0,0.053,0.0,1.0,0.152,60.0,115.0,86.53,28.0,76.0,56.962,10.0,35.0,23.0,31.0,74.0,54.811,0.0,3.0,0.803,156.0,285.0,222.106,0.001,0.002,0.001,13.863,25.311,19.793
2020-03-20,1.0,0.0,0.0,2.0,0.053,0.0,2.0,0.205,67.0,124.0,94.083,32.0,83.0,59.303,12.0,35.0,23.545,35.0,87.0,63.265,0.0,6.0,1.833,171.0,308.0,242.03,0.001,0.002,0.001,15.205,27.368,21.483
2020-03-21,1.0,0.0,0.0,1.0,0.03,0.0,2.0,0.235,75.0,137.0,102.5,40.0,85.0,62.765,12.0,39.0,24.379,37.0,103.0,70.447,0.0,8.0,3.477,186.0,332.0,263.568,0.001,0.002,0.002,16.278,29.515,23.262
2020-03-22,1.0,0.0,0.0,2.0,0.038,0.0,2.0,0.273,81.0,153.0,110.568,41.0,91.0,67.25,10.0,40.0,25.023,43.0,111.0,77.303,1.0,12.0,5.705,204.0,360.0,285.848,0.001,0.002,0.002,17.709,31.572,25.056
2020-03-23,1.0,0.0,0.0,2.0,0.083,0.0,3.0,0.356,83.0,169.0,120.212,42.0,99.0,72.803,9.0,39.0,26.098,44.0,124.0,83.038,3.0,17.0,9.098,224.0,392.0,311.25,0.001,0.002,0.002,19.408,34.345,27.024
2020-03-24,1.0,0.0,0.0,1.0,0.03,0.0,3.0,0.386,89.0,179.0,129.538,52.0,112.0,78.909,8.0,41.0,27.545,47.0,128.0,87.523,7.0,24.0,13.758,241.0,425.0,337.273,0.001,0.002,0.002,20.303,36.849,28.935
2020-03-25,1.0,0.0,0.0,2.0,0.091,0.0,4.0,0.477,101.0,185.0,140.689,57.0,116.0,84.652,11.0,44.0,29.28,58.0,136.0,92.091,10.0,32.0,19.644,267.0,462.0,366.356,0.002,0.003,0.002,22.36,38.996,31.01
2020-03-26,1.0,0.0,0.0,1.0,0.114,0.0,4.0,0.591,108.0,197.0,151.235,57.0,126.0,92.25,13.0,47.0,31.591,60.0,148.0,96.227,13.0,40.0,25.727,288.0,494.0,397.03,0.002,0.003,0.002,24.149,41.321,33.209
2020-03-27,1.0,0.0,0.0,1.0,0.061,0.0,4.0,0.652,110.0,219.0,162.121,61.0,129.0,99.288,13.0,49.0,33.97,67.0,140.0,100.273,18.0,50.0,33.379,312.0,537.0,429.03,0.002,0.003,0.002,26.295,44.362,35.387
