date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.343,0.343,0.343
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.452,0.0,0.0,0.0,0.335,1.004,0.486
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.082,0.0,1.0,0.027,0.0,1.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.123,0.0,0.0,0.0,0.326,1.632,0.693
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.836,0.0,1.0,0.151,0.0,1.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.014,0.0,0.0,0.0,0.318,1.91,0.959
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.589,0.0,2.0,0.384,0.0,1.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.041,0.0,0.0,0.0,0.31,2.17,1.253
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.521,0.0,3.0,0.685,0.0,1.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.384,0.0,0.0,0.0,0.604,3.018,1.625
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5.63,0.0,4.0,1.068,0.0,1.0,0.233,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,6.932,0.0,0.0,0.0,0.587,3.817,2.035
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,7.082,0.0,4.0,1.548,0.0,2.0,0.342,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.973,0.0,0.0,0.0,0.856,4.567,2.561
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,9.0,0.0,6.0,1.986,0.0,3.0,0.479,0.0,1.0,0.041,0.0,0.0,0.0,5.0,18.0,11.507,0.0,0.0,0.0,1.387,4.992,3.191
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,11.397,0.0,6.0,2.795,0.0,3.0,0.616,0.0,1.0,0.11,0.0,0.0,0.0,9.0,23.0,14.918,0.0,0.0,0.0,2.423,6.192,4.016
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,14.274,0.0,8.0,3.603,0.0,4.0,0.932,0.0,1.0,0.233,0.0,0.0,0.0,11.0,31.0,19.041,0.0,0.0,0.0,2.873,8.097,4.974
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,18.014,0.0,9.0,4.562,0.0,5.0,1.301,0.0,2.0,0.37,0.0,0.0,0.0,15.0,37.0,24.247,0.0,0.0,0.0,3.799,9.371,6.141
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,37.0,22.479,0.0,12.0,5.753,0.0,5.0,1.685,0.0,2.0,0.644,0.0,0.0,0.0,17.0,45.0,30.562,0.0,0.0,0.0,4.172,11.043,7.5
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,28.247,1.0,16.0,7.014,0.0,6.0,2.055,0.0,3.0,1.041,0.0,0.0,0.0,18.0,57.0,38.356,0.0,0.001,0.0,4.277,13.545,9.115
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,57.0,34.959,2.0,16.0,8.658,0.0,8.0,2.63,0.0,3.0,1.603,0.0,0.0,0.0,27.0,71.0,47.849,0.0,0.001,0.0,6.209,16.328,11.004
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,65.0,42.726,4.0,19.0,11.178,0.0,8.0,3.397,0.0,6.0,2.192,0.0,1.0,0.014,37.0,88.0,59.507,0.0,0.001,0.001,8.23,19.574,13.233
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,75.0,51.11,5.0,23.0,13.877,0.0,12.0,4.493,1.0,6.0,2.945,0.0,1.0,0.014,46.0,106.0,72.438,0.0,0.001,0.001,9.891,22.792,15.573
