date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.238,0.238,0.238
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.758,0.0,0.0,0.0,0.235,0.705,0.413
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.606,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.636,0.0,0.0,0.0,0.231,1.157,0.61
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.515,0.0,1.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.606,0.0,0.0,0.0,0.228,1.595,0.821
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.636,0.0,1.0,0.212,0.0,1.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.939,0.0,0.0,0.0,0.448,1.793,1.107
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.788,0.0,2.0,0.545,0.0,1.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.455,0.0,0.0,0.0,0.661,2.424,1.422
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.364,0.0,3.0,0.97,0.0,1.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,8.455,0.0,0.0,0.0,0.866,3.031,1.83
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,8.636,0.0,4.0,1.364,0.0,2.0,0.333,0.0,1.0,0.03,0.0,0.0,0.0,6.0,17.0,10.364,0.0,0.0,0.0,1.276,3.614,2.203
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,10.394,0.0,6.0,2.121,0.0,2.0,0.606,0.0,1.0,0.03,0.0,0.0,0.0,6.0,19.0,13.152,0.0,0.0,0.0,1.252,3.964,2.744
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,12.606,0.0,7.0,2.97,0.0,2.0,0.758,0.0,1.0,0.061,0.0,0.0,0.0,9.0,25.0,16.394,0.0,0.0,0.0,1.841,5.115,3.354
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,14.364,1.0,9.0,3.879,0.0,4.0,1.303,0.0,1.0,0.182,0.0,0.0,0.0,11.0,29.0,19.727,0.0,0.0,0.0,2.206,5.816,3.956
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,16.758,1.0,10.0,5.152,0.0,5.0,1.606,0.0,1.0,0.364,0.0,0.0,0.0,13.0,33.0,23.879,0.0,0.001,0.0,2.554,6.482,4.69
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,20.182,3.0,14.0,6.576,0.0,8.0,1.939,0.0,3.0,0.636,0.0,0.0,0.0,16.0,39.0,29.333,0.0,0.001,0.0,3.076,7.499,5.64
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,36.0,24.394,3.0,15.0,7.97,0.0,8.0,2.394,0.0,4.0,0.879,0.0,0.0,0.0,20.0,51.0,35.636,0.0,0.001,0.001,3.762,9.593,6.703
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,43.0,28.879,3.0,17.0,9.636,0.0,9.0,3.061,0.0,4.0,1.242,0.0,0.0,0.0,26.0,60.0,42.818,0.0,0.001,0.001,4.781,11.033,7.874
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,54.0,34.152,4.0,21.0,11.515,1.0,10.0,3.758,0.0,5.0,1.758,0.0,0.0,0.0,28.0,75.0,51.182,0.0,0.001,0.001,5.031,13.475,9.196
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,65.0,39.848,3.0,24.0,13.455,0.0,11.0,4.485,1.0,6.0,2.667,0.0,0.0,0.0,32.0,90.0,60.455,0.0,0.001,0.001,5.614,15.788,10.605
2020-03-27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,73.0,45.697,6.0,27.0,16.152,2.0,12.0,5.485,0.0,10.0,4.152,0.0,1.0,0.091,38.0,106.0,71.576,0.001,0.002,0.001,6.505,18.145,12.237
