date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.556,0.556,0.556
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.574,0.0,0.0,0.0,0.556,2.225,0.876
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.436,0.0,1.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.468,0.0,0.0,0.0,0.556,3.338,1.373
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.532,0.0,1.0,0.085,0.0,1.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.66,0.0,0.0,0.0,1.113,4.451,2.036
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.287,0.0,1.0,0.277,0.0,1.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.638,0.0,0.0,0.0,1.113,5.007,3.137
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.319,0.0,2.0,0.543,0.0,1.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,9.0,0.0,0.0,0.0,2.225,8.901,5.007
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,12.872,0.0,3.0,1.021,0.0,1.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,14.138,0.0,0.0,0.0,3.894,12.796,7.866
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,19.681,0.0,4.0,1.809,0.0,3.0,0.394,0.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,21.883,0.0,0.0,0.0,6.12,18.359,12.174
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,42.0,30.149,1.0,6.0,2.862,0.0,5.0,0.649,0.0,1.0,0.011,0.0,0.0,0.0,17.0,47.0,33.67,0.0,0.0,0.0,9.458,26.148,18.732
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,67.0,46.574,1.0,11.0,4.649,0.0,6.0,1.0,0.0,1.0,0.064,0.0,0.0,0.0,33.0,73.0,52.287,0.0,0.0,0.0,18.359,40.613,29.09
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,97.0,72.904,2.0,13.0,7.096,0.0,6.0,1.617,0.0,1.0,0.128,0.0,0.0,0.0,59.0,108.0,81.745,0.0,0.0,0.0,32.824,60.085,45.478
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,144.0,113.106,4.0,23.0,10.904,0.0,6.0,2.596,0.0,2.0,0.298,0.0,0.0,0.0,101.0,166.0,126.904,0.0,0.0,0.0,56.19,92.353,70.602
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,222.0,176.191,8.0,27.0,16.16,1.0,9.0,4.117,0.0,3.0,0.723,0.0,0.0,0.0,157.0,256.0,197.191,0.0,0.001,0.0,87.345,142.423,109.706
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,353.0,273.851,11.0,44.0,25.117,1.0,15.0,6.447,0.0,3.0,1.149,0.0,0.0,0.0,243.0,399.0,306.564,0.001,0.001,0.001,135.191,221.98,170.554
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,512.0,428.383,22.0,56.0,38.872,3.0,19.0,10.0,0.0,4.0,1.947,0.0,0.0,0.0,385.0,586.0,479.202,0.001,0.001,0.001,214.191,326.016,266.6
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,784.0,666.543,44.0,87.0,61.117,5.0,24.0,15.255,0.0,6.0,3.064,0.0,0.0,0.0,613.0,893.0,745.979,0.001,0.002,0.002,341.037,496.812,415.018
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,1220.0,1040.128,70.0,132.0,94.138,14.0,35.0,24.064,0.0,10.0,4.904,0.0,1.0,0.011,967.0,1384.0,1163.245,0.002,0.003,0.003,537.981,769.975,647.154
2020-03-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.0,1908.0,1618.266,115.0,181.0,147.745,24.0,53.0,37.34,3.0,15.0,7.766,0.0,1.0,0.021,1515.0,2129.0,1811.138,0.003,0.005,0.004,842.853,1184.446,1007.595
2020-03-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.0,3005.0,2520.245,177.0,278.0,228.5,39.0,79.0,57.511,3.0,23.0,11.766,0.0,1.0,0.053,2343.0,3348.0,2818.074,0.005,0.008,0.006,1301.309,1858.934,1565.137
2020-03-10,1.0,0.0,0.0,1.0,0.021,0.0,1.0,0.021,3196.0,4719.0,3916.894,290.0,432.0,355.404,68.0,120.0,90.191,9.0,31.0,18.287,0.0,2.0,0.149,3582.0,5243.0,4380.926,0.008,0.012,0.01,1060.421,1551.849,1296.892
2020-03-11,1.0,0.0,0.0,1.0,0.021,0.0,1.0,0.043,4021.0,5956.0,4958.16,450.0,663.0,553.0,115.0,174.0,142.383,13.0,41.0,28.191,0.0,2.0,0.255,4619.0,6775.0,5681.989,0.01,0.015,0.013,228.744,335.464,281.373
2020-03-12,1.0,0.0,0.0,1.0,0.032,0.0,1.0,0.074,3934.0,5805.0,4836.436,671.0,1013.0,857.5,182.0,269.0,221.543,23.0,63.0,43.553,0.0,3.0,0.479,4835.0,7111.0,5959.511,0.011,0.016,0.013,235.353,346.093,290.067
2020-03-13,2.0,1.0,0.0,2.0,0.064,0.0,2.0,0.138,3622.0,5426.0,4532.957,1062.0,1579.0,1308.128,275.0,400.0,337.383,52.0,86.0,67.915,0.0,3.0,0.936,5034.0,7471.0,6247.319,0.011,0.017,0.014,244.983,363.606,304.045
2020-03-14,2.0,0.0,0.0,1.0,0.064,0.0,3.0,0.202,3243.0,4832.0,4065.511,1529.0,2307.0,1888.117,402.0,584.0,491.819,80.0,125.0,105.723,0.0,5.0,1.564,5266.0,7815.0,6552.734,0.012,0.018,0.015,256.179,380.35,318.881
2020-03-15,2.0,0.0,0.0,1.0,0.096,0.0,3.0,0.298,2792.0,4241.0,3525.223,2059.0,3020.0,2518.032,547.0,769.0,661.298,122.0,204.0,164.957,0.0,6.0,2.319,5525.0,8189.0,6871.83,0.012,0.018,0.015,268.737,398.554,334.376
2020-03-16,2.0,0.0,0.0,2.0,0.191,0.0,3.0,0.489,2379.0,3655.0,3039.053,2523.0,3696.0,3087.394,674.0,955.0,821.117,194.0,313.0,257.691,0.0,9.0,3.787,5785.0,8592.0,7209.043,0.013,0.019,0.016,281.295,418.122,350.719
2020-03-17,2.0,0.0,0.0,3.0,0.309,0.0,4.0,0.798,2083.0,3175.0,2661.67,2893.0,4238.0,3528.234,791.0,1123.0,960.553,310.0,475.0,399.702,2.0,11.0,6.17,6084.0,8990.0,7556.33,0.014,0.02,0.017,295.801,437.397,367.507
2020-03-18,2.0,0.0,0.0,2.0,0.255,0.0,4.0,1.053,1927.0,2906.0,2427.181,3061.0,4572.0,3797.16,873.0,1253.0,1073.266,499.0,741.0,617.298,5.0,17.0,9.745,6383.0,9443.0,7924.649,0.014,0.021,0.018,310.209,459.253,385.261
2020-03-19,3.0,1.0,0.0,3.0,0.564,0.0,5.0,1.617,1858.0,2797.0,2310.713,3133.0,4680.0,3892.585,938.0,1387.0,1160.553,760.0,1102.0,928.936,5.0,26.0,15.532,6707.0,9927.0,8308.319,0.015,0.022,0.019,325.785,482.325,403.655
2020-03-20,3.0,0.0,0.0,3.0,0.606,0.0,6.0,2.223,1836.0,2796.0,2282.34,3100.0,4550.0,3830.915,995.0,1457.0,1226.404,1074.0,1626.0,1350.277,14.0,35.0,23.585,7031.0,10404.0,8713.521,0.016,0.023,0.02,340.971,504.813,422.986
2020-03-21,4.0,1.0,0.0,4.0,1.0,0.0,8.0,3.223,1862.0,2811.0,2308.245,2963.0,4327.0,3650.617,1044.0,1509.0,1271.787,1474.0,2248.0,1862.713,27.0,51.0,36.979,7380.0,10901.0,9130.34,0.017,0.025,0.021,357.424,528.323,442.623
2020-03-22,4.0,0.0,0.0,5.0,1.234,2.0,9.0,4.457,1933.0,2838.0,2376.596,2739.0,4073.0,3396.553,1080.0,1531.0,1294.755,1931.0,2924.0,2448.16,45.0,72.0,57.649,7739.0,11420.0,9573.713,0.017,0.026,0.022,374.071,552.369,463.199
2020-03-23,4.0,0.0,0.0,8.0,1.489,2.0,17.0,5.947,2017.0,2992.0,2465.117,2481.0,3726.0,3106.16,1070.0,1540.0,1297.16,2471.0,3667.0,3077.479,67.0,114.0,89.085,8114.0,11914.0,10035.0,0.018,0.027,0.023,391.302,574.662,484.122
2020-03-24,6.0,2.0,0.0,7.0,2.5,3.0,18.0,8.447,2017.0,3044.0,2567.287,2268.0,3451.0,2840.128,1051.0,1522.0,1276.404,2991.0,4379.0,3694.277,99.0,173.0,138.255,8453.0,12500.0,10516.351,0.019,0.028,0.024,406.197,600.558,505.158
2020-03-25,8.0,2.0,0.0,7.0,2.691,5.0,19.0,11.138,2163.0,3144.0,2681.298,2063.0,3192.0,2628.043,1010.0,1485.0,1240.149,3488.0,5046.0,4255.989,164.0,259.0,214.489,8897.0,13101.0,11019.968,0.02,0.029,0.025,425.083,625.09,525.961
2020-03-26,9.0,1.0,0.0,8.0,3.426,6.0,22.0,14.564,2277.0,3271.0,2801.032,1956.0,3076.0,2493.649,974.0,1452.0,1188.202,3895.0,5597.0,4732.681,247.0,386.0,328.191,9349.0,13734.0,11543.755,0.021,0.031,0.026,443.044,649.72,545.922
2020-03-27,13.0,4.0,0.0,8.0,3.851,9.0,26.0,18.415,2375.0,3400.0,2916.17,1935.0,2965.0,2434.596,925.0,1371.0,1129.84,4203.0,6061.0,5107.755,367.0,605.0,494.968,9825.0,14386.0,12083.33,0.022,0.032,0.027,460.372,670.796,564.069
2020-03-28,18.0,5.0,0.0,10.0,4.17,12.0,31.0,22.585,2519.0,3604.0,3040.723,1940.0,2934.0,2431.0,893.0,1343.0,1080.245,4376.0,6338.0,5371.372,550.0,913.0,722.521,10292.0,15049.0,12645.862,0.023,0.034,0.028,474.196,688.076,580.374
