date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.554,0.554,0.554
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.543,0.0,0.0,0.0,0.554,2.217,0.855
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.337,0.0,1.0,0.011,0.0,1.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.37,0.0,0.0,0.0,0.554,2.771,1.313
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.457,0.0,1.0,0.13,0.0,1.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.641,0.0,0.0,0.0,1.109,3.88,2.018
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,5.293,0.0,2.0,0.315,0.0,2.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,5.783,0.0,0.0,0.0,1.663,7.205,3.205
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,8.054,0.0,2.0,0.598,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,8.902,0.0,0.0,0.0,2.217,9.422,4.934
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,12.62,0.0,3.0,1.152,0.0,2.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,14.163,0.0,0.0,0.0,4.434,11.085,7.85
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,19.88,0.0,5.0,1.859,0.0,2.0,0.511,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,22.25,0.0,0.0,0.0,8.314,16.628,12.332
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.0,31.0,0.0,7.0,2.902,0.0,3.0,0.75,0.0,1.0,0.011,0.0,0.0,0.0,25.0,47.0,34.663,0.0,0.0,0.0,13.856,26.05,19.212
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,61.0,47.804,1.0,8.0,4.337,0.0,4.0,1.228,0.0,1.0,0.054,0.0,0.0,0.0,39.0,69.0,53.424,0.0,0.0,0.0,21.616,38.244,29.611
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,95.0,74.772,2.0,13.0,6.891,0.0,6.0,1.739,0.0,2.0,0.228,0.0,0.0,0.0,65.0,106.0,83.63,0.0,0.0,0.0,36.027,58.751,46.353
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,145.0,115.543,4.0,20.0,10.663,0.0,10.0,2.728,0.0,2.0,0.435,0.0,0.0,0.0,102.0,158.0,129.37,0.0,0.0,0.0,56.534,87.573,71.704
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,234.0,179.141,10.0,27.0,16.533,0.0,13.0,4.217,0.0,3.0,0.761,0.0,0.0,0.0,161.0,254.0,200.652,0.0,0.001,0.0,89.235,140.781,111.213
2020-03-04,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.011,217.0,349.0,279.12,15.0,37.0,25.5,1.0,14.0,6.576,0.0,4.0,1.185,0.0,0.0,0.0,251.0,388.0,312.38,0.001,0.001,0.001,139.119,215.052,173.139
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,348.0,531.0,431.272,27.0,60.0,40.011,4.0,17.0,9.957,0.0,5.0,1.848,0.0,0.0,0.0,396.0,597.0,483.087,0.001,0.001,0.001,219.486,330.892,267.755
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,560.0,812.0,670.37,43.0,80.0,62.152,7.0,29.0,15.587,0.0,8.0,2.946,0.0,0.0,0.0,632.0,918.0,751.054,0.001,0.002,0.002,350.291,508.808,416.277
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,859.0,1257.0,1043.359,63.0,119.0,96.043,13.0,38.0,24.174,1.0,11.0,4.761,0.0,0.0,0.0,963.0,1410.0,1168.337,0.002,0.003,0.003,533.748,781.501,647.557
2020-03-08,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.011,1349.0,1878.0,1624.511,117.0,185.0,147.293,21.0,62.0,37.685,3.0,16.0,7.641,0.0,1.0,0.033,1514.0,2102.0,1817.163,0.003,0.005,0.004,838.969,1164.804,1006.946
2020-03-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,2117.0,2915.0,2526.261,186.0,278.0,228.859,42.0,87.0,58.457,6.0,22.0,11.565,0.0,1.0,0.12,2366.0,3283.0,2825.261,0.005,0.007,0.006,1293.106,1794.281,1544.044
2020-03-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,3327.0,4503.0,3908.598,295.0,434.0,354.978,69.0,136.0,90.413,7.0,31.0,18.587,0.0,1.0,0.163,3724.0,5012.0,4372.739,0.008,0.011,0.01,1103.961,1485.782,1296.228
2020-03-11,1.0,0.0,0.0,1.0,0.022,0.0,1.0,0.033,4151.0,5638.0,4948.38,464.0,661.0,552.88,112.0,197.0,142.098,16.0,43.0,28.435,0.0,2.0,0.272,4772.0,6478.0,5672.065,0.011,0.015,0.013,268.393,364.345,319.001
2020-03-12,1.0,0.0,0.0,1.0,0.033,0.0,1.0,0.065,4069.0,5532.0,4870.707,728.0,1008.0,855.554,172.0,299.0,221.413,28.0,66.0,44.717,0.0,2.0,0.511,5020.0,6843.0,5992.902,0.011,0.015,0.013,247.173,336.883,295.051
2020-03-13,2.0,1.0,0.0,1.0,0.043,0.0,1.0,0.109,3795.0,5169.0,4572.511,1113.0,1536.0,1302.87,263.0,438.0,340.402,49.0,94.0,69.913,0.0,4.0,0.87,5277.0,7151.0,6286.565,0.012,0.016,0.014,259.268,351.243,308.827
2020-03-14,2.0,0.0,0.0,1.0,0.065,0.0,2.0,0.174,3428.0,4691.0,4108.554,1579.0,2210.0,1884.935,398.0,604.0,493.554,86.0,137.0,109.043,0.0,5.0,1.435,5527.0,7490.0,6597.522,0.012,0.017,0.015,271.395,367.985,324.067
2020-03-15,2.0,0.0,0.0,1.0,0.12,0.0,2.0,0.293,2976.0,4067.0,3571.739,2086.0,2924.0,2514.739,564.0,800.0,664.239,135.0,206.0,168.598,0.0,6.0,2.315,5811.0,7859.0,6921.63,0.013,0.018,0.016,285.299,386.065,339.947
2020-03-16,2.0,0.0,0.0,1.0,0.185,0.0,3.0,0.478,2518.0,3496.0,3083.478,2600.0,3561.0,3088.913,693.0,970.0,826.804,216.0,314.0,258.565,0.0,8.0,3.793,6076.0,8239.0,7261.554,0.014,0.019,0.016,298.269,404.44,356.575
2020-03-17,2.0,0.0,0.0,2.0,0.261,0.0,3.0,0.739,2221.0,3149.0,2712.761,2996.0,4053.0,3531.957,812.0,1127.0,966.098,338.0,491.0,402.087,1.0,12.0,6.0,6382.0,8671.0,7618.902,0.014,0.019,0.017,313.156,425.615,374.023
2020-03-18,2.0,0.0,0.0,3.0,0.348,0.0,5.0,1.087,2055.0,2870.0,2466.685,3212.0,4320.0,3811.576,907.0,1268.0,1079.054,517.0,764.0,619.848,3.0,16.0,9.424,6722.0,9095.0,7986.587,0.015,0.02,0.018,329.811,446.2,391.919
2020-03-19,3.0,1.0,0.0,4.0,0.565,0.0,7.0,1.652,1985.0,2718.0,2344.902,3291.0,4454.0,3918.076,968.0,1366.0,1167.293,795.0,1122.0,932.783,8.0,24.0,15.152,7062.0,9531.0,8378.207,0.016,0.021,0.019,346.319,467.424,410.878
2020-03-20,3.0,0.0,0.0,3.0,0.772,0.0,7.0,2.424,1962.0,2718.0,2318.37,3254.0,4414.0,3863.935,1020.0,1422.0,1232.293,1130.0,1613.0,1349.837,13.0,34.0,23.457,7417.0,10010.0,8787.891,0.017,0.022,0.02,363.612,490.172,430.598
2020-03-21,4.0,1.0,0.0,4.0,1.043,0.0,7.0,3.467,1984.0,2789.0,2349.348,3115.0,4206.0,3687.326,1051.0,1485.0,1279.217,1550.0,2165.0,1864.783,24.0,63.0,37.076,7761.0,10508.0,9217.75,0.017,0.024,0.021,380.12,513.803,451.048
2020-03-22,4.0,0.0,0.0,5.0,1.696,1.0,10.0,5.163,2017.0,2832.0,2417.239,2894.0,3890.0,3434.272,1071.0,1517.0,1304.989,2043.0,2856.0,2453.304,38.0,88.0,58.467,8152.0,11022.0,9668.272,0.018,0.025,0.022,398.495,537.779,472.131
2020-03-23,4.0,0.0,0.0,5.0,1.641,1.0,14.0,6.804,2104.0,2941.0,2509.576,2682.0,3578.0,3153.467,1083.0,1521.0,1308.402,2548.0,3566.0,3077.761,62.0,126.0,89.924,8571.0,11569.0,10139.13,0.019,0.026,0.023,417.557,563.179,493.719
2020-03-24,6.0,2.0,0.0,6.0,2.37,2.0,16.0,9.174,2184.0,3032.0,2617.543,2476.0,3254.0,2883.924,1060.0,1510.0,1287.348,3098.0,4303.0,3703.696,103.0,183.0,139.228,8963.0,12108.0,10631.739,0.02,0.027,0.024,434.507,586.418,515.499
