date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.434,0.434,0.434
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.58,0.0,0.0,0.0,0.425,1.276,0.672
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.174,0.0,0.0,0.0,0.0,1.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.188,0.0,0.0,0.0,0.417,2.5,0.912
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.986,0.0,1.0,0.101,0.0,1.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.13,0.0,0.0,0.0,0.408,2.854,1.276
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.928,0.0,2.0,0.275,0.0,2.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.275,0.0,0.0,0.0,0.399,3.588,1.705
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.203,0.0,3.0,0.594,0.0,2.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.971,0.0,0.0,0.0,0.39,3.895,2.326
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,7.377,0.0,3.0,0.971,0.0,2.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,8.609,0.0,0.0,0.0,0.76,5.323,3.273
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,10.058,0.0,4.0,1.435,0.0,2.0,0.406,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,11.899,0.0,0.0,0.0,1.112,6.675,4.412
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,13.493,0.0,6.0,2.203,0.0,3.0,0.609,0.0,1.0,0.014,0.0,0.0,0.0,5.0,23.0,16.319,0.0,0.0,0.0,1.807,8.311,5.897
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,18.623,0.0,7.0,3.058,0.0,4.0,0.797,0.0,1.0,0.101,0.0,0.0,0.0,9.0,32.0,22.58,0.0,0.0,0.0,3.166,11.258,7.943
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,36.0,24.565,1.0,9.0,4.261,0.0,4.0,1.087,0.0,1.0,0.232,0.0,0.0,0.0,17.0,42.0,30.145,0.0,0.0,0.0,5.817,14.372,10.316
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,48.0,32.449,1.0,11.0,5.812,0.0,5.0,1.58,0.0,2.0,0.406,0.0,0.0,0.0,26.0,58.0,40.246,0.0,0.001,0.0,8.647,19.289,13.385
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,65.0,43.522,2.0,14.0,8.174,0.0,5.0,2.072,0.0,3.0,0.638,0.0,0.0,0.0,38.0,77.0,54.406,0.0,0.001,0.0,12.271,24.866,17.569
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,82.0,57.246,4.0,19.0,10.826,0.0,7.0,2.739,0.0,4.0,1.101,0.0,0.0,0.0,52.0,100.0,71.913,0.0,0.001,0.001,16.291,31.329,22.53
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,96.0,74.101,5.0,23.0,14.406,0.0,8.0,3.942,0.0,4.0,1.652,0.0,0.0,0.0,69.0,119.0,94.101,0.001,0.001,0.001,20.953,36.136,28.576
