date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.076,1.076,1.076
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.074,4.295,2.148
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.119,0.0,1.0,0.02,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.158,0.0,0.0,0.0,2.14,8.56,4.449
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,9.03,0.0,1.0,0.089,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,9.158,0.0,0.0,0.0,5.323,17.034,9.75
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,18.188,0.0,1.0,0.307,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,18.545,0.0,0.0,0.0,11.627,26.426,19.602
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,37.673,0.0,3.0,0.822,0.0,2.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,28.0,53.0,38.733,0.0,0.0,0.0,29.3,55.461,40.531
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,99.0,77.05,0.0,5.0,1.881,0.0,3.0,0.574,0.0,0.0,0.0,0.0,0.0,0.0,61.0,100.0,79.505,0.0,0.0,0.0,62.935,103.172,82.027
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,185.0,155.525,1.0,10.0,4.188,0.0,4.0,1.089,0.0,0.0,0.0,0.0,0.0,0.0,137.0,192.0,160.802,0.0,0.0,0.0,138.574,194.206,162.649
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,364.0,313.158,3.0,16.0,8.95,0.0,7.0,2.337,0.0,1.0,0.02,0.0,0.0,0.0,279.0,376.0,324.465,0.0,0.0,0.0,274.557,370.012,319.298
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,708.0,620.059,11.0,29.0,19.059,0.0,10.0,4.693,0.0,1.0,0.05,0.0,0.0,0.0,570.0,744.0,643.861,0.0,0.0,0.0,540.157,705.047,610.151
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,1367.0,1209.782,27.0,51.0,39.693,3.0,19.0,9.871,0.0,1.0,0.149,0.0,0.0,0.0,1102.0,1415.0,1259.495,0.001,0.001,0.001,992.308,1274.152,1134.126
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2584.0,2293.02,63.0,99.0,79.297,7.0,31.0,19.366,0.0,3.0,0.446,0.0,0.0,0.0,2107.0,2696.0,2392.129,0.001,0.001,0.001,1772.727,2268.283,2012.62
2020-03-12,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,3769.0,4690.0,4216.059,127.0,184.0,156.307,27.0,56.0,38.713,0.0,5.0,1.327,0.0,0.0,0.0,3940.0,4908.0,4412.406,0.002,0.002,0.002,3035.017,3780.676,3398.916
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,6664.0,8235.0,7423.02,244.0,367.0,307.149,59.0,102.0,78.0,0.0,8.0,3.04,0.0,0.0,0.0,7011.0,8675.0,7811.208,0.003,0.004,0.004,4831.003,5977.599,5382.394
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,11199.0,13822.0,12437.356,515.0,675.0,594.505,112.0,182.0,149.406,0.0,15.0,6.03,0.0,0.0,0.0,11875.0,14667.0,13187.297,0.006,0.007,0.006,7139.857,8818.551,7928.878
