date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.029,1.029,1.029
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.112,0.0,0.0,0.0,1.018,4.07,2.149
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.082,0.0,1.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.112,0.0,0.0,0.0,2.008,7.029,4.129
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,8.163,0.0,1.0,0.092,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,8.276,0.0,0.0,0.0,2.964,12.846,8.177
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,16.092,0.0,2.0,0.357,0.0,1.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,16.52,0.0,0.0,0.0,9.689,23.254,16.007
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,43.0,31.378,0.0,4.0,0.827,0.0,1.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,24.0,43.0,32.449,0.0,0.0,0.0,22.709,40.687,30.704
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,76.0,61.082,0.0,5.0,1.765,0.0,2.0,0.388,0.0,0.0,0.0,0.0,0.0,0.0,49.0,78.0,63.235,0.0,0.0,0.0,45.059,71.727,58.149
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,153.0,117.041,0.0,11.0,3.786,0.0,3.0,0.776,0.0,1.0,0.02,0.0,0.0,0.0,98.0,160.0,121.622,0.0,0.0,0.0,87.092,142.191,108.085
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,261.0,218.929,3.0,14.0,7.908,0.0,6.0,1.816,0.0,1.0,0.02,0.0,0.0,0.0,188.0,272.0,228.673,0.0,0.0,0.0,160.432,232.114,195.141
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,465.0,403.704,7.0,25.0,15.633,0.0,7.0,3.745,0.0,1.0,0.082,0.0,0.0,0.0,366.0,491.0,423.163,0.0,0.0,0.0,297.754,399.445,344.258
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,821.0,730.102,19.0,44.0,30.163,2.0,15.0,7.51,0.0,2.0,0.173,0.0,0.0,0.0,676.0,862.0,767.949,0.0,0.0,0.0,520.116,663.225,590.862
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.0,1448.0,1288.51,40.0,76.0,57.551,6.0,24.0,14.602,0.0,2.0,0.48,0.0,0.0,0.0,1227.0,1520.0,1361.143,0.001,0.001,0.001,885.168,1096.541,981.94
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,2483.0,2206.112,83.0,141.0,107.99,17.0,42.0,27.235,0.0,3.0,1.194,0.0,0.0,0.0,2085.0,2635.0,2342.531,0.001,0.001,0.001,1397.504,1766.15,1570.118
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251.0,4121.0,3654.102,163.0,241.0,197.898,31.0,70.0,50.388,0.0,7.0,2.551,0.0,0.0,0.0,3497.0,4399.0,3904.939,0.002,0.002,0.002,2157.436,2713.915,2409.109
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5228.0,6665.0,5864.429,292.0,443.0,355.786,71.0,117.0,91.52,1.0,12.0,5.255,0.0,0.0,0.0,5656.0,7171.0,6316.99,0.003,0.003,0.003,3181.945,4034.252,3553.804
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8080.0,10109.0,9070.908,535.0,744.0,631.98,129.0,199.0,160.98,3.0,20.0,10.449,0.0,0.0,0.0,8852.0,11031.0,9874.316,0.004,0.005,0.005,4500.608,5608.473,5020.382
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12155.0,15003.0,13503.071,937.0,1250.0,1077.837,221.0,324.0,274.714,12.0,33.0,19.571,0.0,1.0,0.02,13420.0,16560.0,14875.214,0.006,0.008,0.007,6115.656,7546.592,6778.805
2020-03-17,1.0,1.0,0.0,1.0,0.01,0.0,1.0,0.01,17440.0,21539.0,19338.194,1607.0,2058.0,1799.439,392.0,530.0,460.5,25.0,59.0,38.296,0.0,1.0,0.031,19564.0,24089.0,21636.459,0.009,0.012,0.01,7933.734,9768.745,8774.161
2020-03-18,3.0,2.0,0.0,1.0,0.051,0.0,1.0,0.061,24054.0,29701.0,26681.969,2628.0,3316.0,2917.347,633.0,833.0,748.214,51.0,95.0,72.031,0.0,1.0,0.082,27459.0,33880.0,30419.643,0.013,0.016,0.015,9851.177,12154.772,10913.307
2020-03-19,6.0,3.0,0.0,1.0,0.061,0.0,1.0,0.122,31951.0,39410.0,35454.316,4097.0,5124.0,4569.949,1037.0,1322.0,1177.888,104.0,167.0,131.316,0.0,2.0,0.204,37263.0,45938.0,41333.673,0.018,0.022,0.02,11776.366,14517.959,13062.772
2020-03-20,11.0,5.0,0.0,1.0,0.133,0.0,2.0,0.255,40995.0,50771.0,45444.48,6210.0,7781.0,6927.296,1576.0,2002.0,1792.49,170.0,279.0,236.245,0.0,3.0,0.52,49097.0,60675.0,54401.031,0.023,0.029,0.026,13634.409,16849.66,15107.212
2020-03-21,15.0,4.0,0.0,2.0,0.214,0.0,2.0,0.469,50962.0,62809.0,56288.418,9109.0,11329.0,10180.276,2318.0,2928.0,2639.673,330.0,483.0,417.694,0.0,5.0,1.163,62875.0,77550.0,69527.224,0.03,0.037,0.033,15333.515,18912.107,16955.529
2020-03-22,25.0,10.0,0.0,4.0,0.459,0.0,4.0,0.929,61251.0,75340.0,67504.663,12965.0,16164.0,14462.153,3380.0,4180.0,3779.888,599.0,833.0,718.847,0.0,7.0,2.347,78271.0,96512.0,86467.898,0.037,0.046,0.041,16784.108,20695.947,18541.787
2020-03-23,34.0,9.0,0.0,3.0,0.684,0.0,5.0,1.612,71295.0,87870.0,78664.173,17849.0,22111.0,19879.949,4686.0,5795.0,5234.918,1055.0,1386.0,1209.337,0.0,11.0,4.98,94928.0,117130.0,104993.357,0.045,0.056,0.05,17955.433,22155.073,19859.17
2020-03-24,46.0,12.0,0.0,4.0,1.061,0.0,7.0,2.673,80913.0,99927.0,89319.847,23928.0,29440.0,26485.602,6313.0,7888.0,7043.612,1794.0,2256.0,1981.776,4.0,19.0,10.265,113015.0,139391.0,124841.102,0.054,0.067,0.06,18946.903,23369.758,20929.859
2020-03-25,59.0,13.0,0.0,5.0,1.806,0.0,10.0,4.48,89811.0,110948.0,99188.99,30989.0,38038.0,34213.235,8325.0,10290.0,9214.306,2813.0,3504.0,3144.918,11.0,34.0,19.612,132015.0,162744.0,145781.061,0.063,0.078,0.07,19742.705,24339.235,21801.279
2020-03-26,77.0,18.0,0.0,7.0,2.806,2.0,14.0,7.286,97857.0,120861.0,108039.827,38869.0,47636.0,42915.908,10540.0,13128.0,11730.98,4382.0,5465.0,4859.214,20.0,59.0,36.204,151740.0,187080.0,167582.133,0.072,0.089,0.08,20396.531,25147.551,22525.728
2020-03-27,92.0,15.0,1.0,8.0,4.102,4.0,20.0,11.388,104644.0,129263.0,115775.306,47406.0,58294.0,52395.929,13103.0,16337.0,14571.786,6577.0,8174.0,7294.01,44.0,96.0,65.265,171826.0,212010.0,190102.296,0.082,0.101,0.091,20935.539,25833.041,23163.431
2020-03-28,111.0,19.0,2.0,12.0,5.98,7.0,26.0,17.367,110643.0,136618.0,122448.551,56459.0,69578.0,62370.571,15860.0,19834.0,17685.204,9569.0,11898.0,10625.051,83.0,157.0,117.724,192705.0,237789.0,213247.102,0.092,0.114,0.102,21477.894,26503.104,23768.226
2020-03-29,136.0,25.0,2.0,17.0,8.724,14.0,36.0,26.092,115746.0,142952.0,128289.265,65673.0,81046.0,72478.99,18834.0,23579.0,21006.847,13608.0,16747.0,15036.041,153.0,262.0,207.929,214191.0,264368.0,237019.071,0.102,0.126,0.113,22039.171,27203.259,24390.468
2020-03-30,159.0,23.0,4.0,25.0,12.163,26.0,55.0,38.255,120187.0,148647.0,133432.031,74698.0,92059.0,82447.112,22002.0,27503.0,24459.255,18620.0,23037.0,20710.704,297.0,420.0,354.765,236057.0,291518.0,261403.867,0.113,0.139,0.125,22633.675,27950.842,25063.951
2020-03-31,201.0,42.0,7.0,24.0,16.224,36.0,75.0,54.48,124616.0,153660.0,138068.133,83362.0,102878.0,92033.327,25170.0,31599.0,27981.286,25002.0,30828.0,27764.429,523.0,690.0,598.122,258818.0,319451.0,286445.296,0.124,0.153,0.137,23325.365,28788.628,25814.667
2020-04-01,240.0,39.0,8.0,38.0,21.622,57.0,104.0,76.102,128698.0,158731.0,142535.694,91504.0,112589.0,100960.959,28250.0,35435.0,31470.867,32810.0,40244.0,36278.704,867.0,1140.0,990.388,282188.0,348041.0,312236.612,0.135,0.166,0.149,24095.456,29718.803,26662.281
2020-04-02,324.0,84.0,17.0,49.0,28.592,80.0,137.0,104.694,132854.0,163824.0,146962.622,98833.0,121778.0,109161.235,31326.0,39171.0,34899.878,41844.0,51564.0,46246.153,1397.0,1806.0,1593.939,306324.0,377837.0,338863.827,0.146,0.18,0.162,24965.048,30791.664,27617.379
2020-04-03,359.0,35.0,20.0,54.0,36.878,108.0,182.0,141.571,136979.0,168831.0,151560.908,105377.0,130152.0,116579.806,34189.0,42727.0,38197.663,52225.0,64046.0,57607.306,2200.0,2795.0,2491.143,331116.0,408536.0,366436.827,0.158,0.195,0.175,25917.749,31980.848,28685.587
2020-04-04,445.0,86.0,31.0,66.0,46.112,142.0,230.0,187.684,141584.0,174385.0,156531.439,111038.0,137459.0,123188.469,37115.0,46288.0,41308.663,63644.0,78196.0,70217.684,3409.0,4271.0,3802.949,357266.0,440538.0,395049.204,0.171,0.21,0.189,27007.811,33305.818,29864.635
