date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.47,0.47,0.47
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.438,0.0,0.0,0.0,0.47,1.41,0.676
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.229,0.0,1.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.26,0.0,0.0,0.0,0.47,2.821,1.063
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.177,0.0,1.0,0.135,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.323,0.0,0.0,0.0,0.47,3.291,1.562
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.438,0.0,1.0,0.354,0.0,1.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.844,0.0,0.0,0.0,0.47,3.761,2.277
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,6.406,0.0,2.0,0.531,0.0,2.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,7.094,0.0,0.0,0.0,0.94,5.642,3.335
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,9.26,0.0,3.0,1.021,0.0,2.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,10.5,0.0,0.0,0.0,1.881,7.992,4.937
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,13.74,0.0,4.0,1.625,0.0,2.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,15.635,0.0,0.0,0.0,3.761,10.813,7.351
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,19.792,0.0,5.0,2.448,0.0,2.0,0.448,0.0,1.0,0.021,0.0,0.0,0.0,10.0,32.0,22.708,0.0,0.0,0.0,4.701,15.045,10.676
