date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.815,0.815,0.815
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.8,0.0,0.0,0.0,0.815,3.259,1.467
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.611,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.621,0.0,0.0,0.0,0.815,5.704,2.95
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.453,0.0,1.0,0.084,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.547,0.0,0.0,0.0,2.444,9.778,5.335
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,11.737,0.0,2.0,0.316,0.0,1.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,12.105,0.0,0.0,0.0,5.704,14.666,9.863
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,20.916,0.0,4.0,0.779,0.0,2.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,13.0,31.0,21.832,0.0,0.0,0.0,10.592,25.258,17.788
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,52.0,37.063,0.0,5.0,1.6,0.0,3.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,29.0,53.0,39.042,0.0,0.0,0.0,23.626,43.179,31.808
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,91.0,67.653,0.0,7.0,3.189,0.0,4.0,0.737,0.0,0.0,0.0,0.0,0.0,0.0,57.0,94.0,71.579,0.0,0.0,0.0,46.428,76.566,58.303
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,156.0,122.568,1.0,11.0,5.768,0.0,5.0,1.474,0.0,1.0,0.021,0.0,0.0,0.0,102.0,161.0,129.832,0.0,0.0,0.0,83.031,131.058,105.686
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,268.0,221.579,3.0,16.0,10.2,0.0,6.0,2.768,0.0,1.0,0.042,0.0,0.0,0.0,186.0,282.0,234.589,0.0,0.001,0.0,151.14,229.147,190.622
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,488.0,403.884,10.0,30.0,18.979,1.0,11.0,4.821,0.0,2.0,0.179,0.0,0.0,0.0,335.0,519.0,427.863,0.001,0.001,0.001,270.824,419.576,345.898
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,879.0,731.095,21.0,49.0,34.042,4.0,17.0,8.621,0.0,2.0,0.453,0.0,0.0,0.0,603.0,930.0,774.211,0.001,0.002,0.002,480.424,740.953,616.832
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,1542.0,1313.453,47.0,84.0,62.347,8.0,29.0,15.895,0.0,4.0,0.958,0.0,0.0,0.0,1114.0,1639.0,1392.653,0.002,0.003,0.003,852.111,1253.69,1065.256
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1921.0,2691.0,2315.463,88.0,149.0,113.642,16.0,44.0,28.979,0.0,5.0,1.979,0.0,0.0,0.0,2044.0,2873.0,2460.063,0.004,0.006,0.005,1403.703,1973.013,1689.432
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325.0,4533.0,3891.926,163.0,255.0,205.032,36.0,68.0,52.232,0.0,8.0,3.832,0.0,0.0,0.0,3549.0,4848.0,4153.021,0.007,0.01,0.008,1896.256,2590.32,2218.988
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5066.0,6833.0,5905.032,301.0,468.0,367.947,67.0,115.0,92.705,3.0,15.0,7.253,0.0,1.0,0.011,5485.0,7406.0,6372.947,0.011,0.015,0.013,1848.782,2496.278,2148.072
