date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.805,0.805,0.805
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.8,0.0,0.0,0.0,0.805,3.221,1.449
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.324,0.0,1.0,0.029,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.362,0.0,0.0,0.0,0.805,4.831,2.707
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.743,0.0,1.0,0.114,0.0,1.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.895,0.0,0.0,0.0,2.416,8.052,4.747
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,10.248,0.0,2.0,0.362,0.0,1.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,10.705,0.0,0.0,0.0,4.026,15.299,8.62
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,18.619,0.0,2.0,0.819,0.0,2.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,19.657,0.0,0.0,0.0,8.857,26.571,15.827
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,49.0,33.181,0.0,4.0,1.429,0.0,2.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,27.0,51.0,35.038,0.0,0.0,0.0,21.737,41.058,28.208
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,81.0,59.286,0.0,8.0,2.714,0.0,4.0,0.838,0.0,0.0,0.0,0.0,0.0,0.0,48.0,85.0,62.838,0.0,0.0,0.0,38.629,68.406,50.571
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,139.0,107.333,2.0,11.0,5.152,0.0,5.0,1.467,0.0,0.0,0.0,0.0,0.0,0.0,88.0,146.0,113.952,0.0,0.0,0.0,70.756,117.39,91.623
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,240.0,195.371,3.0,18.0,9.429,0.0,7.0,2.61,0.0,1.0,0.029,0.0,0.0,0.0,169.0,257.0,207.438,0.0,0.001,0.0,135.561,206.149,166.394
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,426.0,352.781,8.0,27.0,16.838,0.0,11.0,4.467,0.0,1.0,0.143,0.0,0.0,0.0,304.0,450.0,374.229,0.001,0.001,0.001,242.359,358.755,298.348
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,741.0,634.076,18.0,44.0,30.495,1.0,21.0,7.648,0.0,2.0,0.381,0.0,0.0,0.0,563.0,791.0,672.6,0.001,0.002,0.001,441.843,620.777,527.857
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,1341.0,1132.571,39.0,74.0,54.276,4.0,32.0,14.105,0.0,3.0,0.867,0.0,0.0,0.0,1029.0,1414.0,1201.819,0.002,0.003,0.002,776.256,1066.692,906.627
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.0,2319.0,1980.124,73.0,129.0,98.895,15.0,43.0,25.0,0.0,6.0,1.562,0.0,0.0,0.0,1800.0,2463.0,2105.581,0.004,0.005,0.004,1234.892,1689.743,1444.536
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.0,3904.0,3315.8,126.0,224.0,177.238,31.0,68.0,44.781,1.0,9.0,3.248,0.0,0.0,0.0,3014.0,4158.0,3541.067,0.006,0.008,0.007,1682.496,2321.108,1976.719
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4288.0,6025.0,5111.171,256.0,376.0,317.419,57.0,106.0,80.695,2.0,14.0,5.99,0.0,0.0,0.0,4657.0,6487.0,5515.276,0.009,0.013,0.011,1789.945,2493.317,2119.829
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5865.0,8212.0,6917.714,473.0,660.0,560.638,108.0,186.0,141.981,5.0,20.0,11.038,0.0,1.0,0.01,6499.0,8998.0,7631.381,0.013,0.018,0.015,1480.348,2049.572,1738.28
2020-03-22,2.0,2.0,0.0,1.0,0.01,0.0,1.0,0.01,6941.0,9608.0,8138.667,815.0,1131.0,964.886,186.0,308.0,241.638,12.0,33.0,20.2,0.0,1.0,0.019,8009.0,10980.0,9365.41,0.016,0.022,0.019,1050.678,1440.435,1228.619
2020-03-23,3.0,1.0,0.0,1.0,0.029,0.0,1.0,0.038,7268.0,10026.0,8584.505,1300.0,1855.0,1578.619,316.0,478.0,396.352,24.0,56.0,36.752,0.0,1.0,0.067,9014.0,12375.0,10596.295,0.018,0.025,0.021,764.054,1048.943,898.168
2020-03-24,3.0,0.0,0.0,1.0,0.057,0.0,1.0,0.095,7138.0,9809.0,8385.724,1991.0,2822.0,2426.981,480.0,716.0,614.467,49.0,91.0,66.524,0.0,1.0,0.162,9776.0,13424.0,11493.857,0.02,0.027,0.023,636.686,874.271,748.555
2020-03-25,4.0,1.0,0.0,1.0,0.095,0.0,2.0,0.19,6618.0,9127.0,7790.048,2916.0,4028.0,3446.79,700.0,1013.0,882.162,85.0,162.0,120.505,0.0,3.0,0.4,10420.0,14320.0,12239.905,0.021,0.029,0.025,596.807,820.123,701.019
