date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.669,0.669,0.669
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.068,0.0,0.0,0.0,0.621,2.484,1.284
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.364,0.0,1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.386,0.0,0.0,0.0,0.574,4.016,1.943
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.705,0.0,1.0,0.114,0.0,1.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.864,0.0,0.0,0.0,0.528,6.865,3.097
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,8.727,0.0,2.0,0.409,0.0,1.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,9.273,0.0,0.0,0.0,1.453,10.173,4.492
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,12.636,0.0,2.0,0.75,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,13.636,0.0,0.001,0.0,1.772,14.173,6.04
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,18.273,0.0,5.0,1.341,0.0,2.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0,19.977,0.0,0.001,0.0,2.826,19.377,8.065
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,51.0,24.886,0.0,7.0,2.432,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,58.0,27.818,0.0,0.001,0.001,4.036,21.28,10.206
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,66.0,33.864,0.0,11.0,4.159,0.0,4.0,0.955,0.0,1.0,0.023,0.0,0.0,0.0,20.0,75.0,39.0,0.0,0.002,0.001,6.651,24.943,12.97
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,79.0,43.614,2.0,15.0,6.5,0.0,4.0,1.364,0.0,1.0,0.068,0.0,0.0,0.0,26.0,94.0,51.545,0.001,0.002,0.001,7.819,28.27,15.502
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,101.0,56.273,3.0,23.0,9.25,0.0,6.0,2.114,0.0,1.0,0.227,0.0,0.0,0.0,35.0,124.0,67.864,0.001,0.002,0.001,9.498,33.651,18.417
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,129.0,69.409,5.0,31.0,13.205,0.0,8.0,3.068,0.0,2.0,0.409,0.0,0.0,0.0,47.0,162.0,86.091,0.001,0.003,0.002,11.488,39.597,21.043
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,147.0,82.727,8.0,44.0,18.205,0.0,11.0,4.659,0.0,4.0,0.909,0.0,0.0,0.0,62.0,196.0,106.5,0.001,0.004,0.002,13.627,43.079,23.408
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,186.0,98.364,10.0,54.0,24.386,2.0,14.0,6.227,0.0,5.0,1.727,0.0,0.0,0.0,73.0,247.0,130.705,0.001,0.005,0.003,14.408,48.75,25.797
2020-03-16,0.0,0.0,0.0,1.0,0.023,0.0,1.0,0.023,52.0,224.0,114.205,14.0,62.0,32.205,3.0,18.0,8.205,0.0,8.0,2.705,0.0,0.0,0.0,85.0,295.0,157.318,0.002,0.006,0.003,15.048,52.225,27.851
2020-03-17,0.0,0.0,0.0,1.0,0.023,0.0,1.0,0.045,64.0,256.0,128.909,18.0,74.0,41.727,5.0,22.0,10.545,1.0,13.0,4.568,0.0,1.0,0.023,96.0,347.0,185.773,0.002,0.007,0.004,15.231,55.055,29.471
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045,69.0,261.0,142.0,27.0,100.0,52.955,7.0,29.0,13.955,2.0,19.0,6.886,0.0,1.0,0.023,111.0,394.0,215.818,0.002,0.008,0.004,15.773,55.988,30.665
2020-03-19,1.0,1.0,0.0,1.0,0.023,0.0,1.0,0.068,76.0,283.0,155.114,30.0,124.0,65.341,10.0,35.0,17.818,3.0,25.0,9.818,0.0,1.0,0.068,129.0,451.0,248.159,0.003,0.009,0.005,16.412,57.379,31.564
2020-03-20,1.0,0.0,0.0,1.0,0.023,0.0,1.0,0.091,73.0,314.0,166.773,36.0,143.0,78.341,11.0,44.0,21.455,4.0,34.0,13.545,0.0,1.0,0.114,142.0,515.0,280.227,0.003,0.01,0.006,16.173,58.654,31.903
2020-03-21,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.091,73.0,325.0,173.205,47.0,165.0,92.409,13.0,57.0,25.591,5.0,44.0,19.318,0.0,1.0,0.205,152.0,572.0,310.727,0.003,0.011,0.006,15.499,58.325,31.663
2020-03-22,2.0,0.0,0.0,1.0,0.023,0.0,1.0,0.114,80.0,346.0,180.727,51.0,191.0,105.659,15.0,65.0,30.182,11.0,52.0,26.0,0.0,2.0,0.318,169.0,642.0,342.886,0.003,0.013,0.007,15.434,58.63,31.284
2020-03-23,2.0,0.0,0.0,1.0,0.023,0.0,1.0,0.136,82.0,348.0,185.795,61.0,216.0,119.795,18.0,67.0,35.205,17.0,74.0,34.591,0.0,3.0,0.705,188.0,692.0,376.091,0.004,0.014,0.008,15.386,56.388,30.722
2020-03-24,2.0,0.0,0.0,1.0,0.023,0.0,2.0,0.159,89.0,352.0,185.955,68.0,249.0,134.023,18.0,76.0,40.114,21.0,91.0,45.091,0.0,7.0,1.273,203.0,754.0,406.455,0.004,0.015,0.008,14.901,55.126,29.742
2020-03-25,2.0,0.0,0.0,1.0,0.091,0.0,2.0,0.25,83.0,349.0,187.068,67.0,276.0,145.795,21.0,88.0,44.477,29.0,102.0,57.727,0.0,7.0,1.773,219.0,812.0,436.841,0.004,0.016,0.009,14.434,53.32,28.675
2020-03-26,2.0,0.0,0.0,1.0,0.091,0.0,3.0,0.341,88.0,350.0,185.023,75.0,292.0,156.386,23.0,104.0,48.886,35.0,130.0,71.727,0.0,10.0,3.045,236.0,869.0,465.068,0.005,0.017,0.009,13.926,51.141,27.379
2020-03-27,2.0,0.0,0.0,1.0,0.023,0.0,3.0,0.364,91.0,353.0,181.818,78.0,302.0,165.068,26.0,116.0,53.455,47.0,163.0,86.841,1.0,14.0,4.727,255.0,922.0,491.909,0.005,0.018,0.01,13.502,48.724,25.999
2020-03-28,2.0,0.0,0.0,1.0,0.045,0.0,3.0,0.409,88.0,338.0,175.977,86.0,311.0,173.0,30.0,121.0,57.659,52.0,194.0,104.295,2.0,22.0,7.455,270.0,962.0,518.386,0.005,0.019,0.01,12.808,45.645,24.601
2020-03-29,2.0,0.0,0.0,3.0,0.136,0.0,3.0,0.545,90.0,313.0,170.091,92.0,342.0,180.091,29.0,119.0,60.227,63.0,218.0,122.909,4.0,26.0,10.636,286.0,1009.0,543.955,0.006,0.02,0.011,12.276,42.924,23.217
2020-03-30,2.0,0.0,0.0,1.0,0.159,0.0,4.0,0.705,85.0,317.0,163.818,92.0,341.0,183.864,28.0,126.0,63.25,72.0,246.0,142.864,6.0,37.0,14.955,299.0,1060.0,568.75,0.006,0.021,0.011,11.56,40.36,21.849
2020-03-31,2.0,0.0,0.0,1.0,0.182,0.0,5.0,0.886,82.0,300.0,157.659,90.0,336.0,184.568,26.0,125.0,65.0,84.0,296.0,164.386,7.0,44.0,20.205,309.0,1098.0,591.818,0.006,0.022,0.012,10.755,37.892,20.492
2020-04-01,2.0,0.0,0.0,1.0,0.159,0.0,5.0,1.045,74.0,269.0,148.841,89.0,349.0,182.614,26.0,121.0,66.932,94.0,337.0,185.727,12.0,58.0,27.432,319.0,1129.0,611.545,0.006,0.023,0.012,10.029,35.15,19.081
2020-04-02,2.0,0.0,0.0,2.0,0.227,0.0,5.0,1.273,69.0,251.0,141.75,83.0,335.0,179.795,29.0,122.0,67.545,102.0,386.0,205.636,18.0,70.0,35.568,327.0,1159.0,630.295,0.007,0.023,0.013,9.167,32.547,17.758
2020-04-03,2.0,0.0,0.0,2.0,0.364,0.0,5.0,1.636,57.0,240.0,133.045,91.0,327.0,176.409,30.0,118.0,67.705,117.0,416.0,225.477,23.0,92.0,45.659,340.0,1191.0,648.295,0.007,0.024,0.013,8.599,30.095,16.502
2020-04-04,2.0,0.0,0.0,1.0,0.091,0.0,5.0,1.727,52.0,234.0,125.159,90.0,319.0,171.386,29.0,118.0,66.545,124.0,447.0,242.773,29.0,117.0,58.682,347.0,1228.0,664.545,0.007,0.025,0.013,7.913,27.998,15.268
2020-04-05,2.0,0.0,0.0,2.0,0.25,0.0,5.0,1.977,48.0,218.0,117.25,80.0,312.0,165.75,31.0,119.0,66.227,135.0,479.0,258.25,35.0,133.0,72.068,356.0,1251.0,679.545,0.007,0.025,0.014,7.332,26.047,14.141
2020-04-06,2.0,0.0,0.0,2.0,0.205,0.0,5.0,2.182,47.0,204.0,109.591,80.0,293.0,159.477,32.0,110.0,64.182,142.0,518.0,272.568,46.0,156.0,88.227,363.0,1279.0,694.045,0.007,0.026,0.014,6.799,24.281,13.075
2020-04-07,2.0,0.0,0.0,1.0,0.136,0.0,6.0,2.318,47.0,190.0,102.136,80.0,277.0,151.636,31.0,110.0,63.386,142.0,537.0,282.409,56.0,187.0,107.341,371.0,1301.0,706.909,0.007,0.026,0.014,6.288,22.381,12.046
2020-04-08,3.0,1.0,0.0,2.0,0.341,0.0,7.0,2.659,48.0,176.0,94.273,73.0,256.0,144.477,29.0,108.0,60.886,147.0,556.0,290.818,67.0,231.0,128.659,375.0,1327.0,719.114,0.008,0.027,0.014,5.689,20.579,11.086
2020-04-09,3.0,0.0,0.0,2.0,0.159,1.0,7.0,2.818,46.0,161.0,85.886,64.0,250.0,137.068,27.0,108.0,58.977,150.0,547.0,295.727,83.0,276.0,151.682,380.0,1342.0,729.341,0.008,0.027,0.015,5.233,18.782,10.178
2020-04-10,3.0,0.0,0.0,2.0,0.25,1.0,7.0,3.068,42.0,157.0,78.864,61.0,224.0,130.909,27.0,99.0,56.045,143.0,563.0,297.409,95.0,316.0,175.977,387.0,1359.0,739.205,0.008,0.027,0.015,4.781,17.315,9.35
2020-04-11,3.0,0.0,0.0,1.0,0.295,1.0,7.0,3.364,37.0,137.0,72.341,53.0,216.0,121.795,20.0,95.0,52.977,149.0,561.0,298.977,106.0,368.0,201.568,388.0,1377.0,747.659,0.008,0.028,0.015,4.397,15.846,8.576
2020-04-12,3.0,0.0,0.0,3.0,0.227,1.0,7.0,3.591,32.0,122.0,66.182,51.0,209.0,115.614,23.0,92.0,49.886,148.0,548.0,296.091,119.0,425.0,228.386,391.0,1396.0,756.159,0.008,0.028,0.015,4.042,14.484,7.873
2020-04-13,3.0,0.0,0.0,2.0,0.273,1.0,8.0,3.864,31.0,124.0,61.568,44.0,186.0,107.136,21.0,92.0,46.818,141.0,534.0,290.136,137.0,482.0,258.341,393.0,1418.0,764.0,0.008,0.028,0.015,3.641,13.313,7.192
2020-04-14,3.0,0.0,0.0,2.0,0.364,1.0,8.0,4.227,28.0,115.0,56.341,41.0,177.0,99.0,23.0,80.0,43.477,138.0,531.0,283.932,151.0,528.0,287.091,397.0,1431.0,769.841,0.008,0.029,0.015,3.335,12.292,6.572
2020-04-15,4.0,1.0,0.0,2.0,0.273,1.0,8.0,4.5,19.0,106.0,51.818,36.0,164.0,91.364,21.0,75.0,40.795,137.0,501.0,275.659,161.0,597.0,316.864,399.0,1443.0,776.5,0.008,0.029,0.016,3.086,11.062,6.01
2020-04-16,4.0,0.0,0.0,1.0,0.182,1.0,8.0,4.682,15.0,99.0,47.295,36.0,154.0,85.068,21.0,73.0,37.977,129.0,488.0,266.455,178.0,643.0,345.636,401.0,1457.0,782.432,0.008,0.029,0.016,2.773,10.26,5.505
2020-04-17,4.0,0.0,0.0,2.0,0.477,2.0,10.0,5.159,18.0,91.0,42.614,32.0,142.0,78.318,19.0,70.0,35.773,124.0,465.0,256.523,194.0,699.0,374.341,400.0,1467.0,787.568,0.008,0.029,0.016,2.511,9.361,5.037
2020-04-18,4.0,0.0,0.0,1.0,0.227,2.0,10.0,5.386,14.0,85.0,39.955,30.0,135.0,72.205,17.0,66.0,32.841,118.0,434.0,244.0,206.0,752.0,403.227,401.0,1472.0,792.227,0.008,0.029,0.016,2.282,8.513,4.6
