date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.639,0.639,0.639
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.793,0.0,0.0,0.0,0.622,2.49,1.116
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.939,0.0,1.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.976,0.0,0.0,0.0,0.605,4.233,1.799
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.427,0.0,1.0,0.171,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.61,0.0,0.0,0.0,0.586,5.271,2.7
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,6.805,0.0,2.0,0.329,0.0,1.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,7.171,0.0,0.0,0.0,1.696,7.916,4.055
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,10.488,0.0,2.0,0.671,0.0,1.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,11.341,0.0,0.0,0.0,2.72,9.791,6.169
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,15.878,0.0,4.0,1.341,0.0,2.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,17.537,0.0,0.0,0.0,4.171,16.163,9.143
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,41.0,24.378,0.0,6.0,2.159,0.0,3.0,0.512,0.0,1.0,0.012,0.0,0.0,0.0,17.0,47.0,27.061,0.0,0.0,0.0,8.463,23.398,13.472
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,56.0,36.512,0.0,7.0,3.232,0.0,4.0,0.939,0.0,1.0,0.049,0.0,0.0,0.0,25.0,64.0,40.732,0.0,0.001,0.0,11.836,30.301,19.284
