date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.789,0.789,0.789
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.851,0.0,0.0,0.0,0.76,3.04,1.407
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.276,0.0,1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.299,0.0,0.0,0.0,0.729,5.105,2.406
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.529,0.0,1.0,0.069,0.0,1.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.632,0.0,0.0,0.0,1.393,6.965,3.923
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,9.195,0.0,2.0,0.253,0.0,2.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,9.563,0.0,0.0,0.0,3.309,9.928,6.33
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,14.782,0.0,3.0,0.655,0.0,2.0,0.253,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,15.69,0.0,0.0,0.0,4.38,15.018,9.818
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,23.345,0.0,5.0,1.345,0.0,3.0,0.506,0.0,0.0,0.0,0.0,0.0,0.0,13.0,37.0,25.195,0.0,0.0,0.0,7.65,21.774,14.827
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,52.0,36.425,0.0,8.0,2.586,0.0,4.0,0.839,0.0,0.0,0.0,0.0,0.0,0.0,25.0,55.0,39.851,0.0,0.0,0.0,13.761,30.274,21.935
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,78.0,55.379,0.0,10.0,4.437,0.0,4.0,1.31,0.0,1.0,0.011,0.0,0.0,0.0,39.0,85.0,61.138,0.0,0.001,0.001,19.969,43.523,31.305
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,114.0,82.954,2.0,13.0,7.437,0.0,6.0,2.057,0.0,1.0,0.069,0.0,0.0,0.0,60.0,125.0,92.517,0.001,0.001,0.001,28.424,59.216,43.828
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,172.0,118.92,6.0,21.0,12.264,0.0,8.0,3.414,0.0,2.0,0.149,0.0,0.0,0.0,82.0,195.0,134.747,0.001,0.002,0.001,35.748,85.012,58.744
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,234.0,169.184,9.0,30.0,18.598,0.0,11.0,5.057,0.0,3.0,0.437,0.0,0.0,0.0,136.0,268.0,193.276,0.001,0.002,0.002,54.281,106.966,77.142
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,335.0,232.241,16.0,43.0,28.77,2.0,15.0,7.931,0.0,4.0,0.874,0.0,0.0,0.0,188.0,389.0,269.816,0.002,0.003,0.002,68.36,141.448,98.11
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,439.0,311.828,29.0,60.0,43.494,3.0,21.0,11.598,0.0,6.0,1.563,0.0,0.0,0.0,267.0,514.0,368.483,0.002,0.005,0.003,88.042,169.489,121.505
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,564.0,405.678,39.0,96.0,63.885,7.0,28.0,16.908,0.0,7.0,2.793,0.0,0.0,0.0,350.0,681.0,489.264,0.003,0.006,0.004,104.216,202.775,145.684
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,701.0,514.77,52.0,133.0,91.69,13.0,40.0,24.46,1.0,12.0,4.92,0.0,0.0,0.0,479.0,869.0,635.839,0.004,0.008,0.006,128.3,232.762,170.31
2020-03-17,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.011,458.0,869.0,634.276,83.0,178.0,127.862,20.0,55.0,34.333,2.0,15.0,7.908,0.0,1.0,0.011,596.0,1099.0,804.391,0.005,0.01,0.007,143.118,263.904,193.157
2020-03-18,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.011,542.0,1021.0,762.092,122.0,256.0,175.851,26.0,71.0,46.333,6.0,21.0,12.885,0.0,1.0,0.023,732.0,1355.0,997.184,0.006,0.012,0.009,157.128,290.859,214.047
2020-03-19,1.0,0.0,0.0,1.0,0.034,0.0,2.0,0.046,635.0,1198.0,888.437,170.0,340.0,236.345,36.0,90.0,62.299,11.0,30.0,20.149,0.0,1.0,0.092,895.0,1645.0,1207.322,0.008,0.015,0.011,171.324,314.891,231.092
2020-03-20,1.0,0.0,0.0,1.0,0.011,0.0,2.0,0.057,748.0,1406.0,1013.644,215.0,430.0,308.046,54.0,117.0,83.287,20.0,44.0,30.678,0.0,2.0,0.195,1062.0,1988.0,1435.851,0.009,0.018,0.013,180.947,338.722,244.611
2020-03-21,1.0,0.0,0.0,1.0,0.046,0.0,2.0,0.103,819.0,1583.0,1132.092,293.0,539.0,392.954,71.0,145.0,106.931,29.0,66.0,46.494,0.0,2.0,0.46,1232.0,2314.0,1678.931,0.011,0.02,0.015,186.586,350.303,254.204
2020-03-22,1.0,0.0,0.0,1.0,0.034,0.0,2.0,0.138,889.0,1692.0,1238.494,358.0,681.0,492.184,93.0,186.0,135.046,44.0,99.0,67.724,0.0,3.0,0.724,1425.0,2638.0,1934.172,0.013,0.023,0.017,191.676,354.701,260.066
2020-03-23,1.0,0.0,0.0,1.0,0.057,0.0,2.0,0.195,948.0,1815.0,1330.885,438.0,834.0,596.563,121.0,225.0,167.0,65.0,131.0,96.31,0.0,4.0,1.253,1610.0,2990.0,2192.011,0.014,0.026,0.019,192.162,356.974,261.641
2020-03-24,1.0,0.0,0.0,1.0,0.115,0.0,3.0,0.31,1005.0,1919.0,1402.207,503.0,986.0,707.828,138.0,285.0,202.644,89.0,180.0,135.655,0.0,6.0,2.299,1803.0,3365.0,2450.632,0.016,0.03,0.022,190.814,356.49,259.687
2020-03-25,1.0,0.0,0.0,2.0,0.126,0.0,3.0,0.437,1046.0,1976.0,1453.77,611.0,1136.0,826.69,160.0,339.0,240.517,127.0,260.0,186.092,0.0,8.0,4.023,1986.0,3689.0,2711.092,0.018,0.033,0.024,186.662,347.21,255.206
