date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.784,0.784,0.784
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.867,0.0,0.0,0.0,0.784,2.353,1.464
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.276,0.0,1.0,0.038,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.324,0.0,0.0,0.0,0.784,4.706,2.607
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.648,0.0,1.0,0.105,0.0,1.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.79,0.0,0.0,0.0,2.353,8.628,4.542
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,9.981,0.0,2.0,0.314,0.0,1.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,10.362,0.0,0.0,0.0,3.922,13.334,8.127
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,17.305,0.0,4.0,0.933,0.0,1.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,18.41,0.0,0.0,0.0,9.412,21.961,14.439
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,43.0,31.095,0.0,5.0,1.695,0.0,2.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,21.0,45.0,33.105,0.0,0.001,0.001,16.471,35.295,25.965
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,72.0,55.914,0.0,8.0,2.952,0.0,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,45.0,75.0,59.467,0.001,0.001,0.001,35.295,58.825,46.641
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,134.0,100.295,0.0,10.0,5.048,0.0,4.0,1.086,0.0,1.0,0.01,0.0,0.0,0.0,77.0,141.0,106.438,0.001,0.002,0.002,60.393,110.59,83.482
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,228.0,179.429,1.0,15.0,8.971,0.0,5.0,1.971,0.0,1.0,0.038,0.0,0.0,0.0,150.0,231.0,190.41,0.003,0.004,0.003,117.649,181.18,149.344
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,388.0,321.171,7.0,25.0,16.133,0.0,9.0,3.714,0.0,3.0,0.238,0.0,0.0,0.0,284.0,411.0,341.257,0.005,0.007,0.006,222.749,322.359,267.658
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,674.0,573.133,17.0,41.0,28.743,1.0,15.0,6.61,0.0,4.0,0.524,0.0,0.0,0.0,500.0,713.0,609.01,0.009,0.012,0.011,392.164,559.226,477.663
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.0,1212.0,1023.762,33.0,71.0,52.057,5.0,22.0,12.829,0.0,4.0,1.01,0.0,0.0,0.0,867.0,1285.0,1089.657,0.015,0.022,0.019,680.011,1007.86,854.647
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,2097.0,1822.076,66.0,121.0,92.01,11.0,34.0,23.038,0.0,6.0,1.886,0.0,0.0,0.0,1504.0,2237.0,1939.01,0.026,0.039,0.033,1179.59,1754.483,1520.769
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.0,3784.0,3255.829,123.0,208.0,163.019,24.0,57.0,41.39,0.0,8.0,3.619,0.0,0.0,0.0,2689.0,4013.0,3463.857,0.046,0.069,0.06,2107.807,3145.641,2715.188
2020-03-12,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,4515.0,6753.0,5810.61,225.0,352.0,289.41,47.0,92.0,73.514,0.0,13.0,6.371,0.0,0.0,0.0,4816.0,7188.0,6179.905,0.083,0.124,0.107,3738.195,5579.349,4796.862
2020-03-13,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.019,7977.0,11936.0,10317.086,413.0,605.0,514.019,96.0,162.0,133.038,5.0,19.0,11.105,0.0,0.0,0.0,8523.0,12700.0,10975.248,0.147,0.219,0.19,5648.297,8416.447,7273.432
2020-03-14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.019,13115.0,19774.0,17057.171,724.0,1066.0,918.771,194.0,290.0,235.962,10.0,29.0,19.676,0.0,1.0,0.019,14072.0,21101.0,18231.6,0.243,0.364,0.315,2801.062,4200.199,3629.035
