date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.892,0.892,0.892
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.091,0.0,0.0,0.0,0.89,3.559,1.86
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.934,0.0,1.0,0.05,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.008,0.0,0.0,0.0,1.772,7.087,3.551
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.397,0.0,1.0,0.157,0.0,1.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.587,0.0,0.0,0.0,2.641,11.444,6.679
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,13.793,0.0,1.0,0.372,0.0,2.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,14.264,0.0,0.0,0.0,6.106,18.319,12.444
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.0,26.273,0.0,4.0,0.826,0.0,2.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,19.0,37.0,27.314,0.0,0.0,0.0,16.359,31.858,23.518
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,63.0,48.884,0.0,6.0,1.835,0.0,2.0,0.421,0.0,0.0,0.0,0.0,0.0,0.0,37.0,65.0,51.14,0.0,0.001,0.0,31.267,54.928,43.216
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,115.0,88.62,1.0,8.0,3.694,0.0,3.0,0.851,0.0,1.0,0.017,0.0,0.0,0.0,67.0,120.0,93.182,0.001,0.001,0.001,55.131,98.741,76.674
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,204.0,161.893,3.0,15.0,6.95,0.0,5.0,1.496,0.0,1.0,0.025,0.0,0.0,0.0,134.0,212.0,170.364,0.001,0.002,0.002,106.207,168.029,135.028
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,348.0,290.711,6.0,21.0,13.273,0.0,8.0,3.174,0.0,1.0,0.066,0.0,0.0,0.0,237.0,364.0,307.223,0.002,0.003,0.003,178.326,273.885,231.164
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,618.0,507.992,14.0,39.0,24.488,1.0,12.0,6.174,0.0,2.0,0.223,0.0,0.0,0.0,432.0,644.0,538.876,0.004,0.006,0.005,302.817,451.421,377.733
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,1036.0,856.628,24.0,66.0,44.438,4.0,22.0,11.198,0.0,3.0,0.57,0.0,0.0,0.0,728.0,1100.0,912.835,0.007,0.01,0.009,464.383,701.678,582.287
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,1667.0,1392.074,53.0,105.0,79.851,10.0,33.0,20.339,0.0,5.0,1.256,0.0,0.0,0.0,1185.0,1788.0,1493.521,0.011,0.017,0.014,669.15,1009.654,843.366
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,2558.0,2154.107,101.0,188.0,142.149,20.0,53.0,36.107,0.0,6.0,2.306,0.0,0.0,0.0,1842.0,2771.0,2334.669,0.017,0.026,0.022,893.201,1343.68,1132.1
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.0,3767.0,3152.554,182.0,308.0,247.545,40.0,88.0,62.917,0.0,9.0,4.479,0.0,0.0,0.0,2793.0,4133.0,3467.496,0.026,0.039,0.033,1127.6,1668.589,1399.91
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.0,5103.0,4330.702,331.0,505.0,418.017,68.0,143.0,106.446,3.0,15.0,8.603,0.0,1.0,0.008,3975.0,5730.0,4863.777,0.037,0.054,0.046,1298.475,1871.763,1588.8
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.0,6606.0,5583.0,551.0,830.0,681.727,127.0,229.0,174.165,7.0,26.0,15.769,0.0,1.0,0.025,5237.0,7641.0,6454.686,0.049,0.072,0.061,1352.162,1972.86,1666.555
2020-03-17,1.0,1.0,0.0,1.0,0.008,0.0,1.0,0.008,5489.0,7959.0,6750.14,870.0,1275.0,1067.785,209.0,356.0,273.76,16.0,42.0,29.471,0.0,1.0,0.025,6584.0,9588.0,8121.182,0.062,0.09,0.076,1322.408,1925.766,1631.148
2020-03-18,1.0,0.0,0.0,1.0,0.05,0.0,1.0,0.058,6246.0,9112.0,7688.884,1337.0,1923.0,1598.686,311.0,528.0,411.322,33.0,70.0,53.603,0.0,1.0,0.074,7948.0,11532.0,9752.57,0.075,0.109,0.092,1233.155,1789.223,1513.128
2020-03-19,2.0,1.0,0.0,2.0,0.083,0.0,2.0,0.14,6784.0,9842.0,8302.876,1890.0,2701.0,2280.455,456.0,722.0,590.066,66.0,125.0,95.413,0.0,3.0,0.223,9211.0,13287.0,11269.033,0.087,0.125,0.106,1106.734,1596.479,1353.987
2020-03-20,2.0,0.0,0.0,2.0,0.107,0.0,2.0,0.248,6983.0,10152.0,8552.785,2534.0,3690.0,3097.091,643.0,985.0,809.05,117.0,206.0,166.463,0.0,4.0,0.554,10314.0,14895.0,12625.942,0.097,0.14,0.119,971.128,1402.364,1188.76
2020-03-21,2.0,0.0,0.0,4.0,0.231,0.0,4.0,0.479,6960.0,9974.0,8465.041,3281.0,4732.0,4005.124,836.0,1295.0,1061.405,215.0,345.0,279.777,0.0,5.0,1.025,11324.0,16288.0,13812.372,0.107,0.153,0.13,852.415,1226.113,1039.742
2020-03-22,3.0,1.0,0.0,2.0,0.273,0.0,5.0,0.752,6634.0,9565.0,8113.099,4079.0,5761.0,4946.157,1064.0,1628.0,1332.81,351.0,559.0,458.273,0.0,7.0,2.083,12182.0,17472.0,14852.421,0.115,0.164,0.14,752.835,1079.593,917.811
2020-03-23,3.0,0.0,0.0,3.0,0.38,0.0,6.0,1.132,6256.0,8950.0,7579.355,4787.0,6858.0,5844.165,1280.0,1933.0,1611.81,577.0,880.0,728.744,0.0,10.0,3.793,12971.0,18503.0,15767.868,0.122,0.174,0.148,678.096,967.282,824.367
2020-03-24,6.0,3.0,0.0,4.0,0.802,0.0,8.0,1.934,5721.0,8224.0,6964.603,5437.0,7802.0,6625.612,1503.0,2278.0,1883.843,867.0,1334.0,1110.331,1.0,14.0,7.628,13642.0,19506.0,16592.017,0.128,0.184,0.156,622.344,889.747,756.907
2020-03-25,10.0,4.0,0.0,4.0,1.025,0.0,8.0,2.959,5172.0,7509.0,6344.455,5961.0,8496.0,7223.256,1688.0,2548.0,2131.884,1332.0,1969.0,1632.091,6.0,22.0,14.364,14217.0,20377.0,17346.05,0.134,0.192,0.163,582.726,834.944,710.791
2020-03-26,10.0,0.0,0.0,6.0,1.273,1.0,10.0,4.231,4681.0,6802.0,5775.248,6255.0,8932.0,7607.331,1866.0,2804.0,2345.331,1877.0,2764.0,2302.694,15.0,42.0,27.157,14792.0,21219.0,18057.76,0.139,0.2,0.17,558.449,800.927,681.639
2020-03-27,20.0,10.0,0.0,6.0,1.793,1.0,13.0,6.025,4288.0,6265.0,5278.661,6397.0,9151.0,7768.554,2007.0,2983.0,2514.884,2529.0,3712.0,3125.405,31.0,66.0,48.165,15337.0,22048.0,18735.669,0.144,0.207,0.176,544.662,782.97,665.08
2020-03-28,28.0,8.0,0.0,8.0,2.496,4.0,21.0,8.521,3902.0,5795.0,4874.05,6379.0,9055.0,7712.083,2123.0,3130.0,2637.694,3344.0,4819.0,4086.62,52.0,106.0,82.488,15866.0,22828.0,19392.934,0.149,0.215,0.182,538.663,774.716,657.761
2020-03-29,39.0,11.0,0.0,8.0,3.174,5.0,24.0,11.694,3709.0,5431.0,4570.727,6173.0,8844.0,7473.264,2167.0,3205.0,2710.438,4242.0,6066.0,5157.455,102.0,177.0,138.496,16403.0,23578.0,20050.38,0.154,0.222,0.189,538.113,773.581,657.312
2020-03-30,42.0,3.0,0.0,13.0,3.793,7.0,29.0,15.488,3531.0,5216.0,4350.008,5838.0,8410.0,7102.033,2177.0,3229.0,2730.669,5174.0,7414.0,6292.843,171.0,283.0,229.636,16956.0,24386.0,20705.19,0.16,0.229,0.195,541.951,779.17,661.111
2020-03-31,51.0,9.0,1.0,12.0,5.273,10.0,34.0,20.76,3417.0,5018.0,4198.868,5485.0,7907.0,6650.868,2163.0,3212.0,2705.058,6077.0,8704.0,7435.413,281.0,444.0,366.645,17495.0,25169.0,21356.851,0.165,0.237,0.201,547.245,787.201,667.293
2020-04-01,57.0,6.0,0.0,12.0,5.785,17.0,46.0,26.545,3376.0,4914.0,4108.0,5035.0,7327.0,6172.132,2084.0,3123.0,2637.314,7014.0,9992.0,8532.512,448.0,685.0,569.281,18050.0,25946.0,22019.24,0.17,0.244,0.207,553.567,795.757,674.582
