date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.15,1.15,1.15
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.317,0.0,0.0,0.0,1.149,5.744,2.662
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.97,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.01,0.0,0.0,0.0,2.295,10.328,5.749
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,10.515,0.0,1.0,0.099,0.0,1.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,10.693,0.0,0.0,0.0,6.872,17.179,12.246
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,32.0,21.96,0.0,3.0,0.406,0.0,2.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,22.564,0.0,0.0,0.0,15.98,37.667,25.755
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,58.0,46.941,0.0,4.0,0.99,0.0,2.0,0.307,0.0,0.0,0.0,0.0,0.0,0.0,38.0,59.0,48.238,0.0,0.001,0.001,43.129,66.963,54.748
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,121.0,101.584,0.0,6.0,2.347,0.0,3.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,85.0,124.0,104.475,0.001,0.001,0.001,95.554,139.396,117.447
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,252.0,215.238,1.0,10.0,5.337,0.0,5.0,1.356,0.0,1.0,0.01,0.0,0.0,0.0,182.0,259.0,221.941,0.002,0.003,0.003,201.344,286.528,245.53
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,533.0,454.663,6.0,20.0,11.238,0.0,7.0,2.871,0.0,1.0,0.03,0.0,0.0,0.0,391.0,539.0,468.802,0.005,0.006,0.006,421.196,580.626,505.007
