date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.927,0.927,0.927
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.972,0.0,0.0,0.0,0.902,3.61,1.78
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.71,0.0,1.0,0.019,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.738,0.0,0.001,0.0,1.751,6.128,3.273
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,6.738,0.0,1.0,0.159,0.0,1.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,6.925,0.0,0.001,0.001,3.385,9.308,5.86
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,12.206,0.0,2.0,0.421,0.0,1.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,12.729,0.0,0.001,0.001,4.888,15.479,10.37
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,21.925,0.0,3.0,1.009,0.0,1.0,0.206,0.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,23.14,0.001,0.002,0.002,10.154,24.996,18.075
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,59.0,38.935,0.0,6.0,1.72,0.0,2.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,28.0,62.0,40.981,0.002,0.005,0.003,20.878,46.23,30.558
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,88.0,67.093,0.0,7.0,3.318,0.0,3.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,53.0,92.0,71.131,0.004,0.007,0.005,37.551,65.184,50.397
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,140.0,114.514,1.0,11.0,6.037,0.0,4.0,1.29,0.0,1.0,0.047,0.0,0.0,0.0,92.0,145.0,121.888,0.007,0.011,0.009,61.64,97.15,81.665
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,236.0,189.953,3.0,20.0,10.673,0.0,6.0,2.383,0.0,1.0,0.103,0.0,0.0,0.0,160.0,243.0,203.112,0.012,0.018,0.015,100.87,153.197,128.05
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,369.0,308.383,6.0,33.0,19.43,0.0,10.0,4.523,0.0,2.0,0.252,0.0,0.0,0.0,267.0,391.0,332.589,0.02,0.03,0.025,157.588,230.775,196.3
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,576.0,486.14,19.0,48.0,33.654,2.0,17.0,8.262,0.0,3.0,0.542,0.0,0.0,0.0,435.0,625.0,528.598,0.033,0.047,0.04,239.138,343.589,290.593
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,866.0,746.757,41.0,74.0,57.196,3.0,24.0,13.953,0.0,4.0,1.14,0.0,0.0,0.0,693.0,948.0,819.047,0.053,0.072,0.062,353.039,482.946,417.252
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,1288.0,1114.056,73.0,120.0,95.617,9.0,37.0,23.523,0.0,6.0,2.206,0.0,0.0,0.0,1046.0,1423.0,1235.402,0.079,0.108,0.094,491.315,668.395,580.279
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.0,1859.0,1618.056,127.0,189.0,155.196,19.0,57.0,38.916,0.0,8.0,4.131,0.0,0.0,0.0,1547.0,2082.0,1816.299,0.117,0.158,0.138,666.678,897.235,782.732
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.0,2630.0,2282.813,202.0,298.0,247.458,41.0,85.0,62.598,2.0,12.0,7.009,0.0,1.0,0.009,2183.0,2990.0,2599.888,0.165,0.227,0.197,859.027,1176.587,1023.071
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2617.0,3602.0,3123.159,325.0,450.0,384.907,73.0,129.0,97.841,3.0,27.0,12.757,0.0,1.0,0.028,3034.0,4171.0,3618.692,0.23,0.316,0.274,1085.218,1491.907,1294.344
2020-03-06,1.0,1.0,0.0,1.0,0.028,0.0,1.0,0.028,3469.0,4809.0,4159.308,485.0,678.0,583.542,115.0,204.0,149.393,9.0,37.0,22.467,0.0,1.0,0.037,4103.0,5674.0,4914.748,0.311,0.43,0.373,1328.252,1836.827,1591.025
2020-03-07,1.0,0.0,0.0,1.0,0.009,0.0,1.0,0.037,4466.0,6239.0,5390.822,727.0,993.0,859.832,179.0,289.0,221.393,26.0,49.0,38.449,0.0,1.0,0.075,5424.0,7519.0,6510.57,0.411,0.57,0.493,1582.8,2194.151,1899.855
2020-03-08,2.0,1.0,0.0,1.0,0.037,0.0,1.0,0.075,5647.0,7832.0,6782.841,1025.0,1408.0,1234.439,262.0,407.0,321.598,47.0,87.0,65.458,0.0,2.0,0.224,6999.0,9675.0,8404.561,0.531,0.733,0.637,1834.217,2535.251,2202.512
2020-03-09,3.0,1.0,0.0,1.0,0.121,0.0,2.0,0.196,6985.0,9583.0,8312.168,1454.0,1985.0,1730.542,372.0,539.0,453.093,78.0,136.0,107.495,0.0,3.0,0.505,8903.0,12219.0,10603.804,0.675,0.926,0.804,2088.234,2865.78,2487.046
2020-03-10,4.0,1.0,0.0,2.0,0.093,0.0,2.0,0.29,8345.0,11430.0,9928.981,1995.0,2707.0,2365.766,497.0,736.0,624.729,140.0,208.0,172.757,0.0,4.0,1.037,10981.0,15071.0,13093.271,0.832,1.142,0.992,2297.921,3153.887,2739.975
2020-03-11,4.0,0.0,0.0,2.0,0.271,0.0,3.0,0.561,9775.0,13280.0,11568.15,2625.0,3651.0,3157.336,674.0,997.0,839.813,226.0,322.0,271.71,0.0,5.0,1.907,13306.0,18198.0,15838.916,1.009,1.379,1.201,2477.676,3388.485,2949.191
2020-03-12,6.0,2.0,0.0,2.0,0.29,0.0,3.0,0.85,11119.0,15096.0,13167.336,3452.0,4747.0,4097.589,904.0,1304.0,1107.318,354.0,503.0,414.879,0.0,7.0,3.551,15830.0,21603.0,18790.673,1.2,1.637,1.424,2616.564,3570.522,3105.548
2020-03-13,7.0,1.0,0.0,3.0,0.383,0.0,4.0,1.234,12436.0,16765.0,14656.262,4354.0,5994.0,5201.738,1167.0,1649.0,1422.206,520.0,740.0,621.0,2.0,11.0,6.57,18495.0,25157.0,21907.776,1.402,1.907,1.661,2707.141,3682.344,3206.926
2020-03-14,7.0,0.0,0.0,2.0,0.467,0.0,5.0,1.701,13536.0,18188.0,15957.86,5426.0,7437.0,6447.729,1474.0,2085.0,1790.636,769.0,1051.0,909.271,3.0,19.0,11.505,21217.0,28774.0,25117.0,1.608,2.181,1.904,2745.603,3723.947,3250.636
2020-03-15,7.0,0.0,0.0,3.0,0.86,0.0,6.0,2.561,14406.0,19303.0,17034.009,6601.0,9096.0,7808.654,1817.0,2563.0,2200.897,1075.0,1472.0,1302.729,9.0,29.0,19.028,23917.0,32451.0,28365.318,1.813,2.46,2.15,2732.32,3707.536,3240.769
2020-03-16,11.0,4.0,0.0,4.0,1.121,0.0,8.0,3.682,15006.0,20264.0,17841.738,7791.0,10663.0,9255.383,2232.0,3131.0,2648.467,1536.0,2089.0,1822.234,20.0,48.0,32.598,26592.0,36179.0,31600.421,2.016,2.742,2.395,2678.692,3644.191,3183.153
2020-03-17,12.0,1.0,0.0,6.0,1.467,1.0,13.0,5.15,15477.0,20819.0,18379.935,9073.0,12377.0,10720.944,2619.0,3670.0,3133.037,2067.0,2872.0,2498.953,35.0,74.0,54.168,29284.0,39805.0,34787.037,2.22,3.017,2.637,2597.966,3531.193,3086.428
2020-03-18,13.0,1.0,0.0,7.0,2.093,2.0,15.0,7.243,15662.0,21280.0,18632.056,10296.0,13903.0,12170.645,3048.0,4215.0,3627.897,2779.0,3847.0,3354.477,69.0,110.0,87.43,31859.0,43354.0,37872.505,2.415,3.286,2.871,2487.779,3384.742,2957.399
2020-03-19,15.0,2.0,0.0,9.0,2.327,3.0,20.0,9.57,15615.0,21181.0,18604.056,11438.0,15455.0,13543.159,3482.0,4768.0,4134.776,3709.0,5095.0,4401.112,106.0,167.0,138.495,34361.0,46652.0,40821.598,2.605,3.536,3.094,2360.2,3204.852,2804.003
2020-03-20,17.0,2.0,0.0,8.0,3.065,5.0,23.0,12.636,15463.0,20861.0,18332.037,12434.0,16874.0,14799.009,3884.0,5332.0,4630.57,4746.0,6519.0,5641.907,169.0,255.0,216.449,36717.0,49838.0,43619.972,2.783,3.778,3.306,2217.082,3009.725,2634.467
2020-03-21,22.0,5.0,0.0,10.0,4.514,8.0,28.0,17.15,15000.0,20328.0,17864.542,13391.0,18145.0,15880.785,4294.0,5848.0,5096.336,5944.0,8176.0,7089.963,270.0,394.0,330.131,38926.0,52879.0,46261.757,2.951,4.008,3.507,2065.578,2807.131,2456.066
2020-03-22,24.0,2.0,0.0,9.0,4.607,11.0,33.0,21.757,14396.0,19711.0,17202.617,14142.0,19104.0,16757.43,4666.0,6318.0,5524.43,7308.0,10056.0,8741.346,396.0,579.0,488.897,40948.0,55767.0,48714.72,3.104,4.227,3.692,1909.672,2601.522,2273.289
2020-03-23,32.0,8.0,1.0,16.0,6.935,17.0,44.0,28.692,13736.0,18814.0,16409.15,14689.0,19790.0,17399.206,4986.0,6691.0,5895.514,8819.0,12157.0,10573.953,613.0,858.0,711.953,42855.0,58300.0,50989.776,3.248,4.419,3.865,1756.55,2389.707,2091.298
2020-03-24,37.0,5.0,4.0,16.0,8.533,21.0,54.0,37.224,12881.0,17774.0,15502.925,15029.0,20280.0,17801.598,5259.0,7048.0,6200.869,10519.0,14412.0,12544.645,870.0,1208.0,1019.308,44566.0,60722.0,53069.346,3.378,4.603,4.023,1605.526,2187.129,1912.83
2020-03-25,40.0,3.0,4.0,16.0,10.159,31.0,63.0,47.383,12165.0,16628.0,14534.757,15170.0,20513.0,17949.495,5426.0,7298.0,6434.514,12250.0,16757.0,14623.0,1190.0,1673.0,1428.159,46201.0,62869.0,54969.925,3.502,4.765,4.167,1463.785,1990.132,1741.211
2020-03-26,48.0,8.0,5.0,20.0,11.991,41.0,76.0,59.374,11299.0,15518.0,13528.85,15049.0,20327.0,17865.813,5568.0,7443.0,6589.271,14103.0,19226.0,16751.738,1627.0,2291.0,1959.804,47646.0,64804.0,56695.477,3.611,4.912,4.297,1326.865,1802.436,1578.192
2020-03-27,58.0,10.0,4.0,23.0,13.654,50.0,98.0,73.028,10514.0,14284.0,12509.243,14753.0,20130.0,17580.028,5619.0,7520.0,6671.112,15893.0,21627.0,18858.991,2229.0,3037.0,2640.374,49008.0,66598.0,58259.748,3.715,5.048,4.416,1198.506,1628.471,1425.002
2020-03-28,93.0,35.0,5.0,24.0,15.411,58.0,117.0,88.439,9682.0,13116.0,11501.944,14347.0,19515.0,17100.318,5623.0,7543.0,6676.019,17636.0,23957.0,20904.411,2913.0,4030.0,3488.953,50201.0,68161.0,59671.645,3.805,5.166,4.523,1079.328,1463.762,1282.345
2020-03-29,104.0,11.0,8.0,30.0,17.944,75.0,133.0,106.383,8899.0,12004.0,10514.738,13815.0,18750.0,16463.972,5505.0,7442.0,6606.449,19260.0,26208.0,22822.159,3774.0,5204.0,4526.467,51253.0,69608.0,60933.785,3.885,5.276,4.619,968.222,1313.368,1150.294
2020-03-30,106.0,2.0,8.0,30.0,19.393,94.0,155.0,125.776,8101.0,10956.0,9563.467,13110.0,17992.0,15704.822,5381.0,7256.0,6467.065,20790.0,28128.0,24556.617,4790.0,6611.0,5771.729,52172.0,70943.0,62063.701,3.955,5.377,4.704,866.084,1175.909,1028.948
2020-03-31,138.0,32.0,10.0,35.0,21.869,115.0,177.0,147.645,7383.0,9920.0,8672.28,12391.0,17121.0,14854.757,5190.0,7041.0,6274.178,22052.0,29827.0,26035.972,6014.0,8255.0,7237.028,53030.0,72156.0,63074.215,4.02,5.469,4.781,773.052,1050.681,918.093
2020-04-01,169.0,31.0,9.0,38.0,22.738,134.0,209.0,170.383,6639.0,8928.0,7823.346,11704.0,16006.0,13942.776,4996.0,6858.0,6038.598,23033.0,31134.0,27230.804,7431.0,10223.0,8929.131,53803.0,73149.0,63964.654,4.078,5.545,4.848,688.516,934.305,817.149
