date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.991,0.991,0.991
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.927,0.0,0.0,0.0,0.962,3.847,1.854
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.729,0.0,1.0,0.021,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.76,0.0,0.001,0.0,1.858,6.503,3.493
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.427,0.0,1.0,0.115,0.0,1.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,7.573,0.0,0.001,0.001,3.568,11.597,6.755
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,13.802,0.0,2.0,0.333,0.0,1.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,14.219,0.001,0.002,0.001,6.81,18.727,12.104
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,24.938,0.0,3.0,0.792,0.0,1.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.0,25.917,0.002,0.004,0.003,12.907,32.267,20.907
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,44.906,0.0,6.0,1.688,0.0,2.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,32.0,64.0,47.083,0.003,0.006,0.005,24.28,48.561,35.725
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,103.0,79.615,1.0,7.0,3.302,0.0,4.0,0.906,0.0,0.0,0.0,0.0,0.0,0.0,63.0,107.0,83.823,0.006,0.01,0.008,44.607,75.761,59.351
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,169.0,134.427,1.0,13.0,6.562,0.0,5.0,1.812,0.0,1.0,0.021,0.0,0.0,0.0,115.0,175.0,142.823,0.011,0.017,0.014,75.357,114.674,93.589
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,276.0,222.792,6.0,26.0,12.406,0.0,11.0,3.354,0.0,1.0,0.062,0.0,0.0,0.0,198.0,290.0,238.615,0.019,0.028,0.023,119.065,174.388,143.488
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,461.0,354.094,10.0,37.0,21.552,0.0,14.0,5.833,0.0,1.0,0.25,0.0,0.0,0.0,311.0,486.0,381.729,0.03,0.048,0.037,170.171,265.926,208.872
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,675.0,539.031,21.0,56.0,37.927,2.0,18.0,9.719,0.0,3.0,0.5,0.0,0.0,0.0,475.0,728.0,587.177,0.046,0.071,0.057,234.54,359.464,289.93
