date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.218,1.218,1.218
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.495,0.0,0.001,0.0,1.217,4.867,3.036
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.624,0.0,1.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.667,0.001,0.002,0.001,3.645,10.935,6.885
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,12.602,0.0,2.0,0.14,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,12.753,0.001,0.004,0.002,9.689,25.433,15.445
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,38.0,27.333,0.0,3.0,0.409,0.0,1.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,27.785,0.003,0.007,0.005,22.865,45.73,33.437
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,77.0,59.419,0.0,4.0,1.194,0.0,2.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,46.0,78.0,60.849,0.008,0.013,0.01,54.661,92.686,72.307
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,158.0,128.398,0.0,7.0,2.763,0.0,3.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,104.0,160.0,131.785,0.018,0.028,0.023,120.53,185.431,152.732
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,338.0,277.516,1.0,14.0,6.484,0.0,7.0,1.624,0.0,0.0,0.0,0.0,0.0,0.0,231.0,342.0,285.624,0.04,0.059,0.049,255.058,377.618,315.37
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,707.0,582.538,7.0,25.0,13.839,0.0,11.0,3.559,0.0,2.0,0.054,0.0,0.0,0.0,501.0,725.0,599.989,0.086,0.125,0.103,505.224,731.113,605.048
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,1396.0,1167.366,19.0,43.0,31.151,1.0,16.0,7.495,0.0,2.0,0.086,0.0,0.0,0.0,1026.0,1436.0,1206.097,0.177,0.247,0.208,881.663,1233.985,1036.424
