date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.333,1.333,1.333
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.613,0.0,0.0,0.0,1.332,6.662,3.482
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.084,0.0,1.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.101,0.0,0.001,0.0,3.996,14.652,8.126
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,13.874,0.0,1.0,0.126,0.0,1.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,14.034,0.0,0.001,0.001,11.979,25.289,18.679
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,44.0,31.882,0.0,2.0,0.412,0.0,2.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,24.0,44.0,32.454,0.001,0.002,0.002,31.897,58.478,43.133
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,92.0,73.311,0.0,4.0,1.218,0.0,2.0,0.361,0.0,0.0,0.0,0.0,0.0,0.0,60.0,93.0,74.891,0.003,0.005,0.004,79.512,123.243,99.245
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,201.0,172.017,0.0,8.0,2.807,0.0,5.0,0.739,0.0,0.0,0.0,0.0,0.0,0.0,147.0,203.0,175.563,0.007,0.01,0.009,193.682,267.466,231.316
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,467.0,396.563,1.0,14.0,7.017,0.0,6.0,1.723,0.0,1.0,0.008,0.0,0.0,0.0,344.0,476.0,405.311,0.017,0.023,0.02,448.1,620.045,527.964
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,1041.0,911.824,8.0,35.0,16.689,0.0,9.0,4.025,0.0,1.0,0.025,0.0,0.0,0.0,804.0,1064.0,932.563,0.04,0.052,0.046,1024.145,1355.336,1187.91
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.0,2371.0,2071.647,25.0,65.0,38.958,3.0,17.0,9.487,0.0,1.0,0.059,0.0,0.0,0.0,1844.0,2428.0,2120.151,0.091,0.119,0.104,2249.843,2962.375,2586.773
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3985.0,5175.0,4595.277,66.0,117.0,89.966,12.0,34.0,21.639,0.0,2.0,0.319,0.0,0.0,0.0,4084.0,5305.0,4707.202,0.201,0.261,0.232,4597.277,5971.732,5298.803
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8479.0,11053.0,9743.672,166.0,257.0,206.487,33.0,72.0,51.521,0.0,3.0,0.681,0.0,0.0,0.0,8716.0,11341.0,10002.361,0.429,0.558,0.492,8506.169,11067.974,9761.562
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16743.0,21783.0,19169.328,393.0,559.0,474.571,93.0,145.0,117.529,0.0,7.0,1.731,0.0,0.0,0.0,17243.0,22439.0,19763.16,0.848,1.104,0.972,13330.285,17347.229,15278.58
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29523.0,38307.0,33734.529,908.0,1224.0,1049.378,209.0,315.0,261.193,1.0,10.0,4.387,0.0,0.0,0.0,30666.0,39765.0,35049.487,1.509,1.956,1.724,16867.067,21871.745,19278.095
