date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.342,1.342,1.342
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.929,0.0,0.0,0.0,1.333,6.664,3.903
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,7.327,0.0,1.0,0.02,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,7.357,0.0,0.001,0.0,5.274,15.822,9.7
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,16.918,0.0,1.0,0.102,0.0,1.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,17.061,0.0,0.001,0.001,11.662,31.097,22.107
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,57.0,39.112,0.0,2.0,0.429,0.0,2.0,0.133,0.0,0.0,0.0,0.0,0.0,0.0,23.0,59.0,39.673,0.001,0.003,0.002,28.98,74.339,49.988
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,120.0,87.663,0.0,7.0,1.449,0.0,2.0,0.316,0.0,0.0,0.0,0.0,0.0,0.0,60.0,128.0,89.429,0.003,0.006,0.004,72.323,154.289,107.796
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,268.0,191.204,1.0,10.0,3.541,0.0,4.0,0.949,0.0,0.0,0.0,0.0,0.0,0.0,139.0,280.0,195.694,0.006,0.013,0.009,156.417,315.085,220.215
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,560.0,403.622,3.0,19.0,8.673,0.0,6.0,2.224,0.0,0.0,0.0,0.0,0.0,0.0,299.0,583.0,414.52,0.014,0.027,0.019,303.375,591.531,420.586
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,1102.0,813.714,8.0,32.0,19.398,0.0,10.0,5.02,0.0,1.0,0.02,0.0,0.0,0.0,640.0,1137.0,838.153,0.03,0.053,0.039,559.112,993.298,732.221
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,2046.0,1523.51,27.0,59.0,42.643,4.0,19.0,11.112,0.0,1.0,0.082,0.0,0.0,0.0,1235.0,2118.0,1577.347,0.057,0.098,0.073,878.584,1506.753,1122.13
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0,3443.0,2582.939,65.0,125.0,92.367,14.0,35.0,23.469,0.0,2.0,0.286,0.0,0.0,0.0,2143.0,3600.0,2699.061,0.1,0.167,0.125,1168.795,1963.444,1472.071
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3126.0,5171.0,3932.092,130.0,268.0,194.0,32.0,76.0,48.918,0.0,3.0,1.01,0.0,0.0,0.0,3318.0,5498.0,4176.02,0.154,0.255,0.194,1309.428,2169.751,1648.04
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4260.0,7011.0,5347.929,279.0,508.0,380.622,67.0,134.0,95.102,0.0,6.0,2.378,0.0,0.0,0.0,4645.0,7631.0,5826.031,0.216,0.354,0.271,1262.867,2074.691,1583.962
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5255.0,8519.0,6538.48,523.0,908.0,694.051,123.0,236.0,174.582,1.0,12.0,5.847,0.0,0.0,0.0,5942.0,9656.0,7412.959,0.276,0.448,0.344,1072.407,1742.706,1337.884
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5831.0,9416.0,7258.01,911.0,1544.0,1181.031,226.0,400.0,296.408,4.0,24.0,12.724,0.0,0.0,0.0,7004.0,11384.0,8748.173,0.325,0.529,0.406,818.615,1330.541,1022.47
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5960.0,9554.0,7426.306,1425.0,2415.0,1844.918,366.0,624.0,466.755,18.0,45.0,27.969,0.0,0.0,0.0,7800.0,12637.0,9765.949,0.362,0.587,0.454,582.44,943.627,729.24
2020-03-13,0.0,0.0,0.0,1.0,0.041,0.0,1.0,0.041,5680.0,9024.0,7088.612,2094.0,3542.0,2667.194,539.0,904.0,678.245,31.0,85.0,60.939,0.0,0.0,0.0,8424.0,13546.0,10494.99,0.391,0.629,0.487,400.462,643.953,498.914
2020-03-14,1.0,1.0,0.0,1.0,0.061,0.0,1.0,0.102,5104.0,8129.0,6369.633,2867.0,4659.0,3577.092,733.0,1222.0,920.153,84.0,159.0,125.265,0.0,1.0,0.061,8838.0,14170.0,10992.204,0.41,0.658,0.51,269.11,431.435,334.702
2020-03-15,1.0,0.0,0.0,1.0,0.102,0.0,2.0,0.204,4341.0,6966.0,5431.551,3590.0,5802.0,4479.051,940.0,1548.0,1173.388,179.0,310.0,241.98,0.0,3.0,0.255,9109.0,14624.0,11326.224,0.423,0.679,0.526,180.586,289.902,224.538
2020-03-16,1.0,0.0,0.0,2.0,0.235,0.0,2.0,0.439,3570.0,5678.0,4426.806,4229.0,6790.0,5266.398,1113.0,1849.0,1416.571,345.0,582.0,440.531,0.0,4.0,0.592,9298.0,14900.0,11550.898,0.432,0.692,0.536,123.401,197.758,153.31
2020-03-17,2.0,1.0,0.0,3.0,0.51,0.0,4.0,0.949,2756.0,4492.0,3472.551,4655.0,7466.0,5844.357,1273.0,2137.0,1630.735,583.0,995.0,753.51,0.0,5.0,1.194,9424.0,15091.0,11702.347,0.438,0.701,0.543,87.191,139.627,108.27
