date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.115,2.115,2.115
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.326,0.0,0.0,0.0,1.92,11.521,6.386
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,10.068,0.0,1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,10.091,0.0,0.0,0.0,10.399,25.998,17.49
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,40.0,28.212,0.0,1.0,0.159,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,19.0,40.0,28.402,0.0,0.001,0.0,29.554,62.219,44.178
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,92.0,71.023,0.0,3.0,0.652,0.0,1.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,58.0,92.0,71.826,0.001,0.001,0.001,80.532,127.74,99.729
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,195.0,167.326,0.0,6.0,1.97,0.0,3.0,0.492,0.0,0.0,0.0,0.0,0.0,0.0,134.0,198.0,169.788,0.002,0.003,0.002,165.261,244.191,209.397
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,426.0,372.788,1.0,13.0,5.614,0.0,5.0,1.394,0.0,0.0,0.0,0.0,0.0,0.0,316.0,435.0,379.795,0.004,0.006,0.005,344.599,474.369,414.168
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,890.0,776.523,7.0,23.0,14.886,0.0,11.0,3.773,0.0,1.0,0.008,0.0,0.0,0.0,674.0,906.0,795.189,0.009,0.012,0.01,647.274,870.075,763.658
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.0,1716.0,1523.22,19.0,47.0,35.061,2.0,18.0,8.765,0.0,1.0,0.038,0.0,0.0,0.0,1359.0,1761.0,1567.083,0.018,0.023,0.02,1145.236,1484.004,1320.589
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2393.0,3111.0,2777.492,60.0,103.0,82.992,9.0,33.0,20.856,0.0,2.0,0.174,0.0,0.0,0.0,2483.0,3233.0,2881.515,0.032,0.042,0.038,1830.426,2383.313,2124.205
2020-02-29,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.008,4196.0,5354.0,4781.53,143.0,213.0,179.803,26.0,60.0,44.826,0.0,3.0,0.5,0.0,0.0,0.0,4396.0,5598.0,5006.659,0.057,0.073,0.065,2827.424,3600.527,3220.188
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,6791.0,8594.0,7760.803,288.0,445.0,366.894,65.0,123.0,92.909,0.0,5.0,1.439,0.0,0.0,0.0,7172.0,9084.0,8222.045,0.093,0.118,0.107,4015.976,5086.604,4603.951
2020-03-02,0.0,0.0,0.0,1.0,0.015,0.0,1.0,0.023,10434.0,13202.0,11940.144,596.0,838.0,708.939,134.0,218.0,177.72,0.0,10.0,4.212,0.0,0.0,0.0,11226.0,14165.0,12831.015,0.146,0.185,0.167,5463.245,6893.538,6244.341
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023,15304.0,19328.0,17426.333,1111.0,1496.0,1303.439,266.0,396.0,327.121,4.0,18.0,10.0,0.0,0.0,0.0,16763.0,21101.0,19066.894,0.218,0.275,0.248,7081.125,8913.608,8054.349
2020-03-04,0.0,0.0,0.0,1.0,0.015,0.0,1.0,0.038,21465.0,26839.0,24259.47,1966.0,2627.0,2266.144,485.0,678.0,573.902,12.0,40.0,23.932,0.0,0.0,0.0,23986.0,29934.0,27123.447,0.313,0.39,0.353,8787.644,10966.786,9937.096
2020-03-05,0.0,0.0,0.0,1.0,0.008,0.0,1.0,0.045,28681.0,35598.0,32320.447,3302.0,4197.0,3740.341,812.0,1096.0,950.136,37.0,76.0,53.97,0.0,1.0,0.008,32848.0,40796.0,37064.902,0.428,0.532,0.483,10433.094,12957.516,11772.452
2020-03-06,0.0,0.0,0.0,2.0,0.068,0.0,2.0,0.114,36547.0,45592.0,41326.742,5168.0,6595.0,5899.417,1260.0,1747.0,1502.326,85.0,152.0,115.136,0.0,1.0,0.038,43174.0,53846.0,48843.659,0.563,0.702,0.636,11888.48,14826.868,13449.678
2020-03-07,1.0,1.0,0.0,2.0,0.129,0.0,3.0,0.242,44998.0,56190.0,50880.652,7846.0,9846.0,8892.447,1905.0,2650.0,2276.606,184.0,287.0,233.833,0.0,2.0,0.098,55074.0,68679.0,62283.636,0.718,0.895,0.811,13153.635,16402.755,14875.529
2020-03-08,1.0,0.0,0.0,2.0,0.273,0.0,3.0,0.515,53667.0,66969.0,60534.712,11439.0,14187.0,12852.773,2781.0,3817.0,3317.932,378.0,543.0,452.576,0.0,2.0,0.288,68299.0,85149.0,77158.28,0.89,1.109,1.005,14160.884,17654.298,15997.677
2020-03-09,2.0,1.0,0.0,3.0,0.492,0.0,4.0,1.008,61824.0,77170.0,69805.758,15939.0,19684.0,17839.288,3912.0,5271.0,4660.0,684.0,985.0,835.091,0.0,4.0,0.788,82433.0,102698.0,93140.924,1.074,1.338,1.214,14856.617,18508.952,16786.531
2020-03-10,2.0,0.0,0.0,3.0,0.742,0.0,6.0,1.75,69159.0,86548.0,78291.727,21264.0,26312.0,23872.735,5373.0,7026.0,6307.848,1252.0,1677.0,1467.045,0.0,6.0,2.182,97206.0,121285.0,109941.538,1.266,1.58,1.432,15255.463,19034.292,17254.007
2020-03-11,3.0,1.0,0.0,5.0,1.273,0.0,8.0,3.023,75887.0,94725.0,85629.879,27523.0,34024.0,30848.508,7015.0,9181.0,8260.629,2094.0,2798.0,2468.136,1.0,13.0,5.303,112711.0,140401.0,127212.455,1.469,1.829,1.657,15436.864,19229.446,17423.025
2020-03-12,6.0,3.0,0.0,7.0,1.97,0.0,12.0,4.992,81140.0,101135.0,91519.121,34339.0,42489.0,38627.303,9040.0,11663.0,10509.97,3504.0,4431.0,3970.053,5.0,22.0,12.023,128141.0,159577.0,144638.47,1.67,2.079,1.884,15356.875,19124.002,17334.038
2020-03-13,9.0,3.0,0.0,10.0,3.5,2.0,16.0,8.492,84670.0,106084.0,95883.212,41746.0,51709.0,46910.265,11321.0,14319.0,13013.947,5411.0,6820.0,6140.409,13.0,41.0,26.659,143270.0,178695.0,161974.492,1.867,2.328,2.11,15070.468,18798.0,17038.744
2020-03-14,13.0,4.0,0.0,11.0,5.083,5.0,23.0,13.576,87138.0,109064.0,98676.015,49229.0,61204.0,55415.765,13714.0,17322.0,15715.182,8097.0,10094.0,9144.788,39.0,78.0,55.447,158407.0,197477.0,179007.197,2.064,2.573,2.332,14678.981,18299.784,16587.708
2020-03-15,15.0,2.0,0.0,20.0,7.576,11.0,32.0,21.152,88311.0,110391.0,100003.879,56683.0,70545.0,63797.538,16198.0,20489.0,18534.598,11670.0,14493.0,13149.773,72.0,153.0,111.712,173016.0,215814.0,195597.5,2.254,2.812,2.548,14179.373,17686.988,16030.13
2020-03-16,20.0,5.0,2.0,19.0,10.311,17.0,48.0,31.462,88127.0,110198.0,100028.083,63716.0,79382.0,71697.205,18746.0,23587.0,21385.879,16289.0,20192.0,18299.803,169.0,270.0,216.356,187067.0,233409.0,211627.326,2.437,3.041,2.757,13618.7,16991.493,15406.536
2020-03-17,23.0,3.0,5.0,25.0,14.311,27.0,64.0,45.773,87302.0,108933.0,98943.818,69759.0,87251.0,78809.477,21219.0,26643.0,24182.258,21971.0,27178.0,24691.106,315.0,479.0,398.061,200614.0,250366.0,227024.72,2.614,3.262,2.958,13034.153,16266.998,14750.921
2020-03-18,33.0,10.0,9.0,32.0,20.258,38.0,92.0,66.03,85515.0,106859.0,96965.72,75195.0,94182.0,84904.583,23568.0,29610.0,26823.962,28714.0,35477.0,32351.152,576.0,843.0,706.826,213603.0,266873.0,241752.242,2.783,3.477,3.15,12449.521,15552.373,14089.261
2020-03-19,53.0,20.0,8.0,42.0,26.205,57.0,116.0,92.235,83033.0,104327.0,94281.765,79595.0,99287.0,89818.53,25748.0,32285.0,29249.924,36580.0,45445.0,41262.417,1027.0,1385.0,1199.833,226022.0,282549.0,255812.47,2.945,3.681,3.333,11876.083,14845.103,13441.743
2020-03-20,93.0,40.0,19.0,51.0,32.75,90.0,153.0,124.985,80558.0,101201.0,91157.402,82772.0,103029.0,93420.515,27589.0,34575.0,31371.136,45343.0,56544.0,51293.045,1705.0,2220.0,1965.144,238030.0,297513.0,269207.242,3.101,3.876,3.507,11334.144,14168.711,12820.345
2020-03-21,122.0,29.0,24.0,60.0,40.167,126.0,201.0,165.152,77680.0,97541.0,87742.591,84703.0,105588.0,95741.636,29086.0,36632.0,33138.061,55016.0,68711.0,62253.606,2733.0,3511.0,3105.008,249275.0,311881.0,281980.902,3.248,4.063,3.674,10812.687,13531.903,12233.595
2020-03-22,143.0,21.0,25.0,69.0,49.129,164.0,253.0,214.28,74515.0,93533.0,84212.962,85661.0,106819.0,96811.674,30271.0,38204.0,34529.758,65192.0,81592.0,73880.341,4159.0,5272.0,4731.326,259918.0,325246.0,294166.061,3.386,4.238,3.833,10320.676,12925.038,11685.08
2020-03-23,199.0,56.0,44.0,81.0,59.265,220.0,332.0,273.545,71192.0,89530.0,80626.22,85566.0,106799.0,96795.939,31236.0,39417.0,35529.492,75885.0,94808.0,85840.455,6185.0,7777.0,6992.78,270142.0,338102.0,305784.886,3.52,4.405,3.984,9868.156,12361.568,11173.784
2020-03-24,293.0,94.0,52.0,97.0,69.667,277.0,407.0,343.212,68064.0,85687.0,77119.008,84663.0,105499.0,95794.152,31867.0,40137.0,36136.076,86467.0,108266.0,97806.341,8920.0,11090.0,10019.273,280050.0,350391.0,316874.848,3.649,4.565,4.129,9450.277,11839.439,10698.22
