date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.117,1.117,1.117
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.391,0.0,1.0,0.009,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.409,0.0,0.0,0.0,1.081,5.406,2.605
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.091,0.0,1.0,0.027,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.127,0.0,0.001,0.0,2.082,9.369,5.338
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,10.545,0.0,1.0,0.118,0.0,1.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,10.727,0.0,0.001,0.001,4.98,15.935,10.684
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,21.645,0.0,2.0,0.409,0.0,2.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,22.236,0.001,0.003,0.002,12.299,32.166,21.037
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,42.418,0.0,3.0,1.082,0.0,2.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,30.0,61.0,43.836,0.003,0.006,0.004,26.753,54.398,39.092
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,107.0,80.145,0.0,5.0,2.182,0.0,3.0,0.618,0.0,0.0,0.0,0.0,0.0,0.0,64.0,109.0,82.945,0.006,0.01,0.008,53.35,90.861,69.142
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,208.0,145.5,1.0,11.0,4.818,0.0,5.0,1.409,0.0,0.0,0.0,0.0,0.0,0.0,116.0,213.0,151.727,0.011,0.02,0.014,89.593,164.512,117.187
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,347.0,256.0,3.0,18.0,10.218,0.0,8.0,2.636,0.0,1.0,0.018,0.0,0.0,0.0,216.0,363.0,268.873,0.02,0.034,0.025,153.163,257.399,190.654
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,568.0,434.318,8.0,31.0,20.245,1.0,13.0,5.227,0.0,2.0,0.1,0.0,0.0,0.0,381.0,597.0,459.891,0.036,0.056,0.043,245.729,385.04,296.61
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,871.0,705.9,20.0,56.0,38.782,2.0,19.0,9.864,0.0,2.0,0.3,0.0,0.0,0.0,620.0,933.0,754.845,0.058,0.087,0.071,360.344,542.26,438.716
