date,obs_total_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.911,1.911,1.911
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.405,0.0,0.0,0.0,1.823,9.113,6.207
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,10.324,0.0,1.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,10.351,0.0,0.001,0.0,10.284,29.137,17.742
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,27.901,0.0,1.0,0.153,0.0,1.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,28.108,0.001,0.001,0.001,30.115,61.815,44.551
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,89.0,72.847,0.0,3.0,0.541,0.0,1.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,56.0,90.0,73.541,0.002,0.003,0.003,80.498,129.372,105.712
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,210.0,177.018,0.0,5.0,1.73,0.0,3.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,151.0,212.0,179.297,0.006,0.008,0.007,192.626,270.442,228.724
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,466.0,401.279,1.0,10.0,5.153,0.0,4.0,1.495,0.0,0.0,0.0,0.0,0.0,0.0,336.0,474.0,407.928,0.012,0.018,0.015,371.673,524.324,451.237
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,1001.0,840.604,7.0,23.0,14.171,0.0,9.0,3.793,0.0,0.0,0.0,0.0,0.0,0.0,692.0,1021.0,858.568,0.026,0.038,0.032,648.354,956.603,804.416
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,1912.0,1613.333,24.0,54.0,37.378,3.0,18.0,9.802,0.0,1.0,0.036,0.0,0.0,0.0,1354.0,1964.0,1660.55,0.05,0.073,0.062,1050.511,1523.784,1288.349
