date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.143,1.143,1.143
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.156,0.0,0.0,0.0,1.11,4.442,2.394
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.734,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.743,0.0,0.001,0.0,2.142,8.569,5.08
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,9.734,0.0,1.0,0.147,0.0,1.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,9.908,0.0,0.002,0.001,4.098,18.441,10.151
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,19.899,0.0,2.0,0.45,0.0,1.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,20.44,0.001,0.003,0.002,10.676,31.056,19.838
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,59.0,39.771,0.0,3.0,0.927,0.0,2.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,26.0,59.0,40.927,0.002,0.005,0.004,23.639,53.643,37.211
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,107.0,76.606,0.0,5.0,2.018,0.0,3.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,58.0,110.0,79.083,0.005,0.01,0.007,48.793,92.539,66.529
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,200.0,140.092,0.0,9.0,4.459,0.0,6.0,1.229,0.0,0.0,0.0,0.0,0.0,0.0,109.0,209.0,145.78,0.009,0.018,0.013,83.708,160.505,111.954
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,327.0,246.339,1.0,16.0,9.532,0.0,9.0,2.266,0.0,1.0,0.037,0.0,0.0,0.0,195.0,341.0,258.174,0.017,0.03,0.022,134.773,235.68,178.435
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,539.0,410.615,9.0,30.0,18.963,0.0,12.0,4.697,0.0,1.0,0.11,0.0,0.0,0.0,328.0,571.0,434.385,0.029,0.05,0.038,201.071,350.034,266.287
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,863.0,654.798,23.0,53.0,35.826,2.0,21.0,9.083,0.0,2.0,0.266,0.0,0.0,0.0,544.0,918.0,699.972,0.047,0.08,0.061,291.575,492.032,375.173
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,1282.0,990.963,48.0,101.0,65.917,7.0,34.0,16.972,0.0,3.0,0.56,0.0,0.0,0.0,828.0,1391.0,1074.413,0.072,0.121,0.093,382.773,643.041,496.687
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,1848.0,1418.917,85.0,172.0,116.798,17.0,55.0,30.092,0.0,5.0,1.376,0.0,0.0,0.0,1228.0,2045.0,1567.183,0.107,0.178,0.136,483.591,805.329,617.163
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.0,2487.0,1936.394,153.0,275.0,197.578,31.0,90.0,50.358,0.0,9.0,2.954,0.0,0.0,0.0,1731.0,2821.0,2187.284,0.151,0.245,0.19,574.453,936.183,725.877
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,3189.0,2504.477,233.0,439.0,319.495,51.0,133.0,82.294,2.0,13.0,6.073,0.0,0.0,0.0,2311.0,3740.0,2912.339,0.201,0.325,0.253,640.587,1036.691,807.272
2020-03-10,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,2456.0,3927.0,3086.532,381.0,644.0,492.101,94.0,176.0,128.927,5.0,22.0,12.248,0.0,0.0,0.0,2956.0,4762.0,3719.807,0.257,0.414,0.324,679.783,1095.104,855.434
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,2902.0,4598.0,3633.789,549.0,976.0,729.752,133.0,242.0,189.78,11.0,36.0,23.229,0.0,1.0,0.009,3631.0,5847.0,4576.56,0.316,0.509,0.398,689.651,1110.544,869.243
2020-03-12,1.0,1.0,0.0,1.0,0.018,0.0,1.0,0.028,3337.0,5166.0,4098.211,794.0,1395.0,1035.606,215.0,336.0,271.688,30.0,59.0,42.963,0.0,1.0,0.028,4383.0,6940.0,5448.495,0.381,0.604,0.474,686.074,1086.323,852.853
2020-03-13,1.0,0.0,0.0,2.0,0.101,0.0,2.0,0.128,3623.0,5606.0,4447.569,1075.0,1887.0,1406.422,296.0,473.0,371.862,57.0,105.0,76.532,0.0,1.0,0.064,5059.0,8049.0,6302.45,0.44,0.7,0.548,652.745,1038.535,813.175
2020-03-14,1.0,0.0,0.0,2.0,0.11,0.0,2.0,0.239,3784.0,5971.0,4662.367,1427.0,2397.0,1833.486,383.0,609.0,488.624,94.0,176.0,130.321,0.0,2.0,0.239,5721.0,9120.0,7115.037,0.498,0.793,0.619,610.008,972.43,758.623
2020-03-15,1.0,0.0,0.0,1.0,0.138,0.0,2.0,0.376,3881.0,6100.0,4737.881,1795.0,2984.0,2297.706,490.0,764.0,621.798,171.0,282.0,213.853,0.0,3.0,0.477,6373.0,10099.0,7871.716,0.554,0.879,0.685,564.292,894.119,696.952
2020-03-16,1.0,0.0,0.0,2.0,0.239,0.0,3.0,0.615,3844.0,6028.0,4686.743,2199.0,3577.0,2773.954,599.0,951.0,768.477,258.0,448.0,337.505,0.0,3.0,1.22,6954.0,10981.0,8567.899,0.605,0.955,0.745,514.965,812.954,634.389
2020-03-17,1.0,0.0,0.0,2.0,0.303,0.0,3.0,0.917,3704.0,5781.0,4535.725,2572.0,4131.0,3229.587,724.0,1140.0,916.761,375.0,703.0,513.321,0.0,7.0,2.991,7455.0,11739.0,9198.385,0.649,1.021,0.8,465.861,733.576,574.772
2020-03-18,1.0,0.0,0.0,2.0,0.385,0.0,4.0,1.303,3489.0,5468.0,4308.67,2922.0,4658.0,3639.789,851.0,1308.0,1061.596,569.0,1020.0,751.872,2.0,12.0,5.982,7885.0,12453.0,9767.908,0.686,1.083,0.85,420.386,663.975,520.784
2020-03-19,2.0,1.0,0.0,3.0,0.67,0.0,5.0,1.972,3247.0,5128.0,4039.844,3212.0,5106.0,3981.587,966.0,1472.0,1197.532,811.0,1422.0,1057.642,4.0,20.0,11.037,8303.0,13139.0,10287.642,0.722,1.143,0.895,382.448,605.35,473.869
2020-03-20,2.0,0.0,0.0,4.0,0.908,0.0,8.0,2.881,2989.0,4728.0,3746.486,3415.0,5445.0,4233.587,1087.0,1625.0,1321.321,1126.0,1882.0,1438.193,10.0,30.0,20.303,8655.0,13704.0,10759.89,0.753,1.192,0.936,348.971,552.793,433.974
