date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.829,1.829,1.829
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.022,0.0,0.0,0.0,1.828,9.139,5.523
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.676,0.0,1.0,0.022,0.0,1.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.705,0.0,0.001,0.001,7.299,27.371,15.884
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,24.568,0.0,2.0,0.18,0.0,1.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,24.784,0.001,0.002,0.002,30.876,63.568,45.014
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,91.0,69.964,0.0,3.0,0.568,0.0,2.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,48.0,91.0,70.619,0.003,0.006,0.005,86.027,163.094,126.565
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,253.0,193.842,0.0,7.0,1.741,0.0,2.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,148.0,256.0,195.892,0.01,0.017,0.013,255.562,442.053,338.261
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,692.0,530.288,1.0,11.0,5.036,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,697.0,536.324,0.027,0.047,0.036,634.577,1089.409,838.272
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,1705.0,1356.252,6.0,24.0,14.424,0.0,9.0,3.489,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,1732.0,1374.165,0.069,0.116,0.092,1262.315,2128.85,1689.026
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.0,3795.0,3010.252,27.0,59.0,41.036,4.0,19.0,9.957,0.0,1.0,0.022,0.0,0.0,0.0,2284.0,3869.0,3061.266,0.153,0.259,0.205,1744.808,2955.631,2338.582
