date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.005,1.005,1.005
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.121,0.0,0.0,0.0,1.005,4.019,2.131
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.028,0.0,1.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.056,0.0,0.0,0.0,2.009,7.033,4.075
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,7.972,0.0,2.0,0.159,0.0,1.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,8.15,0.0,0.0,0.0,4.019,14.066,8.188
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,15.28,0.0,2.0,0.393,0.0,1.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,15.757,0.0,0.0,0.0,8.038,24.113,15.831
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,42.0,30.664,0.0,5.0,1.019,0.0,2.0,0.168,0.0,0.0,0.0,0.0,0.0,0.0,22.0,43.0,31.85,0.0,0.001,0.0,22.103,43.202,32.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,77.0,61.019,0.0,5.0,1.953,0.0,3.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0,49.0,81.0,63.458,0.001,0.001,0.001,49.229,81.379,63.755
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,150.0,122.318,0.0,9.0,3.953,0.0,3.0,0.935,0.0,0.0,0.0,0.0,0.0,0.0,99.0,160.0,127.206,0.001,0.002,0.002,99.461,160.745,127.798
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,286.0,243.421,2.0,14.0,7.757,0.0,5.0,1.907,0.0,1.0,0.047,0.0,0.0,0.0,218.0,299.0,253.131,0.003,0.004,0.004,219.0,300.372,254.292
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,578.0,488.953,7.0,24.0,15.112,0.0,8.0,3.879,0.0,2.0,0.14,0.0,0.0,0.0,445.0,602.0,508.084,0.007,0.009,0.008,446.965,604.659,510.328
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,1135.0,977.953,15.0,46.0,30.243,1.0,14.0,7.561,0.0,2.0,0.252,0.0,0.0,0.0,875.0,1170.0,1016.009,0.013,0.018,0.015,878.487,1174.662,1020.058
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751.0,2235.0,1959.991,36.0,81.0,61.168,6.0,26.0,15.159,0.0,2.0,0.542,0.0,0.0,0.0,1828.0,2327.0,2036.86,0.027,0.035,0.031,1833.295,2333.741,2042.76
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3491.0,4377.0,3925.393,89.0,152.0,122.206,19.0,44.0,30.832,0.0,4.0,1.308,0.0,0.0,0.0,3640.0,4560.0,4079.738,0.055,0.068,0.061,3640.591,4560.74,4080.401
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7081.0,8746.0,7849.72,197.0,311.0,244.636,45.0,80.0,61.85,0.0,8.0,2.748,0.0,0.0,0.0,7357.0,9121.0,8158.953,0.11,0.137,0.122,7307.934,9060.169,8104.539
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14124.0,17368.0,15628.673,409.0,577.0,491.449,92.0,159.0,124.598,0.0,13.0,5.318,0.0,0.0,0.0,14660.0,18075.0,16250.037,0.22,0.271,0.244,14315.638,17650.42,15868.325
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27803.0,34356.0,30881.0,823.0,1145.0,988.477,205.0,304.0,247.804,5.0,19.0,10.701,0.0,1.0,0.009,28928.0,35787.0,32127.991,0.434,0.537,0.482,27092.337,33516.09,30089.259
2020-03-04,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,53729.0,66540.0,59741.411,1754.0,2240.0,1980.813,426.0,585.0,495.897,10.0,33.0,20.879,0.0,1.0,0.019,56051.0,69375.0,62239.019,0.841,1.041,0.934,47593.695,58907.292,52848.014
2020-03-05,1.0,1.0,0.0,1.0,0.009,0.0,1.0,0.019,98843.0,122822.0,110114.421,3557.0,4419.0,3953.131,872.0,1157.0,993.047,27.0,59.0,41.355,0.0,1.0,0.047,103424.0,128418.0,115102.0,1.552,1.927,1.727,71174.584,88375.016,79211.146
2020-03-06,2.0,1.0,0.0,1.0,0.019,0.0,1.0,0.037,165739.0,205515.0,184496.15,7051.0,8713.0,7808.607,1784.0,2248.0,1969.327,64.0,108.0,82.673,0.0,1.0,0.093,174772.0,216585.0,194356.85,2.623,3.25,2.917,81836.455,101414.796,91006.957
2020-03-07,4.0,2.0,0.0,1.0,0.093,0.0,1.0,0.131,239188.0,296887.0,266167.664,13691.0,16818.0,15200.065,3472.0,4354.0,3844.103,134.0,201.0,165.075,0.0,2.0,0.28,256668.0,318176.0,285377.187,3.852,4.775,4.283,67847.378,84106.081,75436.264
2020-03-08,8.0,4.0,0.0,1.0,0.131,0.0,2.0,0.262,291613.0,362135.0,324662.804,25777.0,31688.0,28597.963,6457.0,8204.0,7233.467,287.0,393.0,331.14,0.0,3.0,0.579,324360.0,402283.0,360825.953,4.868,6.037,5.415,43143.515,53508.014,47993.818
2020-03-09,16.0,8.0,0.0,2.0,0.327,0.0,3.0,0.589,309695.0,384339.0,344576.019,45531.0,56383.0,50738.841,11582.0,14402.0,12842.907,580.0,750.0,661.29,0.0,4.0,1.168,367584.0,455864.0,408820.224,5.516,6.841,6.135,24660.926,30583.511,27427.428
2020-03-10,21.0,5.0,0.0,4.0,0.748,0.0,4.0,1.336,297220.0,368665.0,330751.907,74475.0,92600.0,83089.654,19125.0,23623.0,21085.804,1177.0,1502.0,1326.262,0.0,7.0,2.57,392147.0,486389.0,436256.196,5.885,7.299,6.547,14947.014,18539.023,16628.218
2020-03-11,31.0,10.0,0.0,8.0,1.692,0.0,9.0,3.028,264711.0,328633.0,294586.308,111308.0,138025.0,124020.514,28633.0,35388.0,31627.421,2365.0,2987.0,2634.822,1.0,12.0,5.178,407077.0,505039.0,452874.243,6.109,7.579,6.796,10636.948,13196.641,11833.584
2020-03-12,56.0,25.0,0.0,8.0,2.85,0.0,12.0,5.879,222036.0,275749.0,247426.748,151578.0,188308.0,168703.009,39230.0,48450.0,43388.645,4669.0,5822.0,5184.327,4.0,19.0,10.393,417584.0,518256.0,464713.121,6.267,7.778,6.974,8893.12,11037.058,9896.731
2020-03-13,81.0,25.0,0.0,14.0,5.131,2.0,18.0,11.009,178500.0,221791.0,198926.234,189448.0,235051.0,210690.234,49417.0,61448.0,54977.299,8950.0,11266.0,9999.206,10.0,32.0,20.645,426454.0,529432.0,474613.617,6.4,7.945,7.123,8259.27,10253.564,9191.873
2020-03-14,86.0,5.0,3.0,17.0,10.009,8.0,33.0,21.019,139853.0,174057.0,155792.841,219530.0,272137.0,244126.411,58566.0,72731.0,65277.822,16751.0,20629.0,18541.617,27.0,56.0,42.14,434773.0,539600.0,483780.832,6.525,8.098,7.26,8086.679,10036.366,8998.133
2020-03-15,213.0,127.0,7.0,32.0,17.355,23.0,56.0,38.374,108896.0,135618.0,121410.542,238386.0,295835.0,265089.551,66019.0,82137.0,73639.327,29331.0,36121.0,32533.467,62.0,113.0,83.467,442700.0,549697.0,492756.355,6.644,8.25,7.395,8098.843,10055.983,9014.442
2020-03-16,213.0,0.0,15.0,45.0,28.944,43.0,92.0,67.318,86286.0,107809.0,96407.57,244723.0,303265.0,271846.617,71592.0,89046.0,79815.794,48006.0,59444.0,53502.028,135.0,199.0,165.57,450764.0,559761.0,501737.579,6.765,8.401,7.53,8190.405,10170.849,9116.764
2020-03-17,355.0,142.0,28.0,62.0,42.701,87.0,137.0,110.019,71067.0,89094.0,79551.065,238664.0,295551.0,264981.421,75146.0,93483.0,83860.935,73625.0,91437.0,82085.187,287.0,394.0,331.589,458802.0,569942.0,510810.196,6.885,8.553,7.666,8311.981,10325.393,9254.242
2020-03-18,390.0,35.0,46.0,85.0,63.794,133.0,211.0,173.813,61392.0,77163.0,68998.037,222394.0,275236.0,246615.439,76833.0,95635.0,85776.757,105773.0,131573.0,117956.776,557.0,771.0,659.636,466949.0,580325.0,520006.645,7.008,8.709,7.804,8446.174,10496.453,9405.168
2020-03-19,498.0,108.0,70.0,118.0,92.047,214.0,321.0,265.86,56005.0,70182.0,62888.439,198712.0,245767.0,220149.832,76505.0,95401.0,85561.71,142911.0,177754.0,159411.804,1156.0,1500.0,1305.533,475289.0,590516.0,529317.318,7.133,8.862,7.944,8582.798,10664.013,9558.117
2020-03-20,628.0,130.0,85.0,153.0,119.561,321.0,454.0,385.421,53543.0,66694.0,59687.757,170635.0,211517.0,189399.168,74290.0,92746.0,83179.897,183198.0,227307.0,203937.093,2243.0,2856.0,2552.729,483927.0,601096.0,538756.645,7.262,9.021,8.085,8717.727,10828.047,9704.814
2020-03-21,804.0,176.0,122.0,197.0,154.682,455.0,611.0,540.103,52367.0,64900.0,58260.841,142461.0,176882.0,158326.822,70308.0,87821.0,78749.43,223096.0,276645.0,248103.85,4326.0,5426.0,4871.112,492589.0,611636.0,548312.056,7.392,9.179,8.229,8835.989,10971.835,9835.157
2020-03-22,1021.0,217.0,148.0,241.0,188.626,632.0,824.0,728.729,51991.0,64403.0,57859.626,117027.0,145299.0,130106.953,64917.0,81016.0,72577.028,259313.0,321802.0,288481.196,8014.0,9902.0,8923.112,501364.0,622376.0,557947.916,7.524,9.34,8.373,8927.967,11085.058,9935.956
2020-03-23,1263.0,242.0,175.0,273.0,222.879,828.0,1081.0,951.607,52211.0,64842.0,58028.458,95523.0,119214.0,106735.224,58185.0,72601.0,65162.402,289943.0,359444.0,322151.57,13906.0,17293.0,15581.514,510226.0,633394.0,567659.168,7.657,9.506,8.519,8979.743,11149.751,9991.103
2020-03-24,1535.0,272.0,202.0,315.0,255.486,1063.0,1347.0,1207.093,52705.0,65002.0,58404.944,79619.0,99473.0,88921.187,51006.0,63819.0,57209.785,312411.0,387205.0,347046.262,23068.0,28701.0,25808.935,519026.0,644146.0,577391.112,7.789,9.667,8.665,8974.15,11138.811,9982.095
2020-03-25,1825.0,290.0,241.0,346.0,281.907,1308.0,1693.0,1489.0,52908.0,65448.0,58811.299,68484.0,85505.0,76388.748,44088.0,55211.0,49434.215,325662.0,403985.0,362003.654,36301.0,45040.0,40448.888,527514.0,654920.0,587086.804,7.917,9.829,8.811,8888.283,11041.973,9892.602
2020-03-26,2090.0,265.0,220.0,375.0,305.308,1563.0,2009.0,1794.308,52998.0,65701.0,59059.963,61082.0,76163.0,68214.037,37995.0,47439.0,42500.953,329939.0,409285.0,366682.785,54025.0,66961.0,60199.935,536039.0,665549.0,596657.673,8.045,9.988,8.954,8723.086,10832.745,9708.363
2020-03-27,2412.0,322.0,268.0,380.0,321.822,1843.0,2381.0,2116.131,52963.0,65625.0,59050.963,56713.0,70598.0,63275.533,32947.0,41025.0,36803.636,325224.0,403669.0,361559.252,76668.0,94992.0,85351.093,544515.0,675909.0,606040.477,8.172,10.144,9.095,8466.702,10512.947,9422.999
2020-03-28,2757.0,345.0,280.0,388.0,328.103,2150.0,2725.0,2444.234,52588.0,65248.0,58701.252,54279.0,67422.0,60538.084,29053.0,35984.0,32444.374,312653.0,388569.0,347731.308,104036.0,128865.0,115728.776,552609.0,686007.0,615143.794,8.293,10.295,9.232,8117.896,10084.152,9037.992
2020-03-29,3082.0,325.0,285.0,390.0,331.991,2453.0,3107.0,2776.224,51985.0,64281.0,57915.374,53109.0,65936.0,59196.14,26359.0,32636.0,29328.439,293795.0,365266.0,326839.121,135290.0,167624.0,150582.879,560538.0,695743.0,623861.953,8.412,10.441,9.363,7695.78,9557.452,8565.005
2020-03-30,3392.0,310.0,282.0,392.0,330.748,2767.0,3482.0,3106.972,50732.0,62760.0,56634.888,52657.0,65218.0,58637.692,24568.0,30253.0,27231.346,270621.0,336244.0,300874.196,169303.0,210244.0,188706.047,567881.0,704701.0,632084.168,8.522,10.576,9.486,7213.128,8948.266,8023.883
