date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.077,1.077,1.077
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.155,0.0,0.0,0.0,1.05,5.249,2.262
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.382,0.0,1.0,0.018,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.409,0.0,0.0,0.0,2.037,8.15,4.492
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,8.782,0.0,1.0,0.136,0.0,1.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,8.936,0.0,0.001,0.0,3.936,13.775,8.793
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,17.245,0.0,2.0,0.482,0.0,1.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,17.809,0.001,0.001,0.001,11.343,26.468,16.834
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,48.0,33.845,0.0,3.0,1.091,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,27.0,49.0,35.136,0.001,0.002,0.002,24.377,44.241,31.723
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,94.0,65.109,0.0,7.0,2.355,0.0,2.0,0.473,0.0,0.0,0.0,0.0,0.0,0.0,48.0,96.0,67.936,0.002,0.004,0.003,41.132,82.264,58.216
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,155.0,119.882,1.0,12.0,4.573,0.0,5.0,1.036,0.0,0.0,0.0,0.0,0.0,0.0,105.0,160.0,125.491,0.005,0.007,0.006,84.817,129.245,101.369
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,267.0,215.318,3.0,16.0,8.636,0.0,8.0,2.0,0.0,1.0,0.027,0.0,0.0,0.0,195.0,276.0,225.982,0.009,0.013,0.01,147.421,208.657,170.843
