date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.13,1.13,1.13
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.345,0.0,0.002,0.001,1.067,5.333,2.502
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.956,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.965,0.001,0.003,0.002,2.005,10.024,4.976
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,9.584,0.0,2.0,0.15,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.743,0.002,0.005,0.003,5.625,14.063,9.134
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,19.0,0.0,3.0,0.372,0.0,1.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,19.46,0.004,0.009,0.006,10.473,25.309,16.984
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,50.0,34.779,0.0,4.0,1.097,0.0,2.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,23.0,50.0,36.035,0.007,0.016,0.011,18.599,40.433,29.14
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,80.0,61.195,0.0,7.0,2.504,0.0,3.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,46.0,83.0,64.204,0.015,0.026,0.02,34.309,61.905,47.886
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,132.0,105.655,0.0,10.0,4.92,0.0,4.0,1.168,0.0,0.0,0.0,0.0,0.0,0.0,87.0,136.0,111.743,0.027,0.043,0.035,59.581,93.138,76.526
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,219.0,176.814,3.0,14.0,9.389,0.0,6.0,2.327,0.0,1.0,0.018,0.0,0.0,0.0,150.0,228.0,188.549,0.047,0.072,0.06,93.915,142.751,118.05
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,339.0,284.681,8.0,26.0,16.805,0.0,8.0,4.177,0.0,1.0,0.106,0.0,0.0,0.0,238.0,364.0,305.77,0.075,0.115,0.097,135.667,207.491,174.298
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,529.0,441.372,18.0,45.0,29.912,1.0,14.0,7.363,0.0,2.0,0.301,0.0,0.0,0.0,365.0,582.0,478.947,0.115,0.184,0.151,188.683,300.859,247.587
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,796.0,661.035,34.0,74.0,51.31,5.0,20.0,12.735,0.0,3.0,0.743,0.0,0.0,0.0,569.0,882.0,725.823,0.18,0.278,0.229,265.757,411.947,339.003
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,1127.0,955.903,60.0,112.0,86.558,9.0,33.0,21.867,0.0,4.0,1.442,0.0,0.0,0.0,846.0,1260.0,1065.77,0.267,0.398,0.336,355.77,529.871,448.191
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,1571.0,1336.673,106.0,174.0,139.628,20.0,54.0,36.018,0.0,7.0,3.097,0.0,0.0,0.0,1259.0,1789.0,1515.416,0.397,0.565,0.478,475.178,675.213,571.955
2020-03-07,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,1460.0,2114.0,1799.097,161.0,285.0,221.319,37.0,78.0,56.69,2.0,11.0,5.752,0.0,0.0,0.0,1695.0,2455.0,2082.858,0.535,0.775,0.657,572.461,829.139,703.454
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,1919.0,2815.0,2354.062,261.0,412.0,337.46,67.0,121.0,86.876,5.0,19.0,10.858,0.0,0.0,0.0,2290.0,3322.0,2789.257,0.723,1.049,0.88,690.212,1001.26,840.689
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,2442.0,3546.0,2983.451,398.0,615.0,499.434,101.0,165.0,130.398,10.0,28.0,19.558,0.0,0.0,0.0,2980.0,4308.0,3632.841,0.941,1.36,1.147,799.591,1155.918,974.76
2020-03-10,1.0,1.0,0.0,1.0,0.035,0.0,1.0,0.044,3087.0,4390.0,3673.566,582.0,862.0,715.0,140.0,230.0,187.088,18.0,52.0,34.46,0.0,1.0,0.018,3871.0,5501.0,4610.133,1.222,1.736,1.455,922.606,1311.097,1098.766
2020-03-11,2.0,1.0,0.0,1.0,0.018,0.0,1.0,0.062,3680.0,5187.0,4389.23,819.0,1166.0,998.239,197.0,318.0,261.531,39.0,77.0,57.761,0.0,1.0,0.159,4764.0,6736.0,5706.92,1.504,2.126,1.801,1006.572,1423.23,1205.765
2020-03-12,2.0,0.0,0.0,1.0,0.062,0.0,2.0,0.124,4272.0,6013.0,5115.124,1081.0,1603.0,1349.965,281.0,424.0,357.823,70.0,124.0,95.097,0.0,3.0,0.327,5840.0,8150.0,6918.336,1.843,2.573,2.184,1091.377,1523.852,1293.499
2020-03-13,3.0,1.0,0.0,1.0,0.053,0.0,2.0,0.177,4900.0,6795.0,5813.912,1419.0,2123.0,1773.912,386.0,576.0,477.407,112.0,193.0,151.699,0.0,3.0,0.681,6952.0,9666.0,8217.611,2.194,3.051,2.594,1148.0,1596.858,1357.466
